,home_team,away_team,home_score,away_score,start_time,time_day,home_open_play,away_open_play,home_setpiece,away_setpiece,home_counterattack,away_counterattack,home_penalty,away_penalty,home_cross,away_cross,home_longball,away_longball,home_throughball,away_throughball,home_stortball,away_stortball,home_form,away_form,home_player,away_player
0,Manchester City,Leicester,1,0,20:00,"Jtat, 06-Mei-19",10,7,9,0,0,0,0,0,25,7,1,0,50,74,592,344,4-3-3,4-5-1,"['Ederson', '6.66', 'Zinchenko', '7.19', 'Laporte', '7.05', 'Stones', '6.87', 'Walker', '6.96', 'Silva', '7.26', 'Gündogan', '7.10', 'Silva', '7.26', 'Sané', '7.26', 'Agüero', '7.53', 'Sterling', '7.61']","['Schmeichel', '6.54', 'Chilwell', '7.04', 'Maguire', '7.01', 'Evans', '6.88', 'Pereira', '7.34', 'Maddison', '7.20', 'Choudhury', '6.76', 'Ndidi', '7.21', 'Tielemans', '7.14', 'Albrighton', '6.68', 'Vardy', '6.94']"
1,Brighton,Manchester City,1,4,15:00,"Jpl, 12-Mei-19",0,17,5,3,1,0,0,0,6,20,1,8,57,31,192,763,4-5-1,4-3-3,"['Ryan', '6.41', 'Bernardo', '6.90', 'Dunk', '6.72', 'Duffy', '7.11', 'Bruno', '6.49', 'March', '6.79', 'Bissouma', '6.63', 'Stephens', '6.66', 'Groß', '6.68', 'Knockaert', '6.64', 'Murray', '6.65']","['Ederson', '6.66', 'Zinchenko', '7.19', 'Laporte', '7.05', 'Kompany', '6.93', 'Walker', '6.96', 'Silva', '7.26', 'Gündogan', '7.10', 'Foden', '6.52', 'Silva', '7.26', 'Agüero', '7.53', 'Sterling', '7.61']"
2,Burnley,Arsenal,1,3,15:00,"Jpl, 12-Mei-19",10,16,4,1,0,0,0,0,22,25,2,3,72,58,279,477,4-4-2,3-4-1-2,"['Pope', 'N/A', 'Taylor', '6.75', 'Mee', '6.86', 'Tarkowski', '7.11', 'Lowton', '6.64', 'McNeil', '7.03', 'Cork', '6.58', 'Westwood', '6.80', 'Hendrick', '6.27', 'Barnes', '6.75', 'Wood', '6.67']","['Leno', '6.68', 'Monreal', '6.97', 'Papastathopoulos', '6.82', 'Mustafi', '7.05', 'Kolasinac', '6.61', 'Xhaka', '7.03', 'Guendouzi', '6.55', 'Maitland-Niles', '6.64', 'Özil', '6.78', 'Aubameyang', '7.10', 'Lacazette', '7.17']"
3,Crystal Palace,Bournemouth,5,3,15:00,"Jpl, 12-Mei-19",14,12,0,4,3,0,0,0,13,21,1,0,57,47,377,475,4-4-2,4-4-1-1,"['Speroni', '5.45', 'Aanholt', '6.71', 'Dann', '6.74', 'Kelly', '6.63', 'Wan-Bissaka', '7.27', 'Zaha', '7.21', 'Milivojevic', '7.19', 'McArthur', '6.80', 'Townsend', '6.98', 'Ayew', '6.50', 'Batshuayi', '6.86']","['Travers', '7.08', 'Clyne', '6.43', 'Simpson', '6.41', 'Cook', '6.96', 'Smith', '6.71', 'King', '6.96', 'Aké', '6.86', 'Lerma', '6.97', 'Fraser', '7.08', 'Ibe', '6.33', 'Wilson', '6.99']"
4,Fulham,Newcastle United,0,4,15:00,"Jpl, 12-Mei-19",13,10,3,3,0,0,0,0,28,9,2,3,51,57,716,305,4-2-3-1,5-4-1,"['Rico', '6.57', 'Bryan', '6.65', 'Ream', '6.30', 'Marchand', '6.72', 'Christie', '6.61', 'Anguissa', '6.69', 'Chambers', '6.82', 'Babel', '6.86', 'Cairney', '6.60', 'Sessegnon', '6.42', 'Mitrovic', '7.03']","['Dúbravka', '6.62', 'Ritchie', '6.95', 'Dummett', '6.74', 'Lascelles', '6.80', 'Fernández', '6.62', 'Manquillo', '6.59', 'Atsu', '6.44', 'Sung-Yueng', '6.57', 'Hayden', '6.96', 'Pérez', '6.95', 'Rondón', '7.05']"
5,Leicester,Chelsea,0,0,15:00,"Jpl, 12-Mei-19",5,14,4,0,0,0,0,0,15,14,1,2,45,45,427,493,4-2-3-1,4-3-3,"['Schmeichel', '6.54', 'Chilwell', '7.04', 'Maguire', '7.01', 'Morgan', '6.87', 'Pereira', '7.34', 'Ndidi', '7.21', 'Choudhury', '6.76', 'Maddison', '7.20', 'Tielemans', '7.14', 'Albrighton', '6.68', 'Vardy', '6.94']","['Arrizabalaga', '6.63', 'Alonso', '7.18', 'Luiz', '7.08', 'Cahill', '6.12', 'Azpilicueta', '7.01', 'Loftus-Cheek', '6.85', 'Jorginho', '6.88', 'Kovacic', '6.65', 'Hazard', '7.81', 'Higuaín', '6.89', 'Pedro', '6.97']"
6,Liverpool,Wolverhampton Wanderers,2,0,15:00,"Jpl, 12-Mei-19",10,6,3,1,0,0,0,0,18,7,0,1,67,81,548,349,4-3-3,3-5-2,"['Alisson', '6.79', 'Robertson', '7.12', 'Dijk', '7.44', 'Matip', '7.11', 'Alexander-Arnold', '7.36', 'Wijnaldum', '6.89', 'Fabinho', '6.95', 'Henderson', '6.67', 'Mané', '7.43', 'Origi', '6.57', 'Salah', '7.57']","['Patrício', '6.45', 'Boly', '7.12', 'Coady', '6.45', 'Bennett', '6.77', 'Jonny', '6.85', 'Moutinho', '7.06', 'Neves', '6.86', 'Dendoncker', '6.97', 'Doherty', '7.12', 'Jota', '6.89', 'Jiménez', '7.07']"
7,Manchester United,Cardiff,0,2,15:00,"Jpl, 12-Mei-19",21,8,4,4,1,0,0,1,17,5,2,0,43,72,579,152,4-3-1-2,4-4-1-1,"['Gea', '6.52', 'Shaw', '6.91', 'Lindelöf', '6.68', 'Jones', '6.81', 'Valencia', '6.68', 'Pogba', '7.31', 'Matic', '6.76', 'Garner', '6', 'Mata', '6.70', 'Rashford', '6.95', 'Greenwood', '6.44']","['Etheridge', '6.72', 'Bennett', '6.77', 'Manga', '6.69', 'Morrison', '6.96', 'Peltier', '6.54', 'Hoilett', '6.46', 'Bacuna', '6.34', 'Gunnarsson', '6.61', 'Mendez-Laing', '6.88', 'Cordova-Reid', '6.41', 'Zohore', '6.31']"
8,Southampton,Huddersfield,1,1,15:00,"Jpl, 12-Mei-19",9,7,0,3,1,0,0,0,15,14,2,0,62,78,388,312,4-3-3,4-3-3,"['Gunn', '6.36', 'Bertrand', '6.61', 'Stephens', '6.52', 'Bednarek', '7.04', 'Valery', '6.66', 'Ward-Prowse', '6.87', 'Romeu', '6.76', 'Højbjerg', '6.87', 'Elyounoussi', '6.51', 'Long', '6.50', 'Redmond', '6.91']","['Coleman', '6.32', 'Löwe', '6.35', 'Kongolo', '6.58', 'Schindler', '6.59', 'Smith', '6.24', 'Hogg', '6.60', 'Bacuna', '6.49', 'Mooy', '6.73', 'Pritchard', '6.51', 'Grant', '6.42', 'Mbenza', '6.14']"
9,Tottenham,Everton,2,2,15:00,"Jpl, 12-Mei-19",5,9,5,7,1,0,0,0,13,18,2,0,52,52,498,391,4-2-3-1,4-2-3-1,"['Lloris', '6.96', 'Walker-Peters', '6.95', 'Davies', '6.69', 'Alderweireld', '6.84', 'Aurier', '6.85', 'Dier', '6.74', 'Sissoko', '6.75', 'Alli', '6.95', 'Eriksen', '7.08', 'Lamela', '6.77', 'Llorente', '6.49']","['Pickford', '6.50', 'Digne', '7.36', 'Zouma', '6.78', 'Keane', '7.13', 'Kenny', '6.78', 'Schneiderlin', '6.71', 'Gueye', '7.14', 'Bernard', '6.60', 'Sigurdsson', '7.16', 'Walcott', '6.51', 'Tosun', '6.44']"
