,home_team,away_team,time_day
0,Arsenal,Manchester City,"Jumapili, Feb 25 2018"
1,Bristol City,Manchester City,"Jumanne, Jan 23 2018"
2,Arsenal,Chelsea,"Jumatano, Jan 24 2018"
3,Manchester City,Bristol City,"Jumanne, Jan 9 2018"
4,Chelsea,Arsenal,"Jumatano, Jan 10 2018"
5,Arsenal,West Ham,"Jumanne, Des 19 2017"
6,Leicester,Manchester City,"Jumanne, Des 19 2017"
7,Chelsea,Bournemouth,"Jumatano, Des 20 2017"
8,Bristol City,Manchester United,"Jumatano, Des 20 2017"
9,Bristol City,Crystal Palace,"Jumanne, Okt 24 2017"
10,Swansea,Manchester United,"Jumanne, Okt 24 2017"
11,Arsenal,Norwich,"Jumanne, Okt 24 2017"
12,Leicester,Leeds,"Jumanne, Okt 24 2017"
13,Bournemouth,Middlesbrough,"Jumanne, Okt 24 2017"
14,Manchester City,Wolverhampton Wanderers,"Jumanne, Okt 24 2017"
15,Chelsea,Everton,"Jumatano, Okt 25 2017"
16,Tottenham,West Ham,"Jumatano, Okt 25 2017"
17,1Aston Villa,Middlesbrough,"Jumanne, Sep 19 2017"
18,Brentford,Norwich,"Jumanne, Sep 19 2017"
19,Bristol City,Stoke,"Jumanne, Sep 19 2017"
20,Burnley,Leeds,"Jumanne, Sep 19 2017"
21,Bournemouth,Brighton,"Jumanne, Sep 19 2017"
22,Crystal Palace,Huddersfield,"Jumanne, Sep 19 2017"
23,Leicester,Liverpool,"Jumanne, Sep 19 2017"
24,West Ham,Bolton,"Jumanne, Sep 19 2017"
25,Wolverhampton Wanderers,Bristol Rovers1,"Jumanne, Sep 19 2017"
26,Tottenham,Barnsley,"Jumanne, Sep 19 2017"
27,Reading,Swansea,"Jumanne, Sep 19 2017"
28,Everton,Sunderland,"Jumatano, Sep 20 2017"
29,Arsenal,Doncaster,"Jumatano, Sep 20 2017"
30,Chelsea,Nottingham Forest,"Jumatano, Sep 20 2017"
31,West Bromwich Albion,Manchester City,"Jumatano, Sep 20 2017"
32,Manchester United,Burton,"Jumatano, Sep 20 2017"
33,Barnsley,Derby,"Jumanne, Sep 12 2017"
34,Crystal Palace,Ipswich,"Jumanne, Ago 22 2017"
35,Queens Park Rangers,Brentford,"Jumanne, Ago 22 2017"
36,Norwich,Charlton,"Jumanne, Ago 22 2017"
37,1Watford,Bristol City,"Jumanne, Ago 22 2017"
38,Carlisle,Sunderland,"Jumanne, Ago 22 2017"
39,Cardiff,Burton,"Jumanne, Ago 22 2017"
40,Brighton,Barnet,"Jumanne, Ago 22 2017"
41,1Grimsby,Derby,"Jumanne, Ago 22 2017"
42,Aston Villa,Wigan,"Jumanne, Ago 22 2017"
43,Sheffield United,Leicester,"Jumanne, Ago 22 2017"
44,Doncaster,Hull,"Jumanne, Ago 22 2017"
45,Middlesbrough,Scunthorpe,"Jumanne, Ago 22 2017"
46,Leeds,Newport,"Jumanne, Ago 22 2017"
47,Accrington,West Bromwich Albion,"Jumanne, Ago 22 2017"
48,Birmingham,Bournemouth,"Jumanne, Ago 22 2017"
49,Milton Keynes Dons,Swansea,"Jumanne, Ago 22 2017"
50,Fulham,Bristol Rovers,"Jumanne, Ago 22 2017"
51,Bolton,Sheffield Wednesday,"Jumanne, Ago 22 2017"
52,Reading,Millwall,"Jumanne, Ago 22 2017"
53,Cheltenham,West Ham,"Jumatano, Ago 23 2017"
54,Newcastle United,Nottingham Forest,"Jumatano, Ago 23 2017"
55,Southampton,Wolverhampton Wanderers,"Jumatano, Ago 23 2017"
56,Huddersfield,Rotherham,"Jumatano, Ago 23 2017"
57,Blackburn,Burnley,"Jumatano, Ago 23 2017"
58,Stoke,Rochdale,"Jumatano, Ago 23 2017"
59,Grimsby,Derby,"Jumanne, Ago 8 2017"
60,Birmingham,Crawley,"Jumanne, Ago 8 2017"
61,Exeter,Charlton1,"Jumanne, Ago 8 2017"
62,Queens Park Rangers,Northampton1,"Jumanne, Ago 8 2017"
63,Bristol City,Plymouth,"Jumanne, Ago 8 2017"
64,Cardiff,Portsmouth,"Jumanne, Ago 8 2017"
65,Millwall,Stevenage,"Jumanne, Ago 8 2017"
66,Peterborough,Barnet,"Jumanne, Ago 8 2017"
67,Bristol Rovers,Cambridge U,"Jumanne, Ago 8 2017"
68,Norwich,Swindon,"Jumanne, Ago 8 2017"
69,Wycombe,Fulham,"Jumanne, Ago 8 2017"
70,Nottingham Forest,Shrewsbury,"Jumanne, Ago 8 2017"
71,1Bradford,Doncaster,"Jumanne, Ago 8 2017"
72,Mansfield,Rochdale,"Jumanne, Ago 8 2017"
73,Wigan,Blackpool,"Jumanne, Ago 8 2017"
74,Wolverhampton Wanderers,Yeovil,"Jumanne, Ago 8 2017"
75,1Fleetwood,Carlisle,"Jumanne, Ago 8 2017"
76,Accrington,Preston,"Jumanne, Ago 8 2017"
77,Sheffield Wednesday,Chesterfield,"Jumanne, Ago 8 2017"
78,Coventry,Blackburn,"Jumanne, Ago 8 2017"
79,Luton,Ipswich,"Jumanne, Ago 8 2017"
80,Forest Green,Milton Keynes Dons,"Jumanne, Ago 8 2017"
81,Oxford,Cheltenham,"Jumanne, Ago 8 2017"
82,AFC Wimbledon,Brentford,"Jumanne, Ago 8 2017"
83,Southend,Newport,"Jumanne, Ago 8 2017"
