,home_team,away_team,time_day
0,Galatasaray,Club Bruges,"Jnne, 26-Nov-19"
1,Lokomotiv Moscow,Bayer Leverkusen,"Jnne, 26-Nov-19"
2,Real Madrid,Paris Saint-Germain,"Jnne, 26-Nov-19"
3,Juventus,Atletico Madrid,"Jnne, 26-Nov-19"
4,Tottenham,Olympiacos,"Jnne, 26-Nov-19"
5,FK Crvena Zvezda,Bayern Munich,"Jnne, 26-Nov-19"
6,Atalanta,Dinamo Zagreb,"Jnne, 26-Nov-19"
7,Manchester City,Shakhtar Donetsk,"Jnne, 26-Nov-19"
8,Zenit St. Petersburg,Lyon,"Jtan, 27-Nov-19"
9,Valencia,Chelsea,"Jtan, 27-Nov-19"
10,Lille,Ajax,"Jtan, 27-Nov-19"
11,RB Leipzig,Benfica,"Jtan, 27-Nov-19"
12,Barcelona,Borussia Dortmund,"Jtan, 27-Nov-19"
13,Slavia Prague,Inter,"Jtan, 27-Nov-19"
14,Liverpool,Napoli,"Jtan, 27-Nov-19"
15,Genk,Salzburg,"Jtan, 27-Nov-19"
16,Barcelona,Slavia Prague,"Jnne, 05-Nov-19"
17,Zenit St. Petersburg,RB Leipzig,"Jnne, 05-Nov-19"
18,Chelsea,Ajax,"Jnne, 05-Nov-19"
19,Valencia,Lille,"Jnne, 05-Nov-19"
20,Borussia Dortmund,Inter,"Jnne, 05-Nov-19"
21,Lyon,Benfica,"Jnne, 05-Nov-19"
22,Napoli,Salzburg,"Jnne, 05-Nov-19"
23,Liverpool,Genk,"Jnne, 05-Nov-19"
24,Lokomotiv Moscow,Juventus,"Jtan, 06-Nov-19"
25,Bayern Munich,Olympiacos,"Jtan, 06-Nov-19"
26,FK Crvena Zvezda,Tottenham,"Jtan, 06-Nov-19"
27,Atalanta,Manchester City,"Jtan, 06-Nov-19"
28,Dinamo Zagreb,Shakhtar Donetsk,"Jtan, 06-Nov-19"
29,Bayer Leverkusen,Atletico Madrid,"Jtan, 06-Nov-19"
30,Paris Saint-Germain,Club Bruges,"Jtan, 06-Nov-19"
31,Real Madrid,Galatasaray,"Jtan, 06-Nov-19"
32,Shakhtar Donetsk,Dinamo Zagreb,"Jnne, 22-Okt-19"
33,Atletico Madrid,Bayer Leverkusen,"Jnne, 22-Okt-19"
34,Juventus,Lokomotiv Moscow,"Jnne, 22-Okt-19"
35,Galatasaray,Real Madrid,"Jnne, 22-Okt-19"
36,Club Bruges,Paris Saint-Germain,"Jnne, 22-Okt-19"
37,Olympiacos,Bayern Munich,"Jnne, 22-Okt-19"
38,Tottenham,FK Crvena Zvezda,"Jnne, 22-Okt-19"
39,Manchester City,Atalanta,"Jnne, 22-Okt-19"
40,Ajax,Chelsea,"Jtan, 23-Okt-19"
41,RB Leipzig,Zenit St. Petersburg,"Jtan, 23-Okt-19"
42,Lille,Valencia,"Jtan, 23-Okt-19"
43,Benfica,Lyon,"Jtan, 23-Okt-19"
