,home_team,away_team,time_day
0,Paris Saint-Germain,Shakhtar Donetsk,"Jnne, 08-Des-15"
1,Real Madrid,Malmoe FF,"Jnne, 08-Des-15"
2,Wolfsburg,Manchester United,"Jnne, 08-Des-15"
3,PSV Eindhoven,CSKA Moscow,"Jnne, 08-Des-15"
4,Galatasaray,FC Astana,"Jnne, 08-Des-15"
5,Benfica,Atletico Madrid,"Jnne, 08-Des-15"
6,Manchester City,Borussia M.Gladbach,"Jnne, 08-Des-15"
7,Sevilla,Juventus,"Jnne, 08-Des-15"
8,Bayer Leverkusen,Barcelona,"Jtan, 09-Des-15"
9,Roma,BATE Borisov,"Jtan, 09-Des-15"
10,Dinamo Zagreb,Bayern Munich,"Jtan, 09-Des-15"
11,Olympiacos,Arsenal,"Jtan, 09-Des-15"
12,Dynamo Kyiv,Maccabi Tel Aviv,"Jtan, 09-Des-15"
13,Chelsea,FC Porto,"Jtan, 09-Des-15"
14,Valencia,Lyon,"Jtan, 09-Des-15"
15,Gent,Zenit St. Petersburg,"Jtan, 09-Des-15"
16,BATE Borisov,Bayer Leverkusen,"Jnne, 24-Nov-15"
17,Zenit St. Petersburg,Valencia,"Jnne, 24-Nov-15"
18,Lyon,Gent,"Jnne, 24-Nov-15"
19,Barcelona,Roma,"Jnne, 24-Nov-15"
20,Arsenal,Dinamo Zagreb,"Jnne, 24-Nov-15"
21,Bayern Munich,Olympiacos,"Jnne, 24-Nov-15"
22,FC Porto,Dynamo Kyiv,"Jnne, 24-Nov-15"
23,Maccabi Tel Aviv,Chelsea,"Jnne, 24-Nov-15"
24,FC Astana,Benfica,"Jtan, 25-Nov-15"
25,CSKA Moscow,Wolfsburg,"Jtan, 25-Nov-15"
26,Manchester United,PSV Eindhoven,"Jtan, 25-Nov-15"
27,Atletico Madrid,Galatasaray,"Jtan, 25-Nov-15"
28,Malmoe FF,Paris Saint-Germain,"Jtan, 25-Nov-15"
29,Shakhtar Donetsk,Real Madrid,"Jtan, 25-Nov-15"
30,Juventus,Manchester City,"Jtan, 25-Nov-15"
31,Borussia M.Gladbach,Sevilla,"Jtan, 25-Nov-15"
32,FC Astana,Atletico Madrid,"Jnne, 03-Nov-15"
33,Benfica,Galatasaray,"Jnne, 03-Nov-15"
34,Borussia M.Gladbach,Juventus,"Jnne, 03-Nov-15"
35,Sevilla,Manchester City,"Jnne, 03-Nov-15"
36,Shakhtar Donetsk,Malmoe FF,"Jnne, 03-Nov-15"
37,Real Madrid,Paris Saint-Germain,"Jnne, 03-Nov-15"
38,Manchester United,CSKA Moscow,"Jnne, 03-Nov-15"
39,PSV Eindhoven,Wolfsburg,"Jnne, 03-Nov-15"
40,Barcelona,BATE Borisov,"Jtan, 04-Nov-15"
41,Roma,Bayer Leverkusen,"Jtan, 04-Nov-15"
42,Bayern Munich,Arsenal,"Jtan, 04-Nov-15"
43,Olympiacos,Dinamo Zagreb,"Jtan, 04-Nov-15"
44,Maccabi Tel Aviv,FC Porto,"Jtan, 04-Nov-15"
45,Chelsea,Dynamo Kyiv,"Jtan, 04-Nov-15"
46,Lyon,Zenit St. Petersburg,"Jtan, 04-Nov-15"
47,Gent,Valencia,"Jtan, 04-Nov-15"
48,BATE Borisov,Barcelona,"Jnne, 20-Okt-15"
49,Bayer Leverkusen,Roma,"Jnne, 20-Okt-15"
50,Arsenal,Bayern Munich,"Jnne, 20-Okt-15"
51,Dinamo Zagreb,Olympiacos,"Jnne, 20-Okt-15"
52,FC Porto,Maccabi Tel Aviv,"Jnne, 20-Okt-15"
53,Dynamo Kyiv,Chelsea,"Jnne, 20-Okt-15"
54,Zenit St. Petersburg,Lyon,"Jnne, 20-Okt-15"
55,Valencia,Gent,"Jnne, 20-Okt-15"
56,Malmoe FF,Shakhtar Donetsk,"Jtan, 21-Okt-15"
57,Paris Saint-Germain,Real Madrid,"Jtan, 21-Okt-15"
58,CSKA Moscow,Manchester United,"Jtan, 21-Okt-15"
59,Wolfsburg,PSV Eindhoven,"Jtan, 21-Okt-15"
60,Atletico Madrid,FC Astana,"Jtan, 21-Okt-15"
61,Galatasaray,Benfica,"Jtan, 21-Okt-15"
62,Juventus,Borussia M.Gladbach,"Jtan, 21-Okt-15"
63,Manchester City,Sevilla,"Jtan, 21-Okt-15"
64,Barcelona,Bayer Leverkusen,"Jnne, 29-Sep-15"
65,BATE Borisov,Roma,"Jnne, 29-Sep-15"
66,Bayern Munich,Dinamo Zagreb,"Jnne, 29-Sep-15"
67,Arsenal,Olympiacos,"Jnne, 29-Sep-15"
68,Maccabi Tel Aviv,Dynamo Kyiv,"Jnne, 29-Sep-15"
69,FC Porto,Chelsea,"Jnne, 29-Sep-15"
70,Lyon,Valencia,"Jnne, 29-Sep-15"
71,Zenit St. Petersburg,Gent,"Jnne, 29-Sep-15"
72,FC Astana,Galatasaray,"Jtan, 30-Sep-15"
73,Atletico Madrid,Benfica,"Jtan, 30-Sep-15"
74,Borussia M.Gladbach,Manchester City,"Jtan, 30-Sep-15"
75,Juventus,Sevilla,"Jtan, 30-Sep-15"
76,Shakhtar Donetsk,Paris Saint-Germain,"Jtan, 30-Sep-15"
77,Malmoe FF,Real Madrid,"Jtan, 30-Sep-15"
78,Manchester United,Wolfsburg,"Jtan, 30-Sep-15"
79,CSKA Moscow,PSV Eindhoven,"Jtan, 30-Sep-15"
80,Paris Saint-Germain,Malmoe FF,"Jnne, 15-Sep-15"
81,Real Madrid,Shakhtar Donetsk,"Jnne, 15-Sep-15"
82,Wolfsburg,CSKA Moscow,"Jnne, 15-Sep-15"
83,PSV Eindhoven,Manchester United,"Jnne, 15-Sep-15"
84,Galatasaray,Atletico Madrid,"Jnne, 15-Sep-15"
85,Benfica,FC Astana,"Jnne, 15-Sep-15"
86,Manchester City,Juventus,"Jnne, 15-Sep-15"
87,Sevilla,Borussia M.Gladbach,"Jnne, 15-Sep-15"
88,Bayer Leverkusen,BATE Borisov,"Jtan, 16-Sep-15"
89,Roma,Barcelona,"Jtan, 16-Sep-15"
90,Dinamo Zagreb,Arsenal,"Jtan, 16-Sep-15"
91,Olympiacos,Bayern Munich,"Jtan, 16-Sep-15"
92,Dynamo Kyiv,FC Porto,"Jtan, 16-Sep-15"
93,Chelsea,Maccabi Tel Aviv,"Jtan, 16-Sep-15"
94,Valencia,Zenit St. Petersburg,"Jtan, 16-Sep-15"
95,Gent,Lyon,"Jtan, 16-Sep-15"
96,Real Madrid,Atletico Madrid,"Jmos, 28-Mei-16"
97,Bayern Munich,Atletico Madrid,"Jnne, 03-Mei-16"
98,Real Madrid,Manchester City,"Jtan, 04-Mei-16"
99,Manchester City,Real Madrid,"Jnne, 26-Apr-16"
100,Atletico Madrid,Bayern Munich,"Jtan, 27-Apr-16"
101,Real Madrid,Wolfsburg,"Jnne, 12-Apr-16"
102,Manchester City,Paris Saint-Germain,"Jnne, 12-Apr-16"
103,Benfica,Bayern Munich,"Jtan, 13-Apr-16"
104,Atletico Madrid,Barcelona,"Jtan, 13-Apr-16"
105,Bayern Munich,Benfica,"Jnne, 05-Apr-16"
106,Barcelona,Atletico Madrid,"Jnne, 05-Apr-16"
107,Paris Saint-Germain,Manchester City,"Jtan, 06-Apr-16"
108,Wolfsburg,Real Madrid,"Jtan, 06-Apr-16"
109,Manchester City,Dynamo Kyiv,"Jnne, 15-Mac-16"
110,Atletico Madrid,PSV Eindhoven,"Jnne, 15-Mac-16"
111,Barcelona,Arsenal,"Jtan, 16-Mac-16"
112,Bayern Munich,Juventus,"Jtan, 16-Mac-16"
113,Real Madrid,Roma,"Jnne, 08-Mac-16"
114,Wolfsburg,Gent,"Jnne, 08-Mac-16"
115,Zenit St. Petersburg,Benfica,"Jtan, 09-Mac-16"
116,Chelsea,Paris Saint-Germain,"Jtan, 09-Mac-16"
117,Arsenal,Barcelona,"Jnne, 23-Feb-16"
118,Juventus,Bayern Munich,"Jnne, 23-Feb-16"
119,PSV Eindhoven,Atletico Madrid,"Jtan, 24-Feb-16"
120,Dynamo Kyiv,Manchester City,"Jtan, 24-Feb-16"
121,Paris Saint-Germain,Chelsea,"Jnne, 16-Feb-16"
122,Benfica,Zenit St. Petersburg,"Jnne, 16-Feb-16"
123,Gent,Wolfsburg,"Jtan, 17-Feb-16"
124,Roma,Real Madrid,"Jtan, 17-Feb-16"
