,home_team,away_team,time_day
0,Benfica,Paris Saint-Germain,"Jnne, 10-Des-13"
1,Olympiacos,Anderlecht,"Jnne, 10-Des-13"
2,Bayern Munich,Manchester City,"Jnne, 10-Des-13"
3,Viktoria Plzen,CSKA Moscow,"Jnne, 10-Des-13"
4,Manchester United,Shakhtar Donetsk,"Jnne, 10-Des-13"
5,Real Sociedad,Bayer Leverkusen,"Jnne, 10-Des-13"
6,FC Copenhagen,Real Madrid,"Jnne, 10-Des-13"
7,Galatasaray,Juventus,"Jtan, 11-Des-13"
8,Schalke 04,FC Basel 1893,"Jtan, 11-Des-13"
9,Chelsea,FC FCSB,"Jtan, 11-Des-13"
10,Marseille,Borussia Dortmund,"Jtan, 11-Des-13"
11,Napoli,Arsenal,"Jtan, 11-Des-13"
12,AC Milan,Ajax,"Jtan, 11-Des-13"
13,Barcelona,Celtic,"Jtan, 11-Des-13"
14,Austria Wien,Zenit St. Petersburg,"Jtan, 11-Des-13"
15,Atletico Madrid,FC Porto,"Jtan, 11-Des-13"
16,Zenit St. Petersburg,Atletico Madrid,"Jnne, 26-Nov-13"
17,FC FCSB,Schalke 04,"Jnne, 26-Nov-13"
18,FC Basel 1893,Chelsea,"Jnne, 26-Nov-13"
19,Arsenal,Marseille,"Jnne, 26-Nov-13"
20,Borussia Dortmund,Napoli,"Jnne, 26-Nov-13"
21,Celtic,AC Milan,"Jnne, 26-Nov-13"
22,Ajax,Barcelona,"Jnne, 26-Nov-13"
23,FC Porto,Austria Wien,"Jnne, 26-Nov-13"
24,CSKA Moscow,Bayern Munich,"Jtan, 27-Nov-13"
25,Manchester City,Viktoria Plzen,"Jtan, 27-Nov-13"
26,Bayer Leverkusen,Manchester United,"Jtan, 27-Nov-13"
27,Shakhtar Donetsk,Real Sociedad,"Jtan, 27-Nov-13"
28,Real Madrid,Galatasaray,"Jtan, 27-Nov-13"
29,Juventus,FC Copenhagen,"Jtan, 27-Nov-13"
30,Anderlecht,Benfica,"Jtan, 27-Nov-13"
31,Paris Saint-Germain,Olympiacos,"Jtan, 27-Nov-13"
32,Shakhtar Donetsk,Bayer Leverkusen,"Jnne, 05-Nov-13"
33,Real Sociedad,Manchester United,"Jnne, 05-Nov-13"
34,Juventus,Real Madrid,"Jnne, 05-Nov-13"
35,FC Copenhagen,Galatasaray,"Jnne, 05-Nov-13"
36,Paris Saint-Germain,Anderlecht,"Jnne, 05-Nov-13"
37,Olympiacos,Benfica,"Jnne, 05-Nov-13"
38,Manchester City,CSKA Moscow,"Jnne, 05-Nov-13"
39,Viktoria Plzen,Bayern Munich,"Jnne, 05-Nov-13"
40,Zenit St. Petersburg,FC Porto,"Jtan, 06-Nov-13"
41,Atletico Madrid,Austria Wien,"Jtan, 06-Nov-13"
42,FC Basel 1893,FC FCSB,"Jtan, 06-Nov-13"
43,Chelsea,Schalke 04,"Jtan, 06-Nov-13"
44,Borussia Dortmund,Arsenal,"Jtan, 06-Nov-13"
45,Napoli,Marseille,"Jtan, 06-Nov-13"
46,Ajax,Celtic,"Jtan, 06-Nov-13"
47,Barcelona,AC Milan,"Jtan, 06-Nov-13"
48,FC FCSB,FC Basel 1893,"Jnne, 22-Okt-13"
49,Schalke 04,Chelsea,"Jnne, 22-Okt-13"
50,Arsenal,Borussia Dortmund,"Jnne, 22-Okt-13"
51,Marseille,Napoli,"Jnne, 22-Okt-13"
52,Celtic,Ajax,"Jnne, 22-Okt-13"
53,AC Milan,Barcelona,"Jnne, 22-Okt-13"
54,FC Porto,Zenit St. Petersburg,"Jnne, 22-Okt-13"
55,Austria Wien,Atletico Madrid,"Jnne, 22-Okt-13"
56,CSKA Moscow,Manchester City,"Jtan, 23-Okt-13"
57,Bayern Munich,Viktoria Plzen,"Jtan, 23-Okt-13"
