,home_team,away_team,time_day
0,Paris Saint-Germain,Ludogorets Razgrad,"Jnne, 06-Des-16"
1,FC Basel 1893,Arsenal,"Jnne, 06-Des-16"
2,Dynamo Kyiv,Besiktas,"Jnne, 06-Des-16"
3,Benfica,Napoli,"Jnne, 06-Des-16"
4,Barcelona,Borussia M.Gladbach,"Jnne, 06-Des-16"
5,Manchester City,Celtic,"Jnne, 06-Des-16"
6,Bayern Munich,Atletico Madrid,"Jnne, 06-Des-16"
7,PSV Eindhoven,FC Rostov,"Jnne, 06-Des-16"
8,Bayer Leverkusen,Monaco,"Jtan, 07-Des-16"
9,Tottenham,CSKA Moscow,"Jtan, 07-Des-16"
10,Real Madrid,Borussia Dortmund,"Jtan, 07-Des-16"
11,Legia Warszawa,Sporting CP,"Jtan, 07-Des-16"
12,Lyon,Sevilla,"Jtan, 07-Des-16"
13,Juventus,Dinamo Zagreb,"Jtan, 07-Des-16"
14,Club Bruges,FC Copenhagen,"Jtan, 07-Des-16"
15,FC Porto,Leicester,"Jtan, 07-Des-16"
16,CSKA Moscow,Bayer Leverkusen,"Jnne, 22-Nov-16"
17,Monaco,Tottenham,"Jnne, 22-Nov-16"
18,Sporting CP,Real Madrid,"Jnne, 22-Nov-16"
19,Borussia Dortmund,Legia Warszawa,"Jnne, 22-Nov-16"
20,Dinamo Zagreb,Lyon,"Jnne, 22-Nov-16"
21,Sevilla,Juventus,"Jnne, 22-Nov-16"
22,Leicester,Club Bruges,"Jnne, 22-Nov-16"
23,FC Copenhagen,FC Porto,"Jnne, 22-Nov-16"
24,FC Rostov,Bayern Munich,"Jtan, 23-Nov-16"
25,Besiktas,Benfica,"Jtan, 23-Nov-16"
26,Celtic,Barcelona,"Jtan, 23-Nov-16"
27,Borussia M.Gladbach,Manchester City,"Jtan, 23-Nov-16"
28,Arsenal,Paris Saint-Germain,"Jtan, 23-Nov-16"
29,Ludogorets Razgrad,FC Basel 1893,"Jtan, 23-Nov-16"
30,Napoli,Dynamo Kyiv,"Jtan, 23-Nov-16"
31,Atletico Madrid,PSV Eindhoven,"Jtan, 23-Nov-16"
32,Besiktas,Napoli,"Jnne, 01-Nov-16"
33,Benfica,Dynamo Kyiv,"Jnne, 01-Nov-16"
34,Borussia M.Gladbach,Celtic,"Jnne, 01-Nov-16"
35,Manchester City,Barcelona,"Jnne, 01-Nov-16"
36,Atletico Madrid,FC Rostov,"Jnne, 01-Nov-16"
37,PSV Eindhoven,Bayern Munich,"Jnne, 01-Nov-16"
38,Ludogorets Razgrad,Arsenal,"Jnne, 01-Nov-16"
39,FC Basel 1893,Paris Saint-Germain,"Jnne, 01-Nov-16"
40,Monaco,CSKA Moscow,"Jtan, 02-Nov-16"
41,Tottenham,Bayer Leverkusen,"Jtan, 02-Nov-16"
42,Borussia Dortmund,Sporting CP,"Jtan, 02-Nov-16"
43,Legia Warszawa,Real Madrid,"Jtan, 02-Nov-16"
44,Sevilla,Dinamo Zagreb,"Jtan, 02-Nov-16"
45,Juventus,Lyon,"Jtan, 02-Nov-16"
46,FC Copenhagen,Leicester,"Jtan, 02-Nov-16"
47,FC Porto,Club Bruges,"Jtan, 02-Nov-16"
48,CSKA Moscow,Monaco,"Jnne, 18-Okt-16"
49,Bayer Leverkusen,Tottenham,"Jnne, 18-Okt-16"
50,Sporting CP,Borussia Dortmund,"Jnne, 18-Okt-16"
51,Real Madrid,Legia Warszawa,"Jnne, 18-Okt-16"
52,Dinamo Zagreb,Sevilla,"Jnne, 18-Okt-16"
53,Lyon,Juventus,"Jnne, 18-Okt-16"
54,Leicester,FC Copenhagen,"Jnne, 18-Okt-16"
55,Club Bruges,FC Porto,"Jnne, 18-Okt-16"
56,Arsenal,Ludogorets Razgrad,"Jtan, 19-Okt-16"
57,Paris Saint-Germain,FC Basel 1893,"Jtan, 19-Okt-16"
58,Napoli,Besiktas,"Jtan, 19-Okt-16"
59,Dynamo Kyiv,Benfica,"Jtan, 19-Okt-16"
60,Celtic,Borussia M.Gladbach,"Jtan, 19-Okt-16"
61,Barcelona,Manchester City,"Jtan, 19-Okt-16"
62,FC Rostov,Atletico Madrid,"Jtan, 19-Okt-16"
63,Bayern Munich,PSV Eindhoven,"Jtan, 19-Okt-16"
64,Monaco,Bayer Leverkusen,"Jnne, 27-Sep-16"
65,CSKA Moscow,Tottenham,"Jnne, 27-Sep-16"
66,Borussia Dortmund,Real Madrid,"Jnne, 27-Sep-16"
67,Sporting CP,Legia Warszawa,"Jnne, 27-Sep-16"
68,Sevilla,Lyon,"Jnne, 27-Sep-16"
69,Dinamo Zagreb,Juventus,"Jnne, 27-Sep-16"
70,FC Copenhagen,Club Bruges,"Jnne, 27-Sep-16"
71,Leicester,FC Porto,"Jnne, 27-Sep-16"
72,Ludogorets Razgrad,Paris Saint-Germain,"Jtan, 28-Sep-16"
73,Arsenal,FC Basel 1893,"Jtan, 28-Sep-16"
74,Besiktas,Dynamo Kyiv,"Jtan, 28-Sep-16"
75,Napoli,Benfica,"Jtan, 28-Sep-16"
76,Borussia M.Gladbach,Barcelona,"Jtan, 28-Sep-16"
77,Celtic,Manchester City,"Jtan, 28-Sep-16"
