,home_team,away_team,time_day
0,Zenit St. Petersburg,Borussia Dortmund,"Jnne, 08-Des-20"
1,Lazio,Club Bruges,"Jnne, 08-Des-20"
2,Barcelona,Juventus,"Jnne, 08-Des-20"
3,Dynamo Kyiv,Ferencvaros,"Jnne, 08-Des-20"
4,RB Leipzig,Manchester United,"Jnne, 08-Des-20"
5,Chelsea,FC Krasnodar,"Jnne, 08-Des-20"
6,Rennes,Sevilla,"Jnne, 08-Des-20"
7,Ajax,Atalanta,"Jtan, 09-Des-20"
8,FC Midtjylland,Liverpool,"Jtan, 09-Des-20"
9,Paris Saint-Germain,Istanbul Basaksehir,"Jtan, 09-Des-20"
10,Bayern Munich,Lokomotiv Moscow,"Jtan, 09-Des-20"
11,Salzburg,Atletico Madrid,"Jtan, 09-Des-20"
12,Real Madrid,Borussia M.Gladbach,"Jtan, 09-Des-20"
13,Inter,Shakhtar Donetsk,"Jtan, 09-Des-20"
14,Manchester City,Marseille,"Jtan, 09-Des-20"
15,Olympiacos,FC Porto,"Jtan, 09-Des-20"
16,Shakhtar Donetsk,Real Madrid,"Jnne, 01-Des-20"
17,Lokomotiv Moscow,Salzburg,"Jnne, 01-Des-20"
18,Atletico Madrid,Bayern Munich,"Jnne, 01-Des-20"
19,Borussia M.Gladbach,Inter,"Jnne, 01-Des-20"
20,FC Porto,Manchester City,"Jnne, 01-Des-20"
21,Marseille,Olympiacos,"Jnne, 01-Des-20"
22,Liverpool,Ajax,"Jnne, 01-Des-20"
23,Atalanta,FC Midtjylland,"Jnne, 01-Des-20"
24,FC Krasnodar,Rennes,"Jtan, 02-Des-20"
25,Istanbul Basaksehir,RB Leipzig,"Jtan, 02-Des-20"
26,Manchester United,Paris Saint-Germain,"Jtan, 02-Des-20"
27,Sevilla,Chelsea,"Jtan, 02-Des-20"
28,Borussia Dortmund,Lazio,"Jtan, 02-Des-20"
29,Club Bruges,Zenit St. Petersburg,"Jtan, 02-Des-20"
30,Juventus,Dynamo Kyiv,"Jtan, 02-Des-20"
31,Ferencvaros,Barcelona,"Jtan, 02-Des-20"
32,Rennes,Chelsea,"Jnne, 24-Nov-20"
33,FC Krasnodar,Sevilla,"Jnne, 24-Nov-20"
34,Borussia Dortmund,Club Bruges,"Jnne, 24-Nov-20"
35,Lazio,Zenit St. Petersburg,"Jnne, 24-Nov-20"
36,Juventus,Ferencvaros,"Jnne, 24-Nov-20"
37,Dynamo Kyiv,Barcelona,"Jnne, 24-Nov-20"
38,Paris Saint-Germain,RB Leipzig,"Jnne, 24-Nov-20"
39,Manchester United,Istanbul Basaksehir,"Jnne, 24-Nov-20"
40,Borussia M.Gladbach,Shakhtar Donetsk,"Jtan, 25-Nov-20"
41,Olympiacos,Manchester City,"Jtan, 25-Nov-20"
42,Marseille,FC Porto,"Jtan, 25-Nov-20"
43,Liverpool,Atalanta,"Jtan, 25-Nov-20"
44,Ajax,FC Midtjylland,"Jtan, 25-Nov-20"
45,Inter,Real Madrid,"Jtan, 25-Nov-20"
46,Bayern Munich,Salzburg,"Jtan, 25-Nov-20"
47,Atletico Madrid,Lokomotiv Moscow,"Jtan, 25-Nov-20"
48,Shakhtar Donetsk,Borussia M.Gladbach,"Jnne, 03-Nov-20"
49,Lokomotiv Moscow,Atletico Madrid,"Jnne, 03-Nov-20"
50,Salzburg,Bayern Munich,"Jnne, 03-Nov-20"
51,Real Madrid,Inter,"Jnne, 03-Nov-20"
52,Manchester City,Olympiacos,"Jnne, 03-Nov-20"
53,FC Porto,Marseille,"Jnne, 03-Nov-20"
54,FC Midtjylland,Ajax,"Jnne, 03-Nov-20"
55,Atalanta,Liverpool,"Jnne, 03-Nov-20"
56,Istanbul Basaksehir,Manchester United,"Jtan, 04-Nov-20"
57,Zenit St. Petersburg,Lazio,"Jtan, 04-Nov-20"
58,Club Bruges,Borussia Dortmund,"Jtan, 04-Nov-20"
59,Barcelona,Dynamo Kyiv,"Jtan, 04-Nov-20"
60,Ferencvaros,Juventus,"Jtan, 04-Nov-20"
61,RB Leipzig,Paris Saint-Germain,"Jtan, 04-Nov-20"
62,Sevilla,FC Krasnodar,"Jtan, 04-Nov-20"
63,Chelsea,Rennes,"Jtan, 04-Nov-20"
64,Lokomotiv Moscow,Bayern Munich,"Jnne, 27-Okt-20"
65,Shakhtar Donetsk,Inter,"Jnne, 27-Okt-20"
66,Borussia M.Gladbach,Real Madrid,"Jnne, 27-Okt-20"
67,FC Porto,Olympiacos,"Jnne, 27-Okt-20"
68,Marseille,Manchester City,"Jnne, 27-Okt-20"
69,Liverpool,FC Midtjylland,"Jnne, 27-Okt-20"
70,Atalanta,Ajax,"Jnne, 27-Okt-20"
71,Atletico Madrid,Salzburg,"Jnne, 27-Okt-20"
72,Istanbul Basaksehir,Paris Saint-Germain,"Jtan, 28-Okt-20"
73,FC Krasnodar,Chelsea,"Jtan, 28-Okt-20"
74,Sevilla,Rennes,"Jtan, 28-Okt-20"
75,Club Bruges,Lazio,"Jtan, 28-Okt-20"
76,Borussia Dortmund,Zenit St. Petersburg,"Jtan, 28-Okt-20"
77,Ferencvaros,Dynamo Kyiv,"Jtan, 28-Okt-20"
78,Juventus,Barcelona,"Jtan, 28-Okt-20"
79,Manchester United,RB Leipzig,"Jtan, 28-Okt-20"
80,Zenit St. Petersburg,Club Bruges,"Jnne, 20-Okt-20"
81,Dynamo Kyiv,Juventus,"Jnne, 20-Okt-20"
82,Barcelona,Ferencvaros,"Jnne, 20-Okt-20"
83,RB Leipzig,Istanbul Basaksehir,"Jnne, 20-Okt-20"
84,Paris Saint-Germain,Manchester United,"Jnne, 20-Okt-20"
85,Lazio,Borussia Dortmund,"Jnne, 20-Okt-20"
86,Chelsea,Sevilla,"Jnne, 20-Okt-20"
87,Rennes,FC Krasnodar,"Jnne, 20-Okt-20"
88,Salzburg,Lokomotiv Moscow,"Jtan, 21-Okt-20"
89,Real Madrid,Shakhtar Donetsk,"Jtan, 21-Okt-20"
90,Inter,Borussia M.Gladbach,"Jtan, 21-Okt-20"
91,Manchester City,FC Porto,"Jtan, 21-Okt-20"
92,Olympiacos,Marseille,"Jtan, 21-Okt-20"
93,Ajax,Liverpool,"Jtan, 21-Okt-20"
