,home_team,away_team,home_score,away_score,start_time,time_day,home_open_play,away_open_play,home_setpiece,away_setpiece,home_counterattack,away_counterattack,home_penalty,away_penalty,home_cross,away_cross,home_longball,away_longball,home_throughball,away_throughball,home_stortball,away_stortball,home_form,away_form,home_player,away_player
0,Manchester City,Stoke,3,0,19:45,"Jnne, 17-Mei-11",12,3,7,3,0,0,0,0,10,18,9,2,42,69,503,352,2004-03-03,2004-04-02,"['Hart', '6.92', 'Kolarov', '6.89', 'Lescott', '6.99', 'Kompany', '7.42', 'Boyata', '6.55', 'Barry', '7.06', 'Jong', '7.05', 'Touré', '7.17', 'Balotelli', '6.85', 'Tevez', '7.59', 'Silva', '7.15']","['Sørensen', '6.60', 'Collins', '6.69', 'Shawcross', '6.85', 'Wilkinson', '6.80', 'Huth', '7.15', 'Delap', '6.74', 'Whelan', '6.49', 'Whitehead', '6.61', 'Pennant', '7.11', 'Jones', '7.23', 'Carew', '6.49']"
1,Manchester United,Blackpool,4,2,16:00,"Jpl, 22-Mei-11",14,9,6,5,0,1,0,0,27,28,6,0,73,64,500,337,2004-04-02,2004-03-03,"['Sar', '6.66', 'Fábio', '6.70', 'Smalling', '7.02', 'Evans', '6.90', 'Rafael', '7.24', 'Nani', '7.71', 'Anderson', '6.95', 'Gibson', '6.44', 'Bebé', '6.27', 'Owen', '6.28', 'Berbatov', '7.32']","['Gilks', '6.52', 'Baptiste', '6.78', 'Evatt', '7.00', 'Cathcart', '6.74', 'Eardley', '6.75', 'Grandin', '6.47', 'Vaughan', '7.16', 'Adam', '7.48', 'Varney', '6.67', 'Campbell', '6.70', 'Taylor-Fletcher', '6.87']"
2,Bolton,Manchester City,0,2,16:00,"Jpl, 22-Mei-11",8,10,7,4,0,3,0,0,27,16,2,7,69,60,248,427,2004-04-02,2004-03-03,"['Jääskeläinen', '6.76', 'Robinson', '6.78', 'Cahill', '7.30', 'Knight', '6.98', 'Steinsson', '6.96', 'Taylor', '6.64', 'Cohen', '6.31', 'Muamba', '6.61', 'Elmander', '7.18', 'Sturridge', '7.12', 'Davies', '7.31']","['Hart', '6.92', 'Kolarov', '6.89', 'Lescott', '6.99', 'Kompany', '7.42', 'Boyata', '6.55', 'Barry', '7.06', 'Jong', '7.05', 'Touré', '7.17', 'Milner', '6.77', 'Tevez', '7.59', 'Johnson', '6.78']"
3,Stoke,Wigan,0,1,16:00,"Jpl, 22-Mei-11",4,13,10,1,0,0,0,0,20,7,1,1,79,74,296,302,2004-04-02,2004-03-03,"['Sørensen', '6.60', 'Collins', '6.69', 'Shawcross', '6.85', 'Wilkinson', '6.80', 'Wilson', '6.55', 'Delap', '6.74', 'Whelan', '6.49', 'Whitehead', '6.61', 'Pennant', '7.11', 'Jones', '7.23', 'Carew', '6.49']","['Habsi', '6.82', 'Figueroa', '6.82', 'Alcaraz', '7.42', 'Caldwell', '6.72', 'Gohouri', '7.16', 'McCarthy', '6.91', 'Watson', '7.03', 'Diamé', '6.95', 'Cleverley', '6.73', 'Rodallega', '6.62', ""N'Zogbia"", '7.17']"
4,Fulham,Arsenal,2,2,16:00,"Jpl, 22-Mei-11",4,9,2,4,3,0,0,0,21,23,2,16,74,56,213,551,2004-04-02,4-2-3-1,"['Schwarzer', '6.79', 'Salcido', '6.91', 'Hughes', '7.08', 'Hangeland', '7.39', 'Pantsil', '6.70', 'Kakuta', '6.61', 'Etuhu', '6.84', 'Murphy', '7.08', 'Dempsey', '7.09', 'Dembélé', '7.12', 'Zamora', '6.89']","['Szczesny', '6.80', 'Gibbs', '6.55', 'Koscielny', '7.04', 'Vermaelen', '7.26', 'Sagna', '7.16', 'Wilshere', '7.05', 'Song', '7.38', 'Arshavin', '7.06', 'Ramsey', '6.46', 'Walcott', '6.92', 'Persie', '7.56']"
5,Tottenham,Birmingham,2,1,16:00,"Jpl, 22-Mei-11",16,2,7,5,1,0,0,0,24,15,2,0,90,74,548,226,4-4-1-1,4-4-1-1,"['Gomes', '7.01', 'Corluka', '6.95', 'Gallas', '6.88', 'Dawson', '7.38', 'Kaboul', '6.95', 'Pienaar', '6.86', 'Modric', '7.34', 'Sandro', '6.89', 'Lennon', '6.84', 'Vaart', '7.44', 'Crouch', '6.83']","['Foster', '6.94', 'Parnaby', '6.66', 'Jiranek', '6.58', 'Johnson', '7.08', 'Carr', '6.56', 'Fahey', '6.40', 'Bowyer', '6.47', 'Ferguson', '6.69', 'Larsson', '6.94', 'Hleb', '6.53', 'Jerome', '6.58']"
6,West Ham,Sunderland,0,3,16:00,"Jpl, 22-Mei-11",11,13,7,5,1,2,0,0,28,15,2,2,55,73,399,367,2004-04-02,2004-05-01,"['Green', '6.74', 'Bridge', '6.70', 'Upson', '6.83', 'Tomkins', '7.34', 'Jacobsen', '6.45', 'Morte', '6.55', 'Hitzlsperger', '7.27', 'Parker', '7.27', 'Obinna', '6.96', 'Piquionne', '6.90', 'Ba', '7.10']","['Mignolet', '6.72', 'Bardsley', '7.07', 'Mensah', '6.89', 'Ferdinand', '6.90', 'Onuoha', '6.91', 'Muntari', '6.96', 'Henderson', '7.05', 'Zenden', '6.54', 'Colback', '6.49', 'Malbranque', '6.79', 'Sessegnon', '6.85']"
7,Aston Villa,Liverpool,1,0,16:00,"Jpl, 22-Mei-11",6,6,3,5,0,1,0,0,13,13,0,5,89,45,360,431,2004-04-02,2004-04-02,"['Friedel', '6.50', 'Warnock', '6.83', 'Collins', '7.04', 'Dunne', '7.02', 'Walker', '7.27', 'Downing', '7.18', 'Young', '7.11', 'Petrov', '7.02', 'Albrighton', '7.03', 'Agbonlahor', '6.50', 'Bent', '7.07']","['Reina', '6.70', 'Robinson', '6.91', 'Skrtel', '6.83', 'Carragher', '6.70', 'Flanagan', '6.76', 'Cole', '6.41', 'Leiva', '7.21', 'Spearing', '6.91', 'Kuyt', '7.29', 'Carroll', '6.75', 'Suárez', '7.63']"
8,Everton,Chelsea,1,0,16:00,"Jpl, 22-Mei-11",6,16,5,3,1,0,0,0,23,28,3,3,67,64,235,488,4-4-1-1,2004-03-03,"['Howard', '6.60', 'Baines', '7.20', 'Distin', '7.15', 'Jagielka', '7.11', 'Hibbert', '6.66', 'Arteta', '7.26', 'Rodwell', '6.37', 'Neville', '6.62', 'Coleman', '6.74', 'Osman', '7.12', 'Beckford', '6.46']","['Cech', '6.85', 'Cole', '6.95', 'Terry', '7.31', 'Luiz', '7.17', 'Ivanovic', '7.24', 'Lampard', '7.37', 'Ramires', '7.06', 'Essien', '7.24', 'Malouda', '7.44', 'Drogba', '7.55', 'Kalou', '6.86']"
9,Newcastle United,West Bromwich Albion,3,3,16:00,"Jpl, 22-Mei-11",11,9,5,7,1,0,0,0,32,14,2,2,84,44,336,320,2004-04-02,4-2-3-1,"['Krul', '6.43', 'Enrique', '6.97', 'Taylor', '6.81', 'Coloccini', '6.81', 'Simpson', '6.59', 'Ferguson', '6.44', 'Barton', '7.35', 'Tioté', '7.16', 'Løvenkrands', '6.57', 'Ranger', '6.19', 'Ameobi', '6.72']","['Carson', '6.31', 'Shorey', '6.50', 'Olsson', '6.84', 'Méité', '6.42', 'Reid', '6.74', 'Scharner', '6.93', 'Mulumbu', '7.16', 'Thomas', '6.88', 'Morrison', '6.68', 'Brunt', '7.23', 'Odemwingie', '7.21']"
