,home_team,away_team,home_score,away_score,start_time,time_day,home_open_play,away_open_play,home_setpiece,away_setpiece,home_counterattack,away_counterattack,home_penalty,away_penalty,home_cross,away_cross,home_longball,away_longball,home_throughball,away_throughball,home_stortball,away_stortball,home_form,away_form,home_player,away_player
0,Blackburn,Wigan,0,1,20:00,"Jtat, 07-Mei-12",9,15,3,5,0,0,0,0,23,27,2,4,71,57,199,421,4-4-1-1,5-4-1,"['Robinson', '6.21', 'Olsson', '6.60', 'Givet', '6.65', 'Dann', '6.62', 'Orr', '6.44', 'Pedersen', '6.98', 'Dunn', '6.63', 'Nzonzi', '6.83', 'Formica', '6.73', 'Hoilett', '7.03', 'Yakubu', '6.74']","['Habsi', '6.60', 'Beausejour', '6.96', 'Figueroa', '6.94', 'Caldwell', '6.57', 'Alcaraz', '6.89', 'Boyce', '6.76', 'Maloney', '6.83', 'McArthur', '6.68', 'McCarthy', '6.76', 'Moses', '6.91', 'Santo', '6.69']"
1,Liverpool,Chelsea,4,1,20:00,"Jnne, 08-Mei-12",14,4,7,6,1,1,1,0,19,15,2,0,58,63,408,348,4-4-2,4-2-3-1,"['Reina', '6.47', 'Enrique', '6.84', 'Skrtel', '6.94', 'Agger', '6.92', 'Johnson', '7.02', 'Rodríguez', '6.78', 'Spearing', '6.56', 'Gerrard', '7.03', 'Kuyt', '6.59', 'Suárez', '7.35', 'Carroll', '6.89']","['Cech', '6.74', 'Cole', '6.86', 'Terry', '7.11', 'Ivanovic', '7.12', 'Bosingwa', '6.97', 'Essien', '6.60', 'Lampard', '7.12', 'Mata', '7.31', 'Ramires', '7.21', 'Sturridge', '6.88', 'Torres', '6.76']"
2,Wigan,Wolverhampton Wanderers,3,2,15:00,"Jpl, 13-Mei-12",9,7,5,2,0,0,0,0,20,18,4,1,62,55,417,387,5-4-1,4-4-2,"['Habsi', '6.60', 'Beausejour', '6.96', 'Figueroa', '6.94', 'Caldwell', '6.57', 'Alcaraz', '6.89', 'Boyce', '6.76', 'Maloney', '6.83', 'McArthur', '6.68', 'McCarthy', '6.76', 'Moses', '6.91', 'Santo', '6.69']","['Vries', '6.63', 'Ward', '6.63', 'Berra', '6.62', 'Stearman', '6.43', 'Zubar', '6.67', 'Hunt', '6.45', 'Edwards', '6.54', 'Henry', '6.55', 'Kightly', '6.59', 'Doyle', '6.68', 'Fletcher', '6.79']"
3,West Bromwich Albion,Arsenal,2,3,15:00,"Jpl, 13-Mei-12",10,8,3,2,0,3,0,0,24,24,3,5,49,61,288,416,4-4-2,4-2-3-1,"['Foster', '6.85', 'Ridgewell', '7.00', 'McAuley', '6.89', 'Olsson', '6.81', 'Jones', '6.60', 'Thomas', '6.68', 'Mulumbu', '7.09', 'Andrews', '6.59', 'Dorrans', '6.56', 'Long', '6.66', 'Fortuné', '6.75']","['Szczesny', '6.60', 'Gibbs', '7.06', 'Koscielny', '7.24', 'Vermaelen', '7.13', 'Coquelin', '6.87', 'Ramsey', '6.77', 'Song', '7.22', 'Benayoun', '6.72', 'Rosicky', '6.93', 'Walcott', '6.86', 'Persie', '7.80']"
4,Tottenham,Fulham,2,0,15:00,"Jpl, 13-Mei-12",13,9,4,2,0,0,0,0,17,13,2,0,60,50,483,481,4-4-1-1,4-4-1-1,"['Friedel', '6.72', 'Gallas', '7.09', 'Kaboul', '7.30', 'King', '6.82', 'Walker', '7.13', 'Bale', '7.66', 'Sandro', '7.00', 'Modric', '7.59', 'Lennon', '6.83', 'Vaart', '7.21', 'Adebayor', '7.29']","['Schwarzer', '6.68', 'Riise', '6.90', 'Hughes', '6.74', 'Hangeland', '6.95', 'Kelly', '6.69', 'Dempsey', '7.28', 'Diarra', '7.06', 'Murphy', '6.93', 'Duff', '6.64', 'Dembélé', '7.27', 'Pogrebnyak', '6.75']"
5,Swansea,Liverpool,1,0,15:00,"Jpl, 13-Mei-12",6,8,6,5,1,0,0,0,17,20,2,0,89,55,533,310,4-2-3-1,4-4-2,"['Vorm', '7.06', 'Taylor', '6.75', 'Williams', '7.00', 'Caulker', '6.90', 'Rangel', '7.00', 'Allen', '7.14', 'Britton', '6.68', 'Sinclair', '6.80', 'Sigurdsson', '7.63', 'Dyer', '6.95', 'Graham', '6.71']","['Reina', '6.47', 'Enrique', '6.84', 'Skrtel', '6.94', 'Agger', '6.92', 'Johnson', '7.02', 'Downing', '6.65', 'Spearing', '6.56', 'Gerrard', '7.03', 'Henderson', '6.67', 'Suárez', '7.35', 'Carroll', '6.89']"
6,Sunderland,Manchester United,0,1,15:00,"Jpl, 13-Mei-12",6,13,2,8,0,0,0,0,13,22,0,2,63,59,288,577,4-4-1-1,4-4-2,"['Mignolet', '6.86', 'Bardsley', '6.88', 'Turner', '6.89', 'Kilgallon', '6.80', ""O'Shea"", '6.84', 'McClean', '7.07', 'Colback', '6.74', 'Cattermole', '6.84', 'Gardner', '6.79', 'Sessegnon', '6.96', 'Bendtner', '6.93']","['Gea', '6.98', 'Evra', '7.38', 'Jones', '7.18', 'Ferdinand', '7.00', 'Rafael', '7.39', 'Young', '7.24', 'Carrick', '7.34', 'Scholes', '7.22', 'Valencia', '7.51', 'Rooney', '7.73', 'Chicharito', '6.69']"
7,Norwich,Aston Villa,2,0,15:00,"Jpl, 13-Mei-12",14,6,7,4,2,0,0,0,28,21,2,0,83,55,444,313,4-3-1-2,4-2-3-1,"['Ruddy', '6.71', 'Lappin', '6.90', 'Bennett', '6.78', 'Martin', '6.84', 'Naughton', '6.92', 'Johnson', '6.82', 'Howson', '6.65', 'Bennett', '6.68', 'Hoolahan', '6.74', 'Morison', '6.57', 'Holt', '6.67']","['Given', '6.61', 'Warnock', '7.02', 'Dunne', '7.05', 'Cuellar', '7.05', 'Lichaj', '6.71', 'Clark', '6.75', 'Herd', '6.81', 'Agbonlahor', '6.74', 'Ireland', '6.8', ""N'Zogbia"", '6.79', 'Heskey', '6.50']"
8,Stoke,Bolton,2,2,15:00,"Jpl, 13-Mei-12",12,15,3,5,1,0,1,0,21,30,2,1,74,53,231,233,4-4-2,4-4-2,"['Sørensen', '6.58', 'Wilson', '6.78', 'Shawcross', '6.97', 'Huth', '7.01', 'Shotton', '6.57', 'Etherington', '6.73', 'Whelan', '6.73', 'Whitehead', '6.54', 'Delap', '6.47', 'Crouch', '6.90', 'Walters', '6.61']","['Bogdan', '6.55', 'Ricketts', '6.74', 'Ream', '6.89', 'Knight', '6.64', 'Boyata', '6.62', 'Petrov', '6.71', 'Davies', '6.93', 'Reo-Coker', '6.75', 'Eagles', '6.89', 'Davies', '6.68', ""N'Gog"", '6.60']"
9,Manchester City,Queens Park Rangers,3,2,15:00,"Jpl, 13-Mei-12",27,2,17,1,0,0,0,0,67,2,3,0,46,63,665,115,4-2-3-1,4-5-1,"['Hart', '6.82', 'Clichy', '7.37', 'Lescott', '7.05', 'Kompany', '7.32', 'Zabaleta', '7.29', 'Touré', '7.42', 'Barry', '7.23', 'Nasri', '7.20', 'Agüero', '7.45', 'Silva', '7.50', 'Tevez', '7.14']","['Kenny', '6.52', 'Taiwo', '6.78', 'Hill', '6.71', 'Ferdinand', '6.75', 'Onuoha', '6.09', 'Taarabt', '6.99', 'Barton', '7.09', 'Derry', '6.61', 'Diakité', '7.11', 'Mackie', '6.50', 'Zamora', '6.76']"
