,home_team,away_team,time_day
0,Chelsea,Tottenham,"Jumapili, Mac 1 2015"
1,Chelsea,Liverpool,"Jumanne, Jan 27 2015"
2,Sheffield United,Tottenham,"Jumatano, Jan 28 2015"
3,Liverpool,Chelsea,"Jumanne, Jan 20 2015"
4,Tottenham,Sheffield United,"Jumatano, Jan 21 2015"
5,1Derby,Chelsea,"Jumanne, Des 16 2014"
6,Sheffield United,Southampton1,"Jumanne, Des 16 2014"
7,Tottenham,Newcastle United,"Jumatano, Des 17 2014"
8,Bournemouth,Liverpool,"Jumatano, Des 17 2014"
9,Bournemouth,West Bromwich Albion,"Jumanne, Okt 28 2014"
10,Milton Keynes Dons,Sheffield United,"Jumanne, Okt 28 2014"
11,Shrewsbury,Chelsea,"Jumanne, Okt 28 2014"
12,Fulham,Derby,"Jumanne, Okt 28 2014"
13,Liverpool,Swansea1,"Jumanne, Okt 28 2014"
14,Manchester City,Newcastle United,"Jumatano, Okt 29 2014"
15,1Stoke,Southampton,"Jumatano, Okt 29 2014"
16,Tottenham,Brighton,"Jumatano, Okt 29 2014"
17,Sunderland,Stoke,"Jumanne, Sep 23 2014"
18,Milton Keynes Dons,Bradford,"Jumanne, Sep 23 2014"
19,Swansea,Everton,"Jumanne, Sep 23 2014"
20,Shrewsbury,Norwich,"Jumanne, Sep 23 2014"
21,Leyton Orient,Sheffield United,"Jumanne, Sep 23 2014"
22,Arsenal,Southampton,"Jumanne, Sep 23 2014"
23,Cardiff,Bournemouth,"Jumanne, Sep 23 2014"
24,Derby,Reading,"Jumanne, Sep 23 2014"
25,Liverpool,Middlesbrough,"Jumanne, Sep 23 2014"
26,Fulham,Doncaster,"Jumanne, Sep 23 2014"
27,Chelsea,Bolton,"Jumatano, Sep 24 2014"
28,Manchester City,Sheffield Wednesday1,"Jumatano, Sep 24 2014"
29,Burton,Brighton1,"Jumatano, Sep 24 2014"
30,Tottenham,Nottingham Forest,"Jumatano, Sep 24 2014"
31,West Bromwich Albion,Hull,"Jumatano, Sep 24 2014"
32,Crystal Palace,Newcastle United1,"Jumatano, Sep 24 2014"
33,Crewe,Bolton,"Jumanne, Ago 26 2014"
34,Derby,Charlton,"Jumanne, Ago 26 2014"
35,Gillingham,Newcastle United,"Jumanne, Ago 26 2014"
36,Huddersfield,Nottingham Forest,"Jumanne, Ago 26 2014"
37,Leicester,Shrewsbury,"Jumanne, Ago 26 2014"
38,Middlesbrough,Preston,"Jumanne, Ago 26 2014"
39,Millwall,Southampton,"Jumanne, Ago 26 2014"
40,Bournemouth,Northampton,"Jumanne, Ago 26 2014"
41,Norwich,Crawley,"Jumanne, Ago 26 2014"
42,Port Vale,Cardiff,"Jumanne, Ago 26 2014"
43,Scunthorpe,Reading,"Jumanne, Ago 26 2014"
44,Swansea,Rotherham,"Jumanne, Ago 26 2014"
45,1Swindon,Brighton,"Jumanne, Ago 26 2014"
46,Walsall,Crystal Palace,"Jumanne, Ago 26 2014"
47,Watford,Doncaster,"Jumanne, Ago 26 2014"
48,Brentford,Fulham,"Jumanne, Ago 26 2014"
49,Burnley,Sheffield Wednesday,"Jumanne, Ago 26 2014"
50,West Ham,Sheffield United,"Jumanne, Ago 26 2014"
51,West Bromwich Albion,Oxford1,"Jumanne, Ago 26 2014"
52,Milton Keynes Dons,Manchester United,"Jumanne, Ago 26 2014"
53,Stoke,Portsmouth,"Jumatano, Ago 27 2014"
54,Bradford,Leeds1,"Jumatano, Ago 27 2014"
55,Aston Villa,Leyton Orient,"Jumatano, Ago 27 2014"
56,Birmingham,Sunderland,"Jumatano, Ago 27 2014"
57,Burton,Queens Park Rangers,"Jumatano, Ago 27 2014"
58,Carlisle,Derby,"Jumatatu, Ago 11 2014"
59,Port Vale,Hartlepool,"Jumanne, Ago 12 2014"
60,Morecambe,Bradford,"Jumanne, Ago 12 2014"
61,Barnsley,Crewe,"Jumanne, Ago 12 2014"
62,Chesterfield,Huddersfield,"Jumanne, Ago 12 2014"
63,Blackburn,Scunthorpe,"Jumanne, Ago 12 2014"
64,Oldham,Middlesbrough,"Jumanne, Ago 12 2014"
65,Shrewsbury,Blackpool,"Jumanne, Ago 12 2014"
66,Sheffield Wednesday,Notts Co.,"Jumanne, Ago 12 2014"
67,Tranmere,Nottingham Forest1,"Jumanne, Ago 12 2014"
68,1Leeds,Accrington,"Jumanne, Ago 12 2014"
69,Burton,Wigan,"Jumanne, Ago 12 2014"
70,1Luton,Swindon,"Jumanne, Ago 12 2014"
71,York,Doncaster,"Jumanne, Ago 12 2014"
72,Rochdale,Preston,"Jumanne, Ago 12 2014"
73,Rotherham,Fleetwood,"Jumanne, Ago 12 2014"
74,Dag and Red,Brentford,"Jumanne, Ago 12 2014"
75,Charlton,Colchester1,"Jumanne, Ago 12 2014"
76,Bristol City,Oxford,"Jumanne, Ago 12 2014"
77,Brighton,Cheltenham,"Jumanne, Ago 12 2014"
78,Crawley,Ipswich,"Jumanne, Ago 12 2014"
79,Wolverhampton Wanderers,Northampton,"Jumanne, Ago 12 2014"
80,1Yeovil,Gillingham,"Jumanne, Ago 12 2014"
81,Milton Keynes Dons,AFC Wimbledon,"Jumanne, Ago 12 2014"
82,Exeter,Bournemouth,"Jumanne, Ago 12 2014"
83,Stevenage,Watford,"Jumanne, Ago 12 2014"
84,Plymouth,Leyton Orient,"Jumanne, Ago 12 2014"
85,Birmingham,Cambridge U,"Jumanne, Ago 12 2014"
86,1Millwall,Wycombe,"Jumanne, Ago 12 2014"
87,Southend,Walsall,"Jumanne, Ago 12 2014"
88,Portsmouth,Peterborough,"Jumanne, Ago 12 2014"
89,Reading,Newport,"Jumanne, Ago 12 2014"
90,Bolton,Bury,"Jumanne, Ago 12 2014"
91,Coventry,Cardiff,"Jumatano, Ago 13 2014"
92,Sheffield United,Mansfield,"Jumatano, Ago 13 2014"
