,home_team,away_team,time_day
0,CSKA Moscow,Lille,"Jnne, 22-Nov-11"
1,Trabzonspor,Inter,"Jnne, 22-Nov-11"
2,Otelul Galati,FC Basel 1893,"Jnne, 22-Nov-11"
3,Manchester United,Benfica,"Jnne, 22-Nov-11"
4,Real Madrid,Dinamo Zagreb,"Jnne, 22-Nov-11"
5,Lyon,Ajax,"Jnne, 22-Nov-11"
6,Napoli,Manchester City,"Jnne, 22-Nov-11"
7,Bayern Munich,Villarreal,"Jnne, 22-Nov-11"
8,Zenit St. Petersburg,APOEL Nicosia,"Jtan, 23-Nov-11"
9,BATE Borisov,Viktoria Plzen,"Jtan, 23-Nov-11"
10,Shakhtar Donetsk,FC Porto,"Jtan, 23-Nov-11"
11,Marseille,Olympiacos,"Jtan, 23-Nov-11"
12,Arsenal,Borussia Dortmund,"Jtan, 23-Nov-11"
13,AC Milan,Barcelona,"Jtan, 23-Nov-11"
14,Bayer Leverkusen,Chelsea,"Jtan, 23-Nov-11"
15,Valencia,Genk,"Jtan, 23-Nov-11"
16,BATE Borisov,AC Milan,"Jnne, 01-Nov-11"
17,Zenit St. Petersburg,Shakhtar Donetsk,"Jnne, 01-Nov-11"
18,APOEL Nicosia,FC Porto,"Jnne, 01-Nov-11"
19,Viktoria Plzen,Barcelona,"Jnne, 01-Nov-11"
20,Arsenal,Marseille,"Jnne, 01-Nov-11"
21,Borussia Dortmund,Olympiacos,"Jnne, 01-Nov-11"
22,Valencia,Bayer Leverkusen,"Jnne, 01-Nov-11"
23,Genk,Chelsea,"Jnne, 01-Nov-11"
24,Manchester United,Otelul Galati,"Jtan, 02-Nov-11"
25,Benfica,FC Basel 1893,"Jtan, 02-Nov-11"
26,Lyon,Real Madrid,"Jtan, 02-Nov-11"
27,Ajax,Dinamo Zagreb,"Jtan, 02-Nov-11"
28,Bayern Munich,Napoli,"Jtan, 02-Nov-11"
29,Villarreal,Manchester City,"Jtan, 02-Nov-11"
30,Trabzonspor,CSKA Moscow,"Jtan, 02-Nov-11"
31,Inter,Lille,"Jtan, 02-Nov-11"
32,CSKA Moscow,Trabzonspor,"Jnne, 18-Okt-11"
33,Lille,Inter,"Jnne, 18-Okt-11"
34,Napoli,Bayern Munich,"Jnne, 18-Okt-11"
35,Manchester City,Villarreal,"Jnne, 18-Okt-11"
36,Otelul Galati,Manchester United,"Jnne, 18-Okt-11"
37,FC Basel 1893,Benfica,"Jnne, 18-Okt-11"
38,Real Madrid,Lyon,"Jnne, 18-Okt-11"
39,Dinamo Zagreb,Ajax,"Jnne, 18-Okt-11"
40,Marseille,Arsenal,"Jtan, 19-Okt-11"
41,Olympiacos,Borussia Dortmund,"Jtan, 19-Okt-11"
42,AC Milan,BATE Borisov,"Jtan, 19-Okt-11"
43,Barcelona,Viktoria Plzen,"Jtan, 19-Okt-11"
44,Shakhtar Donetsk,Zenit St. Petersburg,"Jtan, 19-Okt-11"
45,FC Porto,APOEL Nicosia,"Jtan, 19-Okt-11"
46,Bayer Leverkusen,Valencia,"Jtan, 19-Okt-11"
47,Chelsea,Genk,"Jtan, 19-Okt-11"
48,CSKA Moscow,Inter,"Jnne, 27-Sep-11"
49,Trabzonspor,Lille,"Jnne, 27-Sep-11"
50,Bayern Munich,Manchester City,"Jnne, 27-Sep-11"
51,Napoli,Villarreal,"Jnne, 27-Sep-11"
52,Manchester United,FC Basel 1893,"Jnne, 27-Sep-11"
