,home_team,away_team,home_score,away_score,start_time,time_day,home_open_play,away_open_play,home_setpiece,away_setpiece,home_counterattack,away_counterattack,home_penalty,away_penalty,home_cross,away_cross,home_longball,away_longball,home_throughball,away_throughball,home_stortball,away_stortball,home_form,away_form,home_player,away_player
0,Sheffield United,Everton,0,1,18:00,"Jtat, 20-Jul-20",6,3,2,2,0,0,0,0,32,7,0,0,83,79,387,405,3-5-2,4-4-2,"['Henderson', '6.72', ""O'Connell"", '6.93', 'Egan', '6.93', 'Basham', '6.98', 'Stevens', '6.82', 'Lundstram', '6.70', 'Norwood', '6.82', 'Fleck', '6.86', 'Baldock', '6.79', 'Mousset', '6.48', 'McBurnie', '6.89']","['Pickford', '6.40', 'Digne', '7.16', 'Keane', '6.83', 'Branthwaite', '6.65', 'Coleman', '6.59', 'Gordon', '6.42', 'Gomes', '6.43', 'Davies', '6.47', 'Walcott', '6.46', 'Richarlison', '7.19', 'Calvert-Lewin', '6.87']"
1,Brighton,Newcastle United,0,0,18:00,"Jtat, 20-Jul-20",6,5,5,7,0,0,0,0,23,25,0,0,38,60,512,259,4-3-2-1,4-4-1-1,"['Ryan', '6.67', 'Burn', '6.90', 'Dunk', '6.89', 'Duffy', '6.71', 'Lamptey', '6.84', 'Pröpper', '6.65', 'Stephens', '6.65', 'Bissouma', '6.71', 'Trossard', '6.54', 'Mooy', '6.67', 'Maupay', '6.66']","['Dúbravka', '6.72', 'Rose', '6.47', 'Fernández', '6.73', 'Watts', '5.97', 'Yedlin', '6.33', 'Joelinton', '6.67', 'Bentaleb', '6.46', 'Shelvey', '6.97', 'Saint-Maximin', '7.29', 'Almirón', '6.70', 'Gayle', '6.48']"
2,Wolverhampton Wanderers,Crystal Palace,2,0,20:15,"Jtat, 20-Jul-20",9,6,2,1,0,0,0,0,18,14,0,0,81,60,385,350,3-4-3,4-1-4-1,"['Patrício', '6.63', 'Saïss', '6.88', 'Coady', '6.51', 'Boly', '7.19', 'Jonny', '6.81', 'Moutinho', '7.01', 'Neves', '6.82', 'Doherty', '6.99', 'Jota', '6.76', 'Jiménez', '7.25', 'Traoré', '7.49']","['Guaita', '6.69', 'Mitchell', '6.15', 'Sakho', '6.24', 'Dann', '6.67', 'Ward', '6.66', 'Milivojevic', '6.67', 'Zaha', '6.98', 'McCarthy', '6.42', 'McArthur', '6.81', 'Townsend', '6.56', 'Ayew', '6.93']"
3,Watford,Manchester City,0,4,18:00,"Jnne, 21-Jul-20",1,18,1,7,0,0,0,1,5,26,0,2,69,49,168,717,4-2-3-1,4-3-3,"['Foster', '6.52', 'Masina', '6.66', 'Cathcart', '6.63', 'Kabasele', '6.70', 'Dawson', '6.72', 'Chalobah', '6.41', 'Hughes', '6.62', 'Welbeck', '6.39', 'Doucouré', '6.67', 'Sarr', '6.71', 'Deeney', '7.05']","['Ederson', '6.62', 'Mendy', '6.83', 'Laporte', '7.00', 'Fernandinho', '6.86', 'Walker', '6.90', 'Silva', '7.29', 'Rodri', '7.09', 'Bruyne', '7.97', 'Sterling', '7.35', 'Jesus', '7.26', 'Silva', '7.03']"
4,Aston Villa,Arsenal,1,0,20:15,"Jnne, 21-Jul-20",4,4,3,3,1,0,0,0,24,33,0,0,58,46,208,566,4-3-3,3-4-3,"['Reina', '6.5', 'Targett', '6.86', 'Mings', '6.63', 'Konsa', '6.47', 'Mohamady', '6.55', 'Hourihane', '6.69', 'Luiz', '6.63', 'McGinn', '7.00', 'Grealish', '7.23', 'Davis', '6.22', 'Trézéguet', '6.59']","['Martínez', '7.02', 'Tierney', '6.64', 'Luiz', '6.58', 'Holding', '6.55', 'Maitland-Niles', '6.63', 'Ceballos', '6.84', 'Xhaka', '6.78', 'Bellerín', '6.64', 'Aubameyang', '7.03', 'Lacazette', '6.92', 'Pépé', '7.06']"
5,Manchester United,West Ham,1,1,18:00,"Jtan, 22-Jul-20",11,6,0,5,0,0,0,1,8,20,1,0,48,68,566,377,4-2-3-1,4-2-3-1,"['Romero', 'N/A', 'Fosu-Mensah', '6.32', 'Maguire', '7.12', 'Lindelöf', '6.71', 'Wan-Bissaka', '7.19', 'McTominay', '6.92', 'Pogba', '7.18', 'Rashford', '7.35', 'Fernandes', '7.73', 'Greenwood', '6.73', 'Martial', '7.31']","['Fabianski', '6.62', 'Cresswell', '6.62', 'Ogbonna', '6.74', 'Diop', '6.62', 'Johnson', '6.76', 'Soucek', '7.14', 'Rice', '7.01', 'Fornals', '6.48', 'Noble', '6.67', 'Bowen', '6.99', 'Antonio', '7.29']"
6,Liverpool,Chelsea,5,3,20:15,"Jtan, 22-Jul-20",4,10,5,0,1,0,0,0,12,19,1,0,69,101,518,484,4-3-3,4-3-3,"['Alisson', '6.62', 'Robertson', '7.11', 'Dijk', '7.32', 'Gomez', '6.78', 'Alexander-Arnold', '7.20', 'Keïta', '6.94', 'Fabinho', '6.88', 'Wijnaldum', '6.81', 'Mané', '7.45', 'Firmino', '7.14', 'Salah', '7.40']","['Arrizabalaga', '6.36', 'Alonso', '7.30', 'Zouma', '6.91', 'Rüdiger', '6.77', 'Azpilicueta', '7.12', 'Kovacic', '6.94', 'Jorginho', '6.85', 'Mount', '6.91', 'Pulisic', '7.18', 'Giroud', '6.89', 'Willian', '7.31']"
7,Arsenal,Watford,3,2,16:00,"Jpl, 26-Jul-20",7,10,4,8,1,0,1,1,10,38,0,0,50,49,401,356,3-4-3,4-3-3,"['Martínez', '7.02', 'Tierney', '6.64', 'Luiz', '6.58', 'Holding', '6.55', 'Maitland-Niles', '6.63', 'Ceballos', '6.84', 'Xhaka', '6.78', 'Bellerín', '6.64', 'Aubameyang', '7.03', 'Lacazette', '6.92', 'Pépé', '7.06']","['Foster', '6.52', 'Masina', '6.66', 'Dawson', '6.72', 'Kabasele', '6.70', 'Mariappa', '6.25', 'Hughes', '6.62', 'Chalobah', '6.41', 'Doucouré', '6.67', 'Welbeck', '6.39', 'Deeney', '7.05', 'Sarr', '6.71']"
8,Burnley,Brighton,1,2,16:00,"Jpl, 26-Jul-20",10,14,3,1,0,0,0,0,37,19,1,0,75,74,312,266,4-4-2,4-3-2-1,"['Pope', '6.77', 'Pieters', '6.65', 'Tarkowski', '7.19', 'Long', '6.65', 'Bardsley', '6.92', 'McNeil', '7.06', 'Brownhill', '6.71', 'Westwood', '6.79', 'Gudmundsson', '6.62', 'Rodriguez', '6.58', 'Wood', '6.72']","['Ryan', '6.67', 'Burn', '6.90', 'Dunk', '6.89', 'Webster', '6.79', 'Lamptey', '6.84', 'Pröpper', '6.65', 'Stephens', '6.65', 'Bissouma', '6.71', 'Trossard', '6.54', 'Mooy', '6.67', 'Maupay', '6.66']"
9,Chelsea,Wolverhampton Wanderers,2,0,16:00,"Jpl, 26-Jul-20",3,2,5,3,3,0,0,0,11,9,1,0,71,70,564,302,3-4-3,3-4-3,"['Arrizabalaga', '6.36', 'Rüdiger', '6.77', 'Zouma', '6.91', 'Azpilicueta', '7.12', 'Alonso', '7.30', 'Kovacic', '6.94', 'Jorginho', '6.85', 'James', '6.90', 'Pulisic', '7.18', 'Abraham', '6.91', 'Willian', '7.31']","['Patrício', '6.63', 'Saïss', '6.88', 'Coady', '6.51', 'Boly', '7.19', 'Jonny', '6.81', 'Moutinho', '7.01', 'Neves', '6.82', 'Doherty', '6.99', 'Jota', '6.76', 'Jiménez', '7.25', 'Traoré', '7.49']"
10,Crystal Palace,Tottenham,1,1,16:00,"Jpl, 26-Jul-20",5,5,8,2,0,0,0,0,24,11,0,0,56,55,371,437,4-4-2,4-2-3-1,"['Guaita', '6.69', 'Mitchell', '6.15', 'Dann', '6.67', 'Kouyaté', '6.67', 'Ward', '6.66', 'Schlupp', '6.62', 'McArthur', '6.81', 'McCarthy', '6.42', 'Townsend', '6.56', 'Zaha', '6.98', 'Ayew', '6.93']","['Lloris', '6.98', 'Davies', '6.77', 'Alderweireld', '6.82', 'Sánchez', '6.66', 'Aurier', '7.06', 'Sissoko', '6.73', 'Winks', '6.57', 'Heung-Min', '7.24', 'Alli', '6.87', 'Moura', '6.96', 'Kane', '7.33']"
11,Everton,Bournemouth,1,3,16:00,"Jpl, 26-Jul-20",12,7,1,5,0,0,0,1,21,24,1,0,60,50,636,234,4-2-3-1,4-4-2,"['Pickford', '6.40', 'Digne', '7.16', 'Branthwaite', '6.65', 'Keane', '6.83', 'Coleman', '6.59', 'Davies', '6.47', 'Gomes', '6.43', 'Gordon', '6.42', 'Sigurdsson', '6.65', 'Richarlison', '7.19', 'Calvert-Lewin', '6.87']","['Ramsdale', '6.69', 'Rico', '7.06', 'Aké', '6.75', 'Cook', '6.72', 'Stacey', '6.58', 'Stanislas', '6.51', 'Cook', '6.31', 'Gosling', '6.42', 'Brooks', '6.37', 'King', '6.76', 'Wilson', '6.51']"
12,Leicester,Manchester United,0,2,16:00,"Jpl, 26-Jul-20",10,5,3,1,1,0,0,1,19,7,0,3,57,53,372,467,3-4-3,4-2-3-1,"['Schmeichel', '6.72', 'Evans', '6.90', 'Morgan', '6.38', 'Bennett', '6.41', 'Thomas', '7.07', 'Ndidi', '7.23', 'Tielemans', '6.88', 'Justin', '6.80', 'Barnes', '6.76', 'Vardy', '7.22', 'Pérez', '6.77']","['Gea', '6.57', 'Shaw', '6.85', 'Maguire', '7.12', 'Lindelöf', '6.71', 'Wan-Bissaka', '7.19', 'Matic', '7.00', 'Pogba', '7.18', 'Rashford', '7.35', 'Fernandes', '7.73', 'Greenwood', '6.73', 'Martial', '7.31']"
