,home_team,away_team,time_day
0,Olympiacos,Malmoe FF,"Jnne, 09-Des-14"
1,Juventus,Atletico Madrid,"Jnne, 09-Des-14"
2,Liverpool,FC Basel 1893,"Jnne, 09-Des-14"
3,Real Madrid,Ludogorets Razgrad,"Jnne, 09-Des-14"
4,Monaco,Zenit St. Petersburg,"Jnne, 09-Des-14"
5,Benfica,Bayer Leverkusen,"Jnne, 09-Des-14"
6,Galatasaray,Arsenal,"Jnne, 09-Des-14"
7,Borussia Dortmund,Anderlecht,"Jnne, 09-Des-14"
8,Roma,Manchester City,"Jtan, 10-Des-14"
9,Bayern Munich,CSKA Moscow,"Jtan, 10-Des-14"
10,Barcelona,Paris Saint-Germain,"Jtan, 10-Des-14"
11,Ajax,APOEL Nicosia,"Jtan, 10-Des-14"
12,Maribor,Schalke 04,"Jtan, 10-Des-14"
13,Chelsea,Sporting CP,"Jtan, 10-Des-14"
14,FC Porto,Shakhtar Donetsk,"Jtan, 10-Des-14"
15,Athletic Bilbao,BATE Borisov,"Jtan, 10-Des-14"
16,CSKA Moscow,Roma,"Jnne, 25-Nov-14"
17,BATE Borisov,FC Porto,"Jnne, 25-Nov-14"
18,Shakhtar Donetsk,Athletic Bilbao,"Jnne, 25-Nov-14"
19,Manchester City,Bayern Munich,"Jnne, 25-Nov-14"
20,Paris Saint-Germain,Ajax,"Jnne, 25-Nov-14"
21,APOEL Nicosia,Barcelona,"Jnne, 25-Nov-14"
22,Schalke 04,Chelsea,"Jnne, 25-Nov-14"
23,Sporting CP,Maribor,"Jnne, 25-Nov-14"
24,Zenit St. Petersburg,Benfica,"Jtan, 26-Nov-14"
25,Anderlecht,Galatasaray,"Jtan, 26-Nov-14"
26,Arsenal,Borussia Dortmund,"Jtan, 26-Nov-14"
27,Atletico Madrid,Olympiacos,"Jtan, 26-Nov-14"
28,Malmoe FF,Juventus,"Jtan, 26-Nov-14"
29,Ludogorets Razgrad,Liverpool,"Jtan, 26-Nov-14"
30,FC Basel 1893,Real Madrid,"Jtan, 26-Nov-14"
31,Bayer Leverkusen,Monaco,"Jtan, 26-Nov-14"
32,Zenit St. Petersburg,Bayer Leverkusen,"Jnne, 04-Nov-14"
33,Benfica,Monaco,"Jnne, 04-Nov-14"
34,Arsenal,Anderlecht,"Jnne, 04-Nov-14"
35,Borussia Dortmund,Galatasaray,"Jnne, 04-Nov-14"
36,Malmoe FF,Atletico Madrid,"Jnne, 04-Nov-14"
37,Juventus,Olympiacos,"Jnne, 04-Nov-14"
38,FC Basel 1893,Ludogorets Razgrad,"Jnne, 04-Nov-14"
39,Real Madrid,Liverpool,"Jnne, 04-Nov-14"
40,Manchester City,CSKA Moscow,"Jtan, 05-Nov-14"
41,Bayern Munich,Roma,"Jtan, 05-Nov-14"
42,Paris Saint-Germain,APOEL Nicosia,"Jtan, 05-Nov-14"
43,Ajax,Barcelona,"Jtan, 05-Nov-14"
44,Sporting CP,Schalke 04,"Jtan, 05-Nov-14"
45,Maribor,Chelsea,"Jtan, 05-Nov-14"
46,Shakhtar Donetsk,BATE Borisov,"Jtan, 05-Nov-14"
47,Athletic Bilbao,FC Porto,"Jtan, 05-Nov-14"
48,CSKA Moscow,Manchester City,"Jnne, 21-Okt-14"
49,Roma,Bayern Munich,"Jnne, 21-Okt-14"
50,APOEL Nicosia,Paris Saint-Germain,"Jnne, 21-Okt-14"
51,Barcelona,Ajax,"Jnne, 21-Okt-14"
52,Schalke 04,Sporting CP,"Jnne, 21-Okt-14"
53,Chelsea,Maribor,"Jnne, 21-Okt-14"
54,BATE Borisov,Shakhtar Donetsk,"Jnne, 21-Okt-14"
55,FC Porto,Athletic Bilbao,"Jnne, 21-Okt-14"
56,Atletico Madrid,Malmoe FF,"Jtan, 22-Okt-14"
57,Olympiacos,Juventus,"Jtan, 22-Okt-14"
58,Ludogorets Razgrad,FC Basel 1893,"Jtan, 22-Okt-14"
59,Liverpool,Real Madrid,"Jtan, 22-Okt-14"
60,Bayer Leverkusen,Zenit St. Petersburg,"Jtan, 22-Okt-14"
61,Monaco,Benfica,"Jtan, 22-Okt-14"
62,Anderlecht,Arsenal,"Jtan, 22-Okt-14"
63,Galatasaray,Borussia Dortmund,"Jtan, 22-Okt-14"
64,CSKA Moscow,Bayern Munich,"Jnne, 30-Sep-14"
65,Paris Saint-Germain,Barcelona,"Jnne, 30-Sep-14"
