,home_team,away_team,home_score,away_score,start_time,time_day,home_open_play,away_open_play,home_setpiece,away_setpiece,home_counterattack,away_counterattack,home_penalty,away_penalty,home_cross,away_cross,home_longball,away_longball,home_throughball,away_throughball,home_stortball,away_stortball,home_form,away_form,home_player,away_player
0,Crystal Palace,Liverpool,3,3,20:00,"Jtat, 05-Mei-14",8,21,1,5,1,0,0,0,28,14,1,5,59,50,254,572,4-4-1-1,4-3-3,"['Speroni', '6.80', 'Ward', '7.28', 'Delaney', '7.15', 'Dann', '7.11', 'Mariappa', '7.00', 'Bolasie', '6.94', 'Ledley', '7.08', 'Jedinak', '7.55', 'Puncheon', '7.02', 'Chamakh', '6.94', 'Jerome', '6.61']","['Mignolet', '6.68', 'Flanagan', '7.07', 'Sakho', '7.05', 'Skrtel', '7.46', 'Johnson', '7.14', 'Leiva', '7.07', 'Gerrard', '7.77', 'Allen', '6.89', 'Sterling', '7.40', 'Suárez', '8.43', 'Coutinho', '7.44']"
1,Manchester United,Hull,3,1,19:45,"Jnne, 06-Mei-14",14,2,4,0,0,0,0,0,15,11,0,0,60,77,583,445,4-2-3-1,3-5-2,"['Gea', '6.60', 'Evra', '7.32', 'Vidic', '7.17', 'Ferdinand', '6.74', 'Jones', '7.26', 'Carrick', '7.06', 'Fletcher', '6.58', 'Januzaj', '6.96', 'Mata', '7.31', 'Young', '6.55', 'Persie', '7.06']","['Harper', '6.46', 'Figueroa', '6.87', 'Davies', '7.40', 'Bruce', '6.66', 'Rosenior', '6.86', 'Meyler', '6.54', 'Huddlestone', '7.16', 'Livermore', '6.81', 'Mohamady', '7.00', 'Jelavic', '6.72', 'Long', '6.86']"
2,Sunderland,West Bromwich Albion,2,0,19:45,"Jtan, 07-Mei-14",8,10,1,3,1,0,0,0,12,15,1,0,74,56,372,421,4-1-4-1,4-2-3-1,"['Mannone', '7.03', 'Alonso', '7.34', 'Brown', '6.66', ""O'Shea"", '6.73', 'Vergini', '6.56', 'Cattermole', '6.66', 'Borini', '6.80', 'Larsson', '6.72', 'Colback', '6.72', 'Johnson', '6.85', 'Wickham', '6.81']","['Foster', '6.57', 'Brunt', '7.01', 'Olsson', '6.97', 'McAuley', '7.10', 'Jones', '6.95', 'Morrison', '6.80', 'Mulumbu', '7.02', 'Dorrans', '6.93', 'Sessegnon', '6.51', 'Amalfitano', '6.91', 'Berahino', '6.45']"
3,Manchester City,Aston Villa,4,0,19:45,"Jtan, 07-Mei-14",13,3,4,1,1,1,0,0,30,11,5,0,51,65,693,207,4-2-3-1,4-4-2,"['Hart', '6.69', 'Kolarov', '7.12', 'Demichelis', '7.39', 'Kompany', '7.18', 'Zabaleta', '7.25', 'Touré', '7.55', 'Fernandinho', '7.40', 'Nasri', '7.34', 'Silva', '7.57', 'Milner', '6.59', 'Dzeko', '7.15']","['Guzan', '6.78', 'Clark', '6.87', 'Baker', '6.65', 'Vlaar', '6.93', 'Lowton', '6.53', 'Bertrand', '6.44', 'Delph', '7.12', 'Westwood', '6.82', 'Albrighton', '6.81', 'Weimann', '6.58', 'Bowery', '6.17']"
4,Cardiff,Chelsea,1,2,15:00,"Jpl, 11-Mei-14",8,26,2,2,0,0,0,0,18,25,1,2,62,66,275,519,4-1-4-1,4-3-3,"['Marshall', '6.72', 'Fábio', '6.65', 'Turner', '6.95', 'Caulker', '7.06', 'Théophile-Catherine', '6.78', 'Medel', '6.70', 'Bellamy', '6.50', 'Whittingham', '6.86', 'Mutch', '6.81', 'Zaha', '6.58', 'Campbell', '6.48']","['Schwarzer', '7.00', 'Azpilicueta', '7.26', 'Kalas', '6.86', 'Cahill', '7.29', 'Ivanovic', '7.29', 'Luiz', '6.98', 'Mikel', '6.66', 'Matic', '7.63', 'Schürrle', '6.88', 'Ba', '6.51', 'Willian', '7.25']"
5,Fulham,Crystal Palace,2,2,15:00,"Jpl, 11-Mei-14",11,10,4,4,0,1,0,0,32,12,0,0,80,61,429,205,3-5-1-1,4-4-1-1,"['Stockdale', '6.67', 'Amorebieta', '6.89', 'Hangeland', '6.83', 'Heitinga', '6.56', 'Richardson', '6.78', 'Sidwell', '7.03', 'Diarra', '6.47', 'Parker', '6.83', 'Dejagah', '6.76', 'Holtby', '7.00', 'Mitroglou', '6.20']","['Speroni', '6.80', 'Ward', '7.28', 'Delaney', '7.15', 'Dann', '7.11', 'Mariappa', '7.00', 'Bolasie', '6.94', 'Dikgacoi', '6.55', 'Jedinak', '7.55', 'Puncheon', '7.02', 'Gayle', '6.35', 'Chamakh', '6.94']"
6,Hull,Everton,0,2,15:00,"Jpl, 11-Mei-14",6,8,6,3,0,0,0,0,23,11,0,3,63,81,410,561,3-5-2,4-2-3-1,"['Harper', '6.46', 'Figueroa', '6.87', 'Davies', '7.40', 'Bruce', '6.66', 'Rosenior', '6.86', 'Livermore', '6.81', 'Boyd', '6.48', 'Meyler', '6.54', 'Mohamady', '7.00', 'Jelavic', '6.44', 'Fryatt', '6.21']","['Howard', '6.89', 'Baines', '7.25', 'Jagielka', '7.26', 'Stones', '6.84', 'Coleman', '7.32', 'Barry', '7.28', 'McCarthy', '7.14', 'Naismith', '6.61', 'Barkley', '7.00', 'Deulofeu', '6.62', 'Lukaku', '7.31']"
7,Liverpool,Newcastle United,2,1,15:00,"Jpl, 11-Mei-14",7,6,6,2,0,0,0,0,22,12,4,2,55,67,624,279,4-3-3,4-4-1-1,"['Mignolet', '6.68', 'Flanagan', '7.07', 'Sakho', '7.05', 'Skrtel', '7.46', 'Johnson', '7.14', 'Henderson', '7.20', 'Gerrard', '7.77', 'Allen', '6.89', 'Suárez', '8.43', 'Sturridge', '7.45', 'Sterling', '7.40']","['Krul', '6.60', 'Dummett', '6.77', 'Coloccini', '6.78', 'Williamson', '7.04', 'Debuchy', '7.44', 'Gouffran', '6.80', 'Tioté', '7.01', 'Anita', '6.61', 'Sissoko', '7.09', 'Rémy', '7.15', 'Ameobi', '6.62']"
8,Sunderland,Swansea,1,3,15:00,"Jpl, 11-Mei-14",13,7,7,0,0,0,0,0,23,13,0,1,42,56,370,312,4-1-4-1,4-2-3-1,"['Mannone', '7.03', 'Alonso', '7.34', 'Brown', '6.66', ""O'Shea"", '6.73', 'Vergini', '6.56', 'Cattermole', '6.66', 'Borini', '6.80', 'Larsson', '6.72', 'Colback', '6.72', 'Johnson', '6.85', 'Wickham', '6.81']","['Vorm', '6.47', 'Davies', '6.91', 'Williams', '7.23', 'Amat', '6.67', 'Tiendalli', '6.61', 'Shelvey', '6.94', 'Britton', '6.76', 'Routledge', '6.71', 'Guzmán', '6.88', 'Hernández', '6.74', 'Bony', '7.10']"
9,Manchester City,West Ham,2,0,15:00,"Jpl, 11-Mei-14",18,2,9,1,1,0,0,0,29,17,5,1,39,55,552,220,4-2-3-1,4-2-3-1,"['Hart', '6.69', 'Kolarov', '7.12', 'Demichelis', '7.39', 'Kompany', '7.18', 'Zabaleta', '7.25', 'Touré', '7.55', 'García', '6.69', 'Nasri', '7.34', 'Silva', '7.57', 'Milner', '6.59', 'Dzeko', '7.15']","['Adrián', '6.82', 'McCartney', '6.85', 'Reid', '7.00', 'Tomkins', '7.17', 'Demel', '6.83', 'Taylor', '6.60', 'Noble', '7.13', 'Diamé', '6.86', 'Nolan', '6.74', 'Downing', '6.91', 'Carroll', '7.23']"
