,home_team,away_team,time_day
0,Twente,Tottenham,"Jnne, 07-Des-10"
1,Werder Bremen,Inter,"Jnne, 07-Des-10"
2,Lyon,Hapoel Tel Aviv,"Jnne, 07-Des-10"
3,Benfica,Schalke 04,"Jnne, 07-Des-10"
4,Manchester United,Valencia,"Jnne, 07-Des-10"
5,Bursaspor,Rangers,"Jnne, 07-Des-10"
6,Barcelona,Rubin Kazan,"Jnne, 07-Des-10"
7,FC Copenhagen,Panathinaikos,"Jnne, 07-Des-10"
8,Bayern Munich,FC Basel 1893,"Jtan, 08-Des-10"
9,CFR Cluj,Roma,"Jtan, 08-Des-10"
10,Arsenal,Partizan Belgrade,"Jtan, 08-Des-10"
11,Shakhtar Donetsk,Braga,"Jtan, 08-Des-10"
12,Marseille,Chelsea,"Jtan, 08-Des-10"
13,Zilina,Spartak Moscow,"Jtan, 08-Des-10"
14,Real Madrid,Auxerre,"Jtan, 08-Des-10"
15,AC Milan,Ajax,"Jtan, 08-Des-10"
16,Spartak Moscow,Marseille,"Jnne, 23-Nov-10"
17,Chelsea,Zilina,"Jnne, 23-Nov-10"
18,Ajax,Real Madrid,"Jnne, 23-Nov-10"
19,Auxerre,AC Milan,"Jnne, 23-Nov-10"
20,Roma,Bayern Munich,"Jnne, 23-Nov-10"
21,FC Basel 1893,CFR Cluj,"Jnne, 23-Nov-10"
22,Braga,Arsenal,"Jnne, 23-Nov-10"
23,Partizan Belgrade,Shakhtar Donetsk,"Jnne, 23-Nov-10"
24,Rubin Kazan,FC Copenhagen,"Jtan, 24-Nov-10"
25,Inter,Twente,"Jtan, 24-Nov-10"
26,Tottenham,Werder Bremen,"Jtan, 24-Nov-10"
27,Schalke 04,Lyon,"Jtan, 24-Nov-10"
28,Hapoel Tel Aviv,Benfica,"Jtan, 24-Nov-10"
29,Rangers,Manchester United,"Jtan, 24-Nov-10"
30,Valencia,Bursaspor,"Jtan, 24-Nov-10"
31,Panathinaikos,Barcelona,"Jtan, 24-Nov-10"
32,Rubin Kazan,Panathinaikos,"Jnne, 02-Nov-10"
33,FC Copenhagen,Barcelona,"Jnne, 02-Nov-10"
34,Tottenham,Inter,"Jnne, 02-Nov-10"
35,Werder Bremen,Twente,"Jnne, 02-Nov-10"
36,Hapoel Tel Aviv,Schalke 04,"Jnne, 02-Nov-10"
37,Benfica,Lyon,"Jnne, 02-Nov-10"
38,Valencia,Rangers,"Jnne, 02-Nov-10"
39,Bursaspor,Manchester United,"Jnne, 02-Nov-10"
40,FC Basel 1893,Roma,"Jtan, 03-Nov-10"
41,CFR Cluj,Bayern Munich,"Jtan, 03-Nov-10"
42,Partizan Belgrade,Braga,"Jtan, 03-Nov-10"
43,Shakhtar Donetsk,Arsenal,"Jtan, 03-Nov-10"
44,Chelsea,Spartak Moscow,"Jtan, 03-Nov-10"
45,Zilina,Marseille,"Jtan, 03-Nov-10"
46,Auxerre,Ajax,"Jtan, 03-Nov-10"
47,AC Milan,Real Madrid,"Jtan, 03-Nov-10"
48,Spartak Moscow,Chelsea,"Jnne, 19-Okt-10"
49,Marseille,Zilina,"Jnne, 19-Okt-10"
50,Ajax,Auxerre,"Jnne, 19-Okt-10"
51,Real Madrid,AC Milan,"Jnne, 19-Okt-10"
52,Roma,FC Basel 1893,"Jnne, 19-Okt-10"
53,Bayern Munich,CFR Cluj,"Jnne, 19-Okt-10"
54,Braga,Partizan Belgrade,"Jnne, 19-Okt-10"
55,Arsenal,Shakhtar Donetsk,"Jnne, 19-Okt-10"
56,Inter,Tottenham,"Jtan, 20-Okt-10"
57,Twente,Werder Bremen,"Jtan, 20-Okt-10"
58,Schalke 04,Hapoel Tel Aviv,"Jtan, 20-Okt-10"
59,Lyon,Benfica,"Jtan, 20-Okt-10"
60,Rangers,Valencia,"Jtan, 20-Okt-10"
61,Manchester United,Bursaspor,"Jtan, 20-Okt-10"
62,Panathinaikos,Rubin Kazan,"Jtan, 20-Okt-10"
63,Barcelona,FC Copenhagen,"Jtan, 20-Okt-10"
64,Spartak Moscow,Zilina,"Jnne, 28-Sep-10"
65,Auxerre,Real Madrid,"Jnne, 28-Sep-10"
66,Ajax,AC Milan,"Jnne, 28-Sep-10"
67,FC Basel 1893,Bayern Munich,"Jnne, 28-Sep-10"
68,Roma,CFR Cluj,"Jnne, 28-Sep-10"
69,Partizan Belgrade,Arsenal,"Jnne, 28-Sep-10"
70,Braga,Shakhtar Donetsk,"Jnne, 28-Sep-10"
71,Chelsea,Marseille,"Jnne, 28-Sep-10"
72,Rubin Kazan,Barcelona,"Jtan, 29-Sep-10"
73,Panathinaikos,FC Copenhagen,"Jtan, 29-Sep-10"
74,Tottenham,Twente,"Jtan, 29-Sep-10"
75,Inter,Werder Bremen,"Jtan, 29-Sep-10"
76,Hapoel Tel Aviv,Lyon,"Jtan, 29-Sep-10"
77,Schalke 04,Benfica,"Jtan, 29-Sep-10"
78,Rangers,Bursaspor,"Jtan, 29-Sep-10"
79,Valencia,Manchester United,"Jtan, 29-Sep-10"
80,Twente,Inter,"Jnne, 14-Sep-10"
81,Werder Bremen,Tottenham,"Jnne, 14-Sep-10"
82,Lyon,Schalke 04,"Jnne, 14-Sep-10"
83,Benfica,Hapoel Tel Aviv,"Jnne, 14-Sep-10"
84,Manchester United,Rangers,"Jnne, 14-Sep-10"
85,Bursaspor,Valencia,"Jnne, 14-Sep-10"
86,Barcelona,Panathinaikos,"Jnne, 14-Sep-10"
87,FC Copenhagen,Rubin Kazan,"Jnne, 14-Sep-10"
88,Bayern Munich,Roma,"Jtan, 15-Sep-10"
