,home_team,away_team,home_score,away_score,start_time,time_day,home_open_play,away_open_play,home_setpiece,away_setpiece,home_counterattack,away_counterattack,home_penalty,away_penalty,home_cross,away_cross,home_longball,away_longball,home_throughball,away_throughball,home_stortball,away_stortball,home_form,away_form,home_player,away_player
0,Manchester United,Fulham,1,1,18:00,"Jnne, 18-Mei-21",10,4,3,4,0,0,0,0,20,9,0,1,48,53,502,364,4-2-3-1,3-4-2-1,"['Gea', '6.47', 'Shaw', '7.03', 'Lindelöf', '6.69', 'Bailly', '6.41', 'Wan-Bissaka', '7.15', 'McTominay', '6.93', 'Pogba', '7.06', 'Rashford', '7.13', 'Fernandes', '7.43', 'Greenwood', '6.72', 'Cavani', '6.67']","['Areola', '6.74', 'Adarabioyo', '6.73', 'Andersen', '6.79', 'Tete', '6.69', 'Cordova-Reid', '6.52', 'Anguissa', '6.99', 'Reed', '6.66', 'Carvalho', '6.60', 'Onomah', '6.08', 'Cavaleiro', '6.54', 'Maja', '6.39']"
1,Southampton,Leeds,0,2,18:00,"Jnne, 18-Mei-21",12,10,6,2,0,3,0,0,16,12,0,3,39,56,361,323,4-4-2,4-1-4-1,"['McCarthy', '6.49', 'Salisu', '6.66', 'Vestergaard', '6.89', 'Stephens', '6.52', 'Walker-Peters', '6.84', 'Redmond', '6.55', 'Ward-Prowse', '7.07', 'Armstrong', '6.82', 'Walcott', '6.56', 'Ings', '6.84', 'Tella', '6.25']","['Meslier', '6.91', 'Alioski', '6.62', 'Cooper', '7.06', 'Llorente', '6.90', 'Ayling', '6.94', 'Phillips', '7.01', 'Harrison', '6.96', 'Rodrigo', '6.67', 'Dallas', '6.87', 'Raphinha', '7.22', 'Bamford', '7.03']"
2,Brighton,Manchester City,3,2,19:00,"Jnne, 18-Mei-21",14,4,4,2,1,2,0,0,14,7,1,1,46,43,565,321,3-4-3,4-3-3,"['Sánchez', '6.59', 'Burn', '6.75', 'Webster', '6.77', 'White', '6.60', 'Moder', '6.28', 'Bissouma', '6.98', 'Lallana', '6.45', 'Groß', '6.82', 'Trossard', '6.80', 'Welbeck', '6.66', 'Tau', '6.39']","['Ederson', '6.61', 'Zinchenko', '6.84', 'Dias', '6.91', 'Stones', '7.03', 'Walker', '6.77', 'Gündogan', '7.29', 'Fernandinho', '6.81', 'Silva', '7.07', 'Foden', '7.14', 'Torres', '6.76', 'Mahrez', '7.31']"
3,Chelsea,Leicester,2,1,20:15,"Jnne, 18-Mei-21",9,6,6,1,1,0,1,0,17,17,1,0,43,55,511,332,3-4-2-1,3-4-1-2,"['Mendy', '6.56', 'Rüdiger', '7.02', 'Silva', '6.91', 'James', '6.94', 'Chilwell', '7.00', 'Kanté', '6.86', 'Jorginho', '6.88', 'Azpilicueta', '6.92', 'Mount', '7.33', 'Pulisic', '6.74', 'Havertz', '6.6']","['Schmeichel', '6.55', 'Söyüncü', '6.74', 'Fofana', '7.01', 'Castagne', '6.82', 'Thomas', '6.65', 'Tielemans', '7.09', 'Ndidi', '7.25', 'Albrighton', '6.74', 'Maddison', '7.00', 'Vardy', '7.11', 'Iheanacho', '6.84']"
4,Newcastle United,Sheffield United,1,0,18:00,"Jtan, 19-Mei-21",10,5,6,5,0,1,0,0,15,22,0,0,49,47,443,423,3-5-2,3-4-3,"['Dúbravka', '6.84', 'Dummett', '6.66', 'Clark', '6.64', 'Krafth', '6.47', 'Ritchie', '6.64', 'Almirón', '6.66', 'Shelvey', '6.80', 'Willock', '7.13', 'Murphy', '6.66', 'Joelinton', '6.75', 'Saint-Maximin', '7.12']","['Ramsdale', '6.55', 'Robinson', '6.61', 'Egan', '6.58', 'Basham', '6.69', 'Stevens', '6.39', 'Fleck', '6.51', 'Norwood', '6.48', 'Baldock', '6.35', 'Osborn', '6.40', 'Jebbison', '6.43', 'McGoldrick', '6.72']"
5,Tottenham,Aston Villa,1,2,18:00,"Jtan, 19-Mei-21",9,16,1,4,0,0,0,0,20,9,0,1,51,57,524,319,4-2-3-1,4-2-3-1,"['Lloris', '6.75', 'Reguilón', '6.72', 'Dier', '6.66', 'Alderweireld', '6.86', 'Tanganga', '6.70', 'Højbjerg', '6.95', 'Celso', '6.62', 'Heung-Min', '7.27', 'Alli', '6.49', 'Bale', '7.30', 'Kane', '7.79']","['Martínez', '7.00', 'Targett', '6.90', 'Mings', '6.80', 'Konsa', '6.75', 'Mohamady', '6.64', 'McGinn', '6.88', 'Luiz', '6.67', 'Grealish', '7.56', 'Barkley', '6.75', 'Traoré', '6.85', 'Watkins', '7.18']"
6,Everton,Wolverhampton Wanderers,1,0,18:00,"Jtan, 19-Mei-21",8,3,5,6,1,0,0,0,19,35,2,0,52,60,325,478,4-4-2,4-2-3-1,"['Pickford', '6.65', 'Digne', '7.08', 'Godfrey', '6.78', 'Keane', '6.92', 'Coleman', '6.65', 'Sigurdsson', '6.67', 'Allan', '6.77', 'Doucouré', '6.78', 'Rodríguez', '7.21', 'Richarlison', '6.98', 'Calvert-Lewin', '7.17']","['Patrício', '6.50', 'Aït-Nouri', '6.56', 'Saïss', '6.87', 'Coady', '6.53', 'Semedo', '6.90', 'Moutinho', '6.67', 'Neves', '6.81', 'Gibbs-White', '6.38', 'Vitinha', '6.23', 'Traoré', '7.11', 'José', '6.44']"
7,Crystal Palace,Arsenal,1,3,19:00,"Jtan, 19-Mei-21",7,6,5,0,0,0,0,0,28,26,0,1,51,60,213,550,4-3-3,4-2-3-1,"['Butland', '6.25', 'Mitchell', '6.70', 'Cahill', '6.57', 'Kouyaté', '6.57', 'Ward', '6.55', 'Schlupp', '6.65', 'Milivojevic', '6.55', 'Riedewald', '6.34', 'Zaha', '6.88', 'Benteke', '7.08', 'Townsend', '6.88']","['Leno', '6.56', 'Tierney', '6.68', 'Marí', '6.71', 'Holding', '6.79', 'Chambers', '6.79', 'Partey', '6.75', 'Elneny', '6.43', 'Rowe', '6.77', 'Ødegaard', '6.72', 'Saka', '6.88', 'Aubameyang', '6.78']"
8,Burnley,Liverpool,0,3,20:15,"Jtan, 19-Mei-21",8,13,2,5,0,2,0,0,36,16,0,3,78,57,312,531,4-4-2,4-3-3,"['Peacock-Farrell', '5.77', 'Taylor', '6.67', 'Mee', '6.93', 'Tarkowski', '7.02', 'Lowton', '6.72', 'McNeil', '6.87', 'Westwood', '6.63', 'Cork', '6.51', 'Brownhill', '6.76', 'Wood', '6.81', 'Barnes', '6.47']","['Alisson', '6.73', 'Robertson', '6.88', 'Phillips', '7.29', 'Williams', '6.71', 'Alexander-Arnold', '7.02', 'Wijnaldum', '6.62', 'Fabinho', '6.82', 'Thiago', '7.12', 'Mané', '7.33', 'Firmino', '7.11', 'Salah', '7.07']"
9,West Bromwich Albion,West Ham,1,3,20:15,"Jtan, 19-Mei-21",6,12,8,7,0,1,0,1,24,24,1,1,61,53,305,275,4-4-1-1,4-2-3-1,"['Johnstone', '6.74', 'Townsend', '6.72', 'Bartley', '6.77', 'Ajayi', '6.40', 'Furlong', '6.62', 'Diangana', '6.41', 'Yokuslu', '6.96', 'Gallagher', '6.63', 'Phillips', '6.34', 'Pereira', '6.96', 'Diagne', '6.68']","['Fabianski', '6.62', 'Cresswell', '6.81', 'Ogbonna', '6.73', 'Dawson', '6.67', 'Coufal', '6.95', 'Rice', '7.01', 'Soucek', '7.36', 'Benrahma', '6.59', 'Lingard', '7.22', 'Bowen', '6.75', 'Antonio', '7.17']"
