,home_team,away_team,time_day
0,Manchester City,Sunderland,"Jumapili, Mac 2 2014"
1,West Ham,Manchester City,"Jumanne, Jan 21 2014"
2,Manchester United,Sunderland,"Jumatano, Jan 22 2014"
3,Sunderland,Manchester United,"Jumanne, Jan 7 2014"
4,Manchester City,West Ham,"Jumatano, Jan 8 2014"
5,Leicester,Manchester City,"Jumanne, Des 17 2013"
6,Sunderland,Chelsea,"Jumanne, Des 17 2013"
7,Stoke,Manchester United,"Jumatano, Des 18 2013"
8,Tottenham,West Ham,"Jumatano, Des 18 2013"
9,Sunderland,Southampton,"Jumatano, Nov 6 2013"
10,Leicester,Fulham,"Jumanne, Okt 29 2013"
11,1Birmingham,Stoke,"Jumanne, Okt 29 2013"
12,Manchester United,Norwich,"Jumanne, Okt 29 2013"
13,1Burnley,West Ham,"Jumanne, Okt 29 2013"
14,Arsenal,Chelsea,"Jumanne, Okt 29 2013"
15,Tottenham,Hull,"Jumatano, Okt 30 2013"
16,Newcastle United,Manchester City,"Jumatano, Okt 30 2013"
17,Sunderland,Peterborough,"Jumanne, Sep 24 2013"
18,West Ham,Cardiff,"Jumanne, Sep 24 2013"
19,Burnley,Nottingham Forest,"Jumanne, Sep 24 2013"
20,Watford,Norwich,"Jumanne, Sep 24 2013"
21,Hull,Huddersfield,"Jumanne, Sep 24 2013"
22,Leicester,Derby,"Jumanne, Sep 24 2013"
23,Southampton,Bristol City,"Jumanne, Sep 24 2013"
24,Manchester City,Wigan,"Jumanne, Sep 24 2013"
25,Swindon,Chelsea,"Jumanne, Sep 24 2013"
26,Aston Villa,Tottenham,"Jumanne, Sep 24 2013"
27,Fulham,Everton,"Jumanne, Sep 24 2013"
28,Manchester United,Liverpool,"Jumatano, Sep 25 2013"
29,Newcastle United,Leeds,"Jumatano, Sep 25 2013"
30,Birmingham,Swansea,"Jumatano, Sep 25 2013"
31,Tranmere,Stoke,"Jumatano, Sep 25 2013"
32,West Bromwich Albion,Arsenal,"Jumatano, Sep 25 2013"
33,Bristol City,Crystal Palace,"Jumanne, Ago 27 2013"
34,Peterborough,Reading,"Jumanne, Ago 27 2013"
35,Barnsley,Southampton,"Jumanne, Ago 27 2013"
36,Burton,Fulham,"Jumanne, Ago 27 2013"
37,Burnley,Preston,"Jumanne, Ago 27 2013"
38,Liverpool,Notts Co.,"Jumanne, Ago 27 2013"
39,Norwich,Bury,"Jumanne, Ago 27 2013"
40,Leyton Orient,Hull,"Jumanne, Ago 27 2013"
41,Carlisle,Leicester,"Jumanne, Ago 27 2013"
42,Doncaster,Leeds,"Jumanne, Ago 27 2013"
43,Sunderland,Milton Keynes Dons,"Jumanne, Ago 27 2013"
44,Huddersfield,Charlton,"Jumanne, Ago 27 2013"
45,Tranmere,Bolton,"Jumanne, Ago 27 2013"
46,Queens Park Rangers,Swindon,"Jumanne, Ago 27 2013"
47,Derby,Brentford,"Jumanne, Ago 27 2013"
48,Yeovil,Birmingham,"Jumanne, Ago 27 2013"
49,West Ham,Cheltenham,"Jumanne, Ago 27 2013"
50,West Bromwich Albion,Newport,"Jumanne, Ago 27 2013"
51,Nottingham Forest,Millwall,"Jumatano, Ago 28 2013"
52,Morecambe,Newcastle United,"Jumatano, Ago 28 2013"
53,Aston Villa,Rotherham,"Jumatano, Ago 28 2013"
54,Everton,Stevenage,"Jumatano, Ago 28 2013"
55,Stoke,Walsall,"Jumatano, Ago 28 2013"
56,Accrington,Cardiff,"Jumatano, Ago 28 2013"
57,Watford,Bournemouth,"Jumatano, Ago 28 2013"
58,Preston,Blackpool,"Jumatatu, Ago 5 2013"
59,Barnsley,Scunthorpe,"Jumanne, Ago 6 2013"
60,Tranmere,Mansfield,"Jumanne, Ago 6 2013"
61,York,Burnley,"Jumanne, Ago 6 2013"
62,Bury,Crewe,"Jumanne, Ago 6 2013"
63,Shrewsbury,Bolton,"Jumanne, Ago 6 2013"
64,Middlesbrough,Accrington,"Jumanne, Ago 6 2013"
65,Doncaster,Rochdale,"Jumanne, Ago 6 2013"
66,Sheffield United,Burton,"Jumanne, Ago 6 2013"
67,Oldham,Derby,"Jumanne, Ago 6 2013"
68,Morecambe,Wolverhampton Wanderers,"Jumanne, Ago 6 2013"
69,Nottingham Forest,Hartlepool,"Jumanne, Ago 6 2013"
70,Huddersfield,Bradford,"Jumanne, Ago 6 2013"
71,Port Vale,Walsall,"Jumanne, Ago 6 2013"
72,Gillingham,Bristol City,"Jumanne, Ago 6 2013"
73,Bournemouth,Portsmouth,"Jumanne, Ago 6 2013"
74,Wycombe,Leicester,"Jumanne, Ago 6 2013"
75,Brentford,Dag and Red,"Jumanne, Ago 6 2013"
76,Exeter,Queens Park Rangers,"Jumanne, Ago 6 2013"
77,Charlton,Oxford,"Jumanne, Ago 6 2013"
78,Southend,Yeovil,"Jumanne, Ago 6 2013"
79,Millwall,AFC Wimbledon,"Jumanne, Ago 6 2013"
80,Swindon,Torquay,"Jumanne, Ago 6 2013"
81,Birmingham,Plymouth,"Jumanne, Ago 6 2013"
82,Stevenage,Ipswich,"Jumanne, Ago 6 2013"
83,Cheltenham,Crawley,"Jumanne, Ago 6 2013"
84,Bristol Rovers,Watford,"Jumanne, Ago 6 2013"
85,Northampton,Milton Keynes Dons,"Jumanne, Ago 6 2013"
86,Leyton Orient,Coventry1,"Jumanne, Ago 6 2013"
87,Colchester,Peterborough,"Jumanne, Ago 6 2013"
88,1Brighton,Newport,"Jumanne, Ago 6 2013"
89,Rotherham,Sheffield Wednesday1,"Jumanne, Ago 6 2013"
90,Leeds,Chesterfield,"Jumatano, Ago 7 2013"
91,Carlisle,Blackburn1,"Jumatano, Ago 7 2013"
92,1Notts Co.,Fleetwood,"Jumatano, Ago 7 2013"
