,home_team,away_team,home_score,away_score,start_time,time_day,home_open_play,away_open_play,home_setpiece,away_setpiece,home_counterattack,away_counterattack,home_penalty,away_penalty,home_cross,away_cross,home_longball,away_longball,home_throughball,away_throughball,home_stortball,away_stortball,home_form,away_form,home_player,away_player
0,Chelsea,Watford,4,3,20:00,"Jtat, 15-Mei-17",15,7,8,2,1,0,0,0,11,8,5,0,50,47,411,479,3-4-3,3-5-2,"['Courtois', '6.74', 'Zouma', '6.23', 'Terry', '6.35', 'Aké', '6.64', 'Alonso', '7.41', 'Kanté', '7.23', 'Matic', '7.01', 'Moses', '7.22', 'Hazard', '7.81', 'Batshuayi', '6.34', 'Willian', '6.89']","['Gomes', '6.79', 'Kabasele', '6.48', 'Prödl', '6.62', 'Mariappa', '6.85', 'Holebas', '6.93', 'Cleverley', '6.60', 'Behrami', '6.55', 'Capoue', '6.85', 'Janmaat', '6.55', 'Deeney', '6.84', 'Niang', '6.75']"
1,Arsenal,Sunderland,2,0,19:45,"Jnne, 16-Mei-17",23,6,13,0,0,0,0,0,30,10,5,1,38,74,509,266,3-4-2-1,4-3-3,"['Cech', '6.94', 'Monreal', '6.98', 'Mustafi', '7.35', 'Holding', '6.97', 'Gibbs', '6.98', 'Xhaka', '6.96', 'Ramsey', '6.72', 'Bellerín', '6.81', 'Welbeck', '6.56', 'Özil', '7.30', 'Giroud', '6.81']","['Pickford', '7.04', 'Manquillo', '6.51', ""O'Shea"", '6.56', 'Koné', '6.75', 'Jones', '6.86', 'Larsson', '6.46', 'Cattermole', '6.48', 'Ndong', '6.64', 'Khazri', '6.29', 'Defoe', '6.58', 'Borini', '6.53']"
2,Manchester City,West Bromwich Albion,3,1,20:00,"Jnne, 16-Mei-17",18,6,3,0,0,0,0,0,19,11,7,3,38,61,647,220,4-1-4-1,4-1-4-1,"['Caballero', '6.69', 'Kolarov', '7.30', 'Stones', '6.78', 'Otamendi', '7.49', 'Zabaleta', '6.74', 'Fernandinho', '7.16', 'Sterling', '7.05', 'Silva', '7.28', 'Bruyne', '7.55', 'Sané', '7.06', 'Agüero', '7.33']","['Foster', '6.65', 'Nyom', '6.76', 'Evans', '6.97', 'McAuley', '7.11', 'Dawson', '6.94', 'Yacob', '6.73', 'Chadli', '6.68', 'Fletcher', '6.52', 'Livermore', '6.51', 'Brunt', '6.90', 'Rondón', '6.65']"
3,Southampton,Manchester United,0,0,19:45,"Jtan, 17-Mei-17",9,9,7,1,0,1,1,0,24,6,0,2,49,52,439,401,4-2-3-1,4-2-3-1,"['Forster', '6.39', 'Bertrand', '6.86', 'Yoshida', '7.03', 'Stephens', '6.78', 'Soares', '6.96', 'Davis', '6.68', 'Romeu', '7.15', 'Redmond', '6.97', 'Tadic', '6.72', 'Ward-Prowse', '6.69', 'Gabbiadini', '6.58']","['Romero', '8.17', 'Darmian', '6.95', 'Jones', '7.21', 'Smalling', '6.72', 'Bailly', '7.23', 'Fellaini', '6.91', 'Herrera', '7.36', 'Martial', '6.94', 'Mkhitaryan', '6.90', 'Mata', '6.98', 'Rooney', '6.80']"
4,Leicester,Tottenham,1,6,19:45,"Alh, 18-Mei-17",8,20,4,6,0,0,0,0,21,15,0,1,70,69,258,498,4-4-2,4-2-3-1,"['Schmeichel', '6.84', 'Chilwell', '6.69', 'Fuchs', '7.05', 'Benalouane', '6.75', 'Simpson', '6.72', 'Gray', '6.45', 'Amartey', '6.50', 'Ndidi', '7.26', 'Mahrez', '6.91', 'Slimani', '6.69', 'Vardy', '6.83']","['Lloris', '6.77', 'Davies', '7.12', 'Vertonghen', '7.28', 'Alderweireld', '7.00', 'Dier', '6.93', 'Dembélé', '7.18', 'Wanyama', '7.21', 'Alli', '7.35', 'Eriksen', '7.53', 'Heung-Min', '7.14', 'Kane', '7.68']"
5,Arsenal,Everton,3,1,15:00,"Jpl, 21-Mei-17",14,18,3,2,0,1,0,1,8,33,4,2,50,67,393,363,3-4-2-1,4-3-3,"['Cech', '6.94', 'Monreal', '6.98', 'Koscielny', '7.25', 'Mustafi', '7.35', 'Gibbs', '6.98', 'Xhaka', '6.96', 'Ramsey', '6.72', 'Bellerín', '6.81', 'Sánchez', '7.76', 'Özil', '7.30', 'Giroud', '6.81']","['Robles', '6.99', 'Baines', '6.99', 'Williams', '7.04', 'Jagielka', '7.13', 'Holgate', '6.90', 'Davies', '6.68', 'Schneiderlin', '7.02', 'Gueye', '7.23', 'Mirallas', '6.86', 'Lukaku', '7.50', 'Barkley', '7.15']"
6,Burnley,West Ham,1,2,15:00,"Jpl, 21-Mei-17",5,13,4,1,0,0,0,0,15,21,1,1,94,79,303,413,4-4-2,3-4-2-1,"['Heaton', '6.88', 'Ward', '6.88', 'Tarkowski', '6.39', 'Long', '6.67', 'Lowton', '7.02', 'Brady', '6.76', 'Defour', '6.77', 'Hendrick', '6.49', 'Boyd', '6.60', 'Gray', '6.42', 'Vokes', '6.84']","['Adrián', '6.66', 'Ogbonna', '6.70', 'Reid', '7.08', 'Fonte', '6.87', 'Cresswell', '6.46', 'Nordtveit', '6.47', 'Fernandes', '6.26', 'Byram', '6.55', 'Lanzini', '7.11', 'Ayew', '6.58', 'Fletcher', '6.10']"
7,Chelsea,Sunderland,5,1,15:00,"Jpl, 21-Mei-17",18,3,9,4,1,0,0,0,27,8,2,0,41,65,602,209,3-4-2-1,4-5-1,"['Courtois', '6.74', 'Aké', '6.64', 'Terry', '6.35', 'Cahill', '7.06', 'Alonso', '7.41', 'Kanté', '7.23', 'Matic', '7.01', 'Moses', '7.22', 'Hazard', '7.81', 'Costa', '7.41', 'Pedro', '7.13']","['Pickford', '7.04', 'Oviedo', '6.98', ""O'Shea"", '6.56', 'Koné', '6.75', 'Jones', '6.86', 'Larsson', '6.46', 'Cattermole', '6.48', 'Ndong', '6.64', 'Gibson', '6.32', 'Borini', '6.53', 'Defoe', '6.58']"
8,Hull,Tottenham,1,7,15:00,"Jpl, 21-Mei-17",9,14,1,5,0,0,0,0,12,20,1,3,65,77,255,523,4-3-3,4-2-3-1,"['Jakupovic', '6.66', 'Robertson', '6.67', 'Davies', '6.90', 'Dawson', '6.60', 'Mohamady', '6.58', ""N'Diaye"", '6.51', 'Huddlestone', '6.51', 'Evandro', '6.38', 'Clucas', '6.67', 'Niasse', '6.37', 'Grosicki', '6.59']","['López', 'N/A', 'Davies', '7.12', 'Vertonghen', '7.28', 'Alderweireld', '7.00', 'Trippier', '6.86', 'Dembélé', '7.18', 'Wanyama', '7.21', 'Alli', '7.35', 'Eriksen', '7.53', 'Heung-Min', '7.14', 'Kane', '7.68']"
9,Leicester,Bournemouth,1,1,15:00,"Jpl, 21-Mei-17",9,5,10,5,1,0,0,0,25,11,0,0,69,59,350,395,4-4-2,4-4-1-1,"['Schmeichel', '6.84', 'Fuchs', '7.05', 'Huth', '6.81', 'Benalouane', '6.75', 'Simpson', '6.72', 'Albrighton', '6.85', 'Amartey', '6.50', 'Ndidi', '7.26', 'Mahrez', '6.91', 'Slimani', '6.69', 'Vardy', '6.83']","['Boruc', '6.68', 'Daniels', '6.93', 'Cook', '7.18', 'Francis', '6.94', 'Smith', '6.84', 'Pugh', '6.77', 'Gosling', '6.56', 'Arter', '6.72', 'Stanislas', '6.93', 'King', '7.08', 'Mousset', '6.10']"
