,home_team,away_team,time_day
0,Liverpool,Manchester City,"Jumapili, Feb 28 2016"
1,Liverpool,Stoke,"Jumanne, Jan 26 2016"
2,Manchester City,Everton,"Jumatano, Jan 27 2016"
3,Stoke,Liverpool,"Jumanne, Jan 5 2016"
4,Everton,Manchester City,"Jumatano, Jan 6 2016"
5,Middlesbrough,Everton,"Jumanne, Des 1 2015"
6,Stoke,Sheffield Wednesday,"Jumanne, Des 1 2015"
7,Manchester City,Hull,"Jumanne, Des 1 2015"
8,Southampton,Liverpool,"Jumatano, Des 2 2015"
9,Everton,Norwich,"Jumanne, Okt 27 2015"
10,Sheffield Wednesday,Arsenal,"Jumanne, Okt 27 2015"
11,Hull,Leicester,"Jumanne, Okt 27 2015"
12,1Stoke,Chelsea,"Jumanne, Okt 27 2015"
13,Liverpool,Bournemouth,"Jumatano, Okt 28 2015"
14,Southampton,Aston Villa,"Jumatano, Okt 28 2015"
15,Manchester City,Crystal Palace,"Jumatano, Okt 28 2015"
16,Manchester United,Middlesbrough,"Jumatano, Okt 28 2015"
17,Fulham,Stoke,"Jumanne, Sep 22 2015"
18,Hull,Swansea,"Jumanne, Sep 22 2015"
19,Leicester,West Ham,"Jumanne, Sep 22 2015"
20,Middlesbrough,Wolverhampton Wanderers,"Jumanne, Sep 22 2015"
21,Preston,Bournemouth,"Jumanne, Sep 22 2015"
22,Sunderland,Manchester City,"Jumanne, Sep 22 2015"
23,Aston Villa,Birmingham,"Jumanne, Sep 22 2015"
24,Reading,Everton,"Jumanne, Sep 22 2015"
25,Crystal Palace,Charlton1,"Jumatano, Sep 23 2015"
26,Tottenham,Arsenal,"Jumatano, Sep 23 2015"
27,Walsall,Chelsea,"Jumatano, Sep 23 2015"
28,Milton Keynes Dons,Southampton,"Jumatano, Sep 23 2015"
29,Newcastle United,Sheffield Wednesday,"Jumatano, Sep 23 2015"
30,Norwich,West Bromwich Albion,"Jumatano, Sep 23 2015"
31,Liverpool,Carlisle,"Jumatano, Sep 23 2015"
32,Manchester United,Ipswich,"Jumatano, Sep 23 2015"
33,Hull,Rochdale,"Jumanne, Ago 25 2015"
34,Sunderland,Exeter,"Jumanne, Ago 25 2015"
35,Bury,Leicester,"Jumanne, Ago 25 2015"
36,Doncaster,Ipswich,"Jumanne, Ago 25 2015"
37,Rotherham,Norwich,"Jumanne, Ago 25 2015"
38,Swansea,York,"Jumanne, Ago 25 2015"
39,Queens Park Rangers,Carlisle,"Jumanne, Ago 25 2015"
40,Walsall,Brighton,"Jumanne, Ago 25 2015"
41,Crystal Palace,Shrewsbury,"Jumanne, Ago 25 2015"
42,Sheffield Wednesday,Oxford,"Jumanne, Ago 25 2015"
43,Portsmouth,Reading,"Jumanne, Ago 25 2015"
44,Hartlepool,Bournemouth,"Jumanne, Ago 25 2015"
45,Fulham,Sheffield United2,"Jumanne, Ago 25 2015"
46,Peterborough,Charlton,"Jumanne, Ago 25 2015"
47,Birmingham,Gillingham,"Jumanne, Ago 25 2015"
48,Newcastle United,Northampton,"Jumanne, Ago 25 2015"
49,Wolverhampton Wanderers,Barnet,"Jumanne, Ago 25 2015"
50,Burton,Middlesbrough,"Jumanne, Ago 25 2015"
51,Luton,Stoke,"Jumanne, Ago 25 2015"
52,Preston,Watford1,"Jumanne, Ago 25 2015"
53,Aston Villa,Notts Co.,"Jumanne, Ago 25 2015"
54,Milton Keynes Dons,Cardiff,"Jumanne, Ago 25 2015"
55,West Bromwich Albion,Port Vale,"Jumanne, Ago 25 2015"
56,Barnsley,Everton,"Jumatano, Ago 26 2015"
57,Carlisle,Chesterfield1,"Jumanne, Ago 11 2015"
58,Nottingham Forest,Walsall,"Jumanne, Ago 11 2015"
59,Fleetwood,Hartlepool,"Jumanne, Ago 11 2015"
60,Scunthorpe,Barnsley,"Jumanne, Ago 11 2015"
61,Huddersfield,Notts Co.1,"Jumanne, Ago 11 2015"
62,Blackburn,Shrewsbury,"Jumanne, Ago 11 2015"
63,Morecambe,Sheffield United,"Jumanne, Ago 11 2015"
64,York,Bradford,"Jumanne, Ago 11 2015"
65,Port Vale,Burnley,"Jumanne, Ago 11 2015"
66,Peterborough,Crawley,"Jumanne, Ago 11 2015"
67,Yeovil,Queens Park Rangers,"Jumanne, Ago 11 2015"
68,Plymouth,Gillingham,"Jumanne, Ago 11 2015"
69,Swindon,Exeter,"Jumanne, Ago 11 2015"
70,Bristol Rovers,Birmingham,"Jumanne, Ago 11 2015"
71,Ipswich,Stevenage,"Jumanne, Ago 11 2015"
72,Luton,Bristol City,"Jumanne, Ago 11 2015"
73,Charlton,Dag and Red,"Jumanne, Ago 11 2015"
74,Wolverhampton Wanderers,Newport,"Jumanne, Ago 11 2015"
75,Brentford,Oxford,"Jumanne, Ago 11 2015"
76,Wigan,Bury,"Jumanne, Ago 11 2015"
77,Northampton,Blackpool,"Jumanne, Ago 11 2015"
78,Sheffield Wednesday,Mansfield,"Jumanne, Ago 11 2015"
79,Rotherham,Cambridge U,"Jumanne, Ago 11 2015"
80,Southend,Brighton,"Jumanne, Ago 11 2015"
81,Milton Keynes Dons,Leyton Orient,"Jumanne, Ago 11 2015"
82,Cardiff,AFC Wimbledon,"Jumanne, Ago 11 2015"
83,Millwall,Barnet,"Jumanne, Ago 11 2015"
84,Wycombe,Fulham,"Jumanne, Ago 11 2015"
85,Colchester,Reading,"Jumanne, Ago 11 2015"
86,Accrington,Hull,"Jumanne, Ago 11 2015"
87,Rochdale,Coventry,"Jumanne, Ago 11 2015"
88,Bolton,Burton,"Jumanne, Ago 11 2015"
89,Portsmouth,Derby,"Jumatano, Ago 12 2015"
90,Oldham,Middlesbrough,"Jumatano, Ago 12 2015"
91,Crewe,Preston,"Jumatano, Ago 12 2015"
92,Doncaster,Leeds1,"Alhamisi, Ago 13 2015"
