,home_team,away_team,time_day
0,Arsenal,Birmingham,"Jumapili, Feb 27 2011"
1,Arsenal,Ipswich,"Jumanne, Jan 25 2011"
2,Birmingham,West Ham,"Jumatano, Jan 26 2011"
3,1West Ham,Birmingham,"Jumanne, Jan 11 2011"
4,Ipswich,Arsenal,"Jumatano, Jan 12 2011"
5,Arsenal,Wigan,"Jumanne, Nov 30 2010"
6,West Ham,Manchester United,"Jumanne, Nov 30 2010"
7,Ipswich,West Bromwich Albion,"Jumatano, Des 1 2010"
8,Birmingham,Aston Villa,"Jumatano, Des 1 2010"
9,Birmingham,Brentford,"Jumanne, Okt 26 2010"
10,Leicester,West Bromwich Albion,"Jumanne, Okt 26 2010"
11,Ipswich,Northampton,"Jumanne, Okt 26 2010"
12,Manchester United,Wolverhampton Wanderers,"Jumanne, Okt 26 2010"
13,Wigan,Swansea,"Jumanne, Okt 26 2010"
14,1Aston Villa,Burnley,"Jumatano, Okt 27 2010"
15,West Ham,Stoke,"Jumatano, Okt 27 2010"
16,Newcastle United,Arsenal,"Jumatano, Okt 27 2010"
17,Brentford,Everton,"Jumanne, Sep 21 2010"
18,1Portsmouth,Leicester,"Jumanne, Sep 21 2010"
19,Stoke,Fulham,"Jumanne, Sep 21 2010"
20,Tottenham,Arsenal,"Jumanne, Sep 21 2010"
21,Millwall,Ipswich,"Jumanne, Sep 21 2010"
22,Wolverhampton Wanderers,Notts Co.1,"Jumanne, Sep 21 2010"
23,Burnley,Bolton,"Jumanne, Sep 21 2010"
24,Birmingham,Milton Keynes Dons,"Jumanne, Sep 21 2010"
25,Sunderland,West Ham,"Jumanne, Sep 21 2010"
26,Peterborough,Swansea,"Jumanne, Sep 21 2010"
27,Wigan,Preston,"Jumatano, Sep 22 2010"
28,Scunthorpe,Manchester United,"Jumatano, Sep 22 2010"
29,Chelsea,Newcastle United,"Jumatano, Sep 22 2010"
30,Aston Villa,Blackburn,"Jumatano, Sep 22 2010"
31,Liverpool,Northampton,"Jumatano, Sep 22 2010"
32,West Bromwich Albion,Manchester City,"Jumatano, Sep 22 2010"
33,Hartlepool,Wigan,"Jumanne, Ago 24 2010"
34,Leeds,Leicester,"Jumanne, Ago 24 2010"
35,Leyton Orient,West Bromwich Albion,"Jumanne, Ago 24 2010"
36,Milton Keynes Dons,Blackpool,"Jumanne, Ago 24 2010"
37,Millwall,Middlesbrough,"Jumanne, Ago 24 2010"
38,Morecambe,Burnley,"Jumanne, Ago 24 2010"
39,Peterborough,Cardiff,"Jumanne, Ago 24 2010"
40,Portsmouth,Crystal Palace1,"Jumanne, Ago 24 2010"
41,Scunthorpe,Sheffield Wednesday1,"Jumanne, Ago 24 2010"
42,Southampton,Bolton,"Jumanne, Ago 24 2010"
43,Stoke,Shrewsbury,"Jumanne, Ago 24 2010"
44,Sunderland,Colchester,"Jumanne, Ago 24 2010"
45,Tranmere,Swansea,"Jumanne, Ago 24 2010"
46,Watford,Notts Co.,"Jumanne, Ago 24 2010"
47,West Ham,Oxford,"Jumanne, Ago 24 2010"
48,Wolverhampton Wanderers,Southend,"Jumanne, Ago 24 2010"
49,Bradford,Preston,"Jumanne, Ago 24 2010"
50,Brentford,Hull,"Jumanne, Ago 24 2010"
51,Crewe,Ipswich,"Jumanne, Ago 24 2010"
52,Blackburn,Norwich,"Jumanne, Ago 24 2010"
