,home_team,away_team,time_day
0,Manchester City,Tottenham,"Jumapili, Apr 25 2021"
1,Tottenham,Brentford1,"Jumanne, Jan 5 2021"
2,Manchester United,Manchester City,"Jumatano, Jan 6 2021"
3,Brentford,Newcastle United,"Jumanne, Des 22 2020"
4,Arsenal,Manchester City,"Jumanne, Des 22 2020"
5,Stoke,Tottenham,"Jumatano, Des 23 2020"
6,Everton,Manchester United,"Jumatano, Des 23 2020"
7,Tottenham,Chelsea,"Jumanne, Sep 29 2020"
8,Newport,Newcastle United,"Jumatano, Sep 30 2020"
9,Burnley,Manchester City,"Jumatano, Sep 30 2020"
10,Everton,West Ham,"Jumatano, Sep 30 2020"
11,Brighton,Manchester United,"Jumatano, Sep 30 2020"
12,Brentford,Fulham,"Alhamisi, Okt 1 2020"
13,Aston Villa,Stoke,"Alhamisi, Okt 1 2020"
14,Liverpool,Arsenal,"Alhamisi, Okt 1 2020"
15,Leyton Orient,Tottenham,"Jumanne, Sep 22 2020"
16,Newport,Watford1,"Jumanne, Sep 22 2020"
17,West Bromwich Albion,Brentford,"Jumanne, Sep 22 2020"
18,West Ham,Hull,"Jumanne, Sep 22 2020"
19,Luton,Manchester United,"Jumanne, Sep 22 2020"
20,Millwall,Burnley,"Jumatano, Sep 23 2020"
21,Stoke,Gillingham,"Jumatano, Sep 23 2020"
22,Preston,Brighton,"Jumatano, Sep 23 2020"
23,Fulham,Sheffield Wednesday,"Jumatano, Sep 23 2020"
24,Fleetwood,Everton,"Jumatano, Sep 23 2020"
25,Leicester,Arsenal,"Jumatano, Sep 23 2020"
26,Chelsea,Barnsley,"Jumatano, Sep 23 2020"
27,1Morecambe,Newcastle United,"Jumatano, Sep 23 2020"
28,Bristol City,Aston Villa,"Alhamisi, Sep 24 2020"
29,Manchester City,Bournemouth,"Alhamisi, Sep 24 2020"
30,Lincoln City,Liverpool,"Alhamisi, Sep 24 2020"
31,Middlesbrough,Barnsley,"Jumanne, Sep 15 2020"
32,Reading,Luton,"Jumanne, Sep 15 2020"
33,Millwall,Cheltenham,"Jumanne, Sep 15 2020"
34,Gillingham,Coventry,"Jumanne, Sep 15 2020"
35,1Derby,Preston,"Jumanne, Sep 15 2020"
36,Oxford,Watford,"Jumanne, Sep 15 2020"
37,Bradford,Lincoln City,"Jumanne, Sep 15 2020"
38,Newport,Cambridge U,"Jumanne, Sep 15 2020"
39,Fleetwood,Port Vale,"Jumanne, Sep 15 2020"
40,West Ham,Charlton,"Jumanne, Sep 15 2020"
41,Newcastle United,Blackburn,"Jumanne, Sep 15 2020"
42,Morecambe,Oldham,"Jumanne, Sep 15 2020"
43,Bournemouth,Crystal Palace,"Jumanne, Sep 15 2020"
44,Leyton Orient,Plymouth,"Jumanne, Sep 15 2020"
45,Burton,Aston Villa,"Jumanne, Sep 15 2020"
46,Rochdale,Sheffield Wednesday,"Jumanne, Sep 15 2020"
47,West Bromwich Albion,Harrogate,"Jumatano, Sep 16 2020"
48,Ipswich,Fulham,"Jumatano, Sep 16 2020"
49,Leeds,Hull,"Jumatano, Sep 16 2020"
50,Southampton,Brentford,"Jumatano, Sep 16 2020"
51,Bristol City,Northampton,"Jumatano, Sep 16 2020"
52,Everton,Salford City,"Jumatano, Sep 16 2020"
53,Burnley,Sheffield United,"Alhamisi, Sep 17 2020"
54,Wolverhampton Wanderers,Stoke,"Alhamisi, Sep 17 2020"
55,Brighton,Portsmouth,"Alhamisi, Sep 17 2020"
56,Middlesbrough,Shrewsbury,"Ijumaa, Sep 4 2020"
57,Burton,Accrington,"Ijumaa, Sep 4 2020"
58,Derby,Barrow,"Jumamosi, Sep 5 2020"
59,Plymouth,Queens Park Rangers,"Jumamosi, Sep 5 2020"
60,Crawley,Millwall,"Jumamosi, Sep 5 2020"
61,1Gillingham,Southend,"Jumamosi, Sep 5 2020"
62,Bristol City,Exeter,"Jumamosi, Sep 5 2020"
63,Walsall,Sheffield Wednesday,"Jumamosi, Sep 5 2020"
64,Huddersfield,Rochdale,"Jumamosi, Sep 5 2020"
65,Bolton,Bradford,"Jumamosi, Sep 5 2020"
66,Fleetwood,Wigan,"Jumamosi, Sep 5 2020"
67,Grimsby,Morecambe,"Jumamosi, Sep 5 2020"
68,Scunthorpe,Port Vale,"Jumamosi, Sep 5 2020"
69,Sunderland,Hull,"Jumamosi, Sep 5 2020"
70,Swindon,Charlton,"Jumamosi, Sep 5 2020"
71,Forest Green,Leyton Orient,"Jumamosi, Sep 5 2020"
72,Milton Keynes Dons,Coventry1,"Jumamosi, Sep 5 2020"
73,Salford City,Rotherham,"Jumamosi, Sep 5 2020"
74,Barnsley,Nottingham Forest,"Jumamosi, Sep 5 2020"
75,Oldham,Carlisle,"Jumamosi, Sep 5 2020"
76,Ipswich,Bristol Rovers,"Jumamosi, Sep 5 2020"
77,Peterborough,Cheltenham,"Jumamosi, Sep 5 2020"
78,Tranmere,Harrogate,"Jumamosi, Sep 5 2020"
79,Crewe,Lincoln City,"Jumamosi, Sep 5 2020"
80,Northampton,Cardiff,"Jumamosi, Sep 5 2020"
81,Luton,Norwich,"Jumamosi, Sep 5 2020"
82,Birmingham,Cambridge U,"Jumamosi, Sep 5 2020"
83,Newport,Swansea,"Jumamosi, Sep 5 2020"
84,Oxford,AFC Wimbledon,"Jumamosi, Sep 5 2020"
85,Reading,Colchester,"Jumamosi, Sep 5 2020"
86,Brentford,Wycombe1,"Jumapili, Sep 6 2020"
87,Preston,Mansfield,"Jumamosi, Ago 29 2020"
88,Blackburn,Doncaster,"Jumamosi, Ago 29 2020"
89,Stoke,Blackpool,"Jumamosi, Ago 29 2020"
90,Stevenage,Portsmouth,"Jumamosi, Ago 29 2020"
