,home_team,away_team,time_day
0,Manchester United,Southampton,"Jumapili, Feb 26 2017"
1,Liverpool,Southampton,"Jumatano, Jan 25 2017"
2,Hull,Manchester United,"Alhamisi, Jan 26 2017"
3,Manchester United,Hull,"Jumanne, Jan 10 2017"
4,Southampton,Liverpool,"Jumatano, Jan 11 2017"
5,Liverpool,Leeds,"Jumanne, Nov 29 2016"
6,1Hull,Newcastle United,"Jumanne, Nov 29 2016"
7,Arsenal,Southampton,"Jumatano, Nov 30 2016"
8,Manchester United,West Ham,"Jumatano, Nov 30 2016"
9,Arsenal,Reading,"Jumanne, Okt 25 2016"
10,Liverpool,Tottenham,"Jumanne, Okt 25 2016"
11,Bristol City,Hull,"Jumanne, Okt 25 2016"
12,Leeds,Norwich,"Jumanne, Okt 25 2016"
13,Newcastle United,Preston1,"Jumanne, Okt 25 2016"
14,Southampton,Sunderland,"Jumatano, Okt 26 2016"
15,West Ham,Chelsea,"Jumatano, Okt 26 2016"
16,Manchester United,Manchester City,"Jumatano, Okt 26 2016"
17,Nottingham Forest,Arsenal,"Jumanne, Sep 20 2016"
18,Leeds,Blackburn,"Jumanne, Sep 20 2016"
19,Bournemouth,Preston,"Jumanne, Sep 20 2016"
20,Everton,Norwich,"Jumanne, Sep 20 2016"
21,Derby,Liverpool,"Jumanne, Sep 20 2016"
22,Brighton,Reading1,"Jumanne, Sep 20 2016"
23,Newcastle United,Wolverhampton Wanderers,"Jumanne, Sep 20 2016"
24,1Leicester,Chelsea,"Jumanne, Sep 20 2016"
25,Northampton,Manchester United,"Jumatano, Sep 21 2016"
26,Queens Park Rangers,Sunderland,"Jumatano, Sep 21 2016"
27,West Ham,Accrington,"Jumatano, Sep 21 2016"
28,Southampton,Crystal Palace,"Jumatano, Sep 21 2016"
29,Swansea,Manchester City,"Jumatano, Sep 21 2016"
30,Fulham,Bristol City,"Jumatano, Sep 21 2016"
31,Tottenham,Gillingham,"Jumatano, Sep 21 2016"
32,Stoke,Hull,"Jumatano, Sep 21 2016"
33,Crystal Palace,Blackpool,"Jumanne, Ago 23 2016"
34,Derby,Carlisle,"Jumanne, Ago 23 2016"
35,Everton,Yeovil,"Jumanne, Ago 23 2016"
36,Exeter,Hull,"Jumanne, Ago 23 2016"
37,Blackburn,Crewe,"Jumanne, Ago 23 2016"
38,Burton,Liverpool,"Jumanne, Ago 23 2016"
39,Luton,Leeds,"Jumanne, Ago 23 2016"
40,Millwall,Nottingham Forest,"Jumanne, Ago 23 2016"
41,Newcastle United,Cheltenham,"Jumanne, Ago 23 2016"
42,Northampton,West Bromwich Albion,"Jumanne, Ago 23 2016"
43,Norwich,Coventry,"Jumanne, Ago 23 2016"
44,Oxford,Brighton,"Jumanne, Ago 23 2016"
45,Peterborough,Swansea,"Jumanne, Ago 23 2016"
46,Preston,Oldham,"Jumanne, Ago 23 2016"
47,Queens Park Rangers,Rochdale,"Jumanne, Ago 23 2016"
48,Watford,Gillingham,"Jumanne, Ago 23 2016"
49,Wolverhampton Wanderers,Cambridge U,"Jumanne, Ago 23 2016"
50,Scunthorpe,Bristol City,"Jumanne, Ago 23 2016"
51,Chelsea,Bristol Rovers,"Jumanne, Ago 23 2016"
52,Stevenage,Stoke,"Jumanne, Ago 23 2016"
53,Reading,Milton Keynes Dons,"Jumanne, Ago 23 2016"
54,Morecambe,Bournemouth,"Jumatano, Ago 24 2016"
55,Fulham,Middlesbrough,"Jumatano, Ago 24 2016"
56,Sunderland,Shrewsbury,"Jumatano, Ago 24 2016"
57,Accrington,Burnley,"Jumatano, Ago 24 2016"
58,Southend,Gillingham,"Jumanne, Ago 9 2016"
59,Wolverhampton Wanderers,Crawley1,"Jumanne, Ago 9 2016"
60,Leyton Orient,Fulham,"Jumanne, Ago 9 2016"
61,Ipswich,Stevenage,"Jumanne, Ago 9 2016"
62,Wycombe,Bristol City,"Jumanne, Ago 9 2016"
63,Walsall,Yeovil,"Jumanne, Ago 9 2016"
64,Exeter,Brentford,"Jumanne, Ago 9 2016"
65,Peterborough,AFC Wimbledon,"Jumanne, Ago 9 2016"
66,Coventry,Portsmouth,"Jumanne, Ago 9 2016"
67,Brighton,Colchester,"Jumanne, Ago 9 2016"
68,Cheltenham,Charlton,"Jumanne, Ago 9 2016"
69,Newport,Milton Keynes Dons,"Jumanne, Ago 9 2016"
70,Carlisle,Port Vale,"Jumanne, Ago 9 2016"
71,Rotherham,Morecambe,"Jumanne, Ago 9 2016"
72,1Accrington,Bradford,"Jumanne, Ago 9 2016"
73,Rochdale,Chesterfield,"Jumanne, Ago 9 2016"
74,Mansfield,Blackburn,"Jumanne, Ago 9 2016"
75,Barnsley,Northampton,"Jumanne, Ago 9 2016"
76,Cambridge U,Sheffield Wednesday,"Jumanne, Ago 9 2016"
77,Derby,Grimsby,"Jumanne, Ago 9 2016"
78,Oldham,Wigan1,"Jumanne, Ago 9 2016"
79,Scunthorpe,Notts Co.,"Jumanne, Ago 9 2016"
80,Doncaster,Nottingham Forest,"Jumanne, Ago 9 2016"
81,Sheffield United,Crewe,"Jumanne, Ago 9 2016"
82,Shrewsbury,Huddersfield,"Jumanne, Ago 9 2016"
83,Preston,Hartlepool,"Jumanne, Ago 9 2016"
84,Blackpool,Bolton,"Jumanne, Ago 9 2016"
85,Birmingham,Oxford,"Jumanne, Ago 9 2016"
86,Barnet,Millwall,"Jumanne, Ago 9 2016"
87,Reading,Plymouth,"Jumanne, Ago 9 2016"
88,Burton,Bury,"Jumatano, Ago 10 2016"
89,Fleetwood,Leeds,"Jumatano, Ago 10 2016"
90,Luton,Aston Villa,"Jumatano, Ago 10 2016"
91,Queens Park Rangers,Swindon,"Jumatano, Ago 10 2016"
92,Bristol Rovers,Cardiff,"Alhamisi, Ago 11 2016"
