,home_team,away_team,time_day
0,Aston Villa,Manchester City,"Jumapili, Mac 1 2020"
1,Aston Villa,Leicester,"Jumanne, Jan 28 2020"
2,Manchester City,Manchester United1,"Jumatano, Jan 29 2020"
3,Manchester United,Manchester City,"Jumanne, Jan 7 2020"
4,Leicester,Aston Villa,"Jumatano, Jan 8 2020"
5,Aston Villa,Liverpool,"Jumanne, Des 17 2019"
6,Everton,Leicester,"Jumatano, Des 18 2019"
7,Oxford,Manchester City,"Jumatano, Des 18 2019"
8,Manchester United,Colchester,"Jumatano, Des 18 2019"
9,Manchester City,Southampton,"Jumanne, Okt 29 2019"
10,Burton,Leicester,"Jumanne, Okt 29 2019"
11,Crawley,Colchester,"Jumanne, Okt 29 2019"
12,Everton,Watford,"Jumanne, Okt 29 2019"
13,Oxford,Sunderland,"Jumanne, Okt 29 2019"
14,Liverpool,Arsenal,"Jumatano, Okt 30 2019"
15,Aston Villa,Wolverhampton Wanderers,"Jumatano, Okt 30 2019"
16,Chelsea,Manchester United,"Jumatano, Okt 30 2019"
17,Portsmouth,Southampton,"Jumanne, Sep 24 2019"
18,Luton,Leicester,"Jumanne, Sep 24 2019"
19,Preston,Manchester City,"Jumanne, Sep 24 2019"
20,Colchester,Tottenham,"Jumanne, Sep 24 2019"
21,Watford,Swansea,"Jumanne, Sep 24 2019"
22,Sheffield Wednesday,Everton,"Jumanne, Sep 24 2019"
23,Crawley,Stoke1,"Jumanne, Sep 24 2019"
24,Arsenal,Nottingham Forest,"Jumanne, Sep 24 2019"
25,Wolverhampton Wanderers,Reading,"Jumatano, Sep 25 2019"
26,Chelsea,Grimsby,"Jumatano, Sep 25 2019"
27,Milton Keynes Dons,Liverpool,"Jumatano, Sep 25 2019"
28,Sheffield United,Sunderland,"Jumatano, Sep 25 2019"
29,Brighton,Aston Villa,"Jumatano, Sep 25 2019"
30,Oxford,West Ham,"Jumatano, Sep 25 2019"
31,Burton,Bournemouth,"Jumatano, Sep 25 2019"
32,Manchester United,Rochdale,"Jumatano, Sep 25 2019"
33,Grimsby,Macclesfield,"Jumanne, Sep 10 2019"
34,Nottingham Forest,Derby,"Jumanne, Ago 27 2019"
35,Preston,Hull,"Jumanne, Ago 27 2019"
36,Rochdale,Carlisle,"Jumanne, Ago 27 2019"
37,Plymouth,Reading,"Jumanne, Ago 27 2019"
38,Newport,West Ham,"Jumanne, Ago 27 2019"
39,Oxford,Millwall,"Jumanne, Ago 27 2019"
40,Watford,Coventry,"Jumanne, Ago 27 2019"
41,Grimsby,Macclesfield,"Jumanne, Ago 27 2019"
42,Crewe,Aston Villa,"Jumanne, Ago 27 2019"
43,Leeds,Stoke,"Jumanne, Ago 27 2019"
44,Burton,Morecambe,"Jumanne, Ago 27 2019"
45,Crystal Palace,Colchester,"Jumanne, Ago 27 2019"
46,Sheffield United,Blackburn,"Jumanne, Ago 27 2019"
47,Cardiff,Luton,"Jumanne, Ago 27 2019"
48,Fulham,Southampton,"Jumanne, Ago 27 2019"
49,Bristol Rovers,Brighton,"Jumanne, Ago 27 2019"
50,Crawley,Norwich,"Jumanne, Ago 27 2019"
51,Southend,Milton Keynes Dons,"Jumanne, Ago 27 2019"
52,Queens Park Rangers,Portsmouth,"Jumatano, Ago 28 2019"
53,Rotherham,Sheffield Wednesday,"Jumatano, Ago 28 2019"
54,Bournemouth,Forest Green,"Jumatano, Ago 28 2019"
55,Burnley,Sunderland,"Jumatano, Ago 28 2019"
56,Newcastle United,Leicester,"Jumatano, Ago 28 2019"
57,Lincoln City,Everton,"Jumatano, Ago 28 2019"
58,Swansea,Cambridge U,"Jumatano, Ago 28 2019"
59,Tranmere,Hull,"Jumanne, Ago 13 2019"
60,Grimsby,Doncaster,"Jumanne, Ago 13 2019"
61,Wigan,Stoke,"Jumanne, Ago 13 2019"
62,Port Vale,Burton,"Jumanne, Ago 13 2019"
63,Nottingham Forest,Fleetwood,"Jumanne, Ago 13 2019"
64,Bradford,Preston,"Jumanne, Ago 13 2019"
65,Blackpool,Macclesfield,"Jumanne, Ago 13 2019"
66,Blackburn,Oldham,"Jumanne, Ago 13 2019"
67,Mansfield,Morecambe1,"Jumanne, Ago 13 2019"
68,Accrington,Sunderland,"Jumanne, Ago 13 2019"
69,Scunthorpe,Derby,"Jumanne, Ago 13 2019"
70,Rochdale,Bolton,"Jumanne, Ago 13 2019"
71,Huddersfield,Lincoln City,"Jumanne, Ago 13 2019"
72,Middlesbrough,Crewe,"Jumanne, Ago 13 2019"
73,Shrewsbury,Rotherham,"Jumanne, Ago 13 2019"
74,Sheffield Wednesday,Bury,"Jumanne, Ago 13 2019"
75,Salford City,Leeds,"Jumanne, Ago 13 2019"
76,Barnsley,Carlisle,"Jumanne, Ago 13 2019"
77,1Colchester,Swindon1,"Jumanne, Ago 13 2019"
78,AFC Wimbledon,Milton Keynes Dons,"Jumanne, Ago 13 2019"
79,Oxford,Peterborough,"Jumanne, Ago 13 2019"
80,Queens Park Rangers,Bristol City,"Jumanne, Ago 13 2019"
81,Plymouth,Leyton Orient,"Jumanne, Ago 13 2019"
82,Wycombe,Reading,"Jumanne, Ago 13 2019"
83,Charlton,Forest Green,"Jumanne, Ago 13 2019"
84,1Gillingham,Newport,"Jumanne, Ago 13 2019"
85,Stevenage,Southend,"Jumanne, Ago 13 2019"
86,Luton,Ipswich,"Jumanne, Ago 13 2019"
87,Walsall,Crawley,"Jumanne, Ago 13 2019"
88,Bristol Rovers,Cheltenham,"Jumanne, Ago 13 2019"
89,Brentford,Cambridge U,"Jumanne, Ago 13 2019"
90,Coventry,Exeter,"Jumanne, Ago 13 2019"
91,Swansea,Northampton,"Jumanne, Ago 13 2019"
92,West Bromwich Albion,Millwall,"Jumanne, Ago 13 2019"
93,Portsmouth,Birmingham,"Jumanne, Ago 6 2019"
