,home_team,away_team,home_score,away_score,start_time,time_day,home_open_play,away_open_play,home_setpiece,away_setpiece,home_counterattack,away_counterattack,home_penalty,away_penalty,home_cross,away_cross,home_longball,away_longball,home_throughball,away_throughball,home_stortball,away_stortball,home_form,away_form,home_player,away_player
0,Swansea,Southampton,0,1,19:45,"Jnne, 08-Mei-18",8,8,3,5,0,0,0,0,29,18,0,1,90,78,330,295,3-4-2-1,3-4-2-1,"['Fabianski', '6.89', 'Mawson', '6.81', 'Fernández', '6.76', 'Hoorn', '6.89', 'Olsson', '6.32', 'King', '6.41', 'Sung-Yueng', '6.61', 'Roberts', '6.36', 'Narsingh', '6.32', 'Ayew', '6.64', 'Ayew', '6.91']","['McCarthy', '6.53', 'Hoedt', '6.89', 'Stephens', '6.79', 'Bednarek', '6.67', 'Bertrand', '6.66', 'Højbjerg', '6.61', 'Romeu', '6.92', 'Soares', '6.57', 'Redmond', '6.64', 'Tadic', '6.78', 'Long', '6.53']"
1,Leicester,Arsenal,3,1,19:45,"Jtan, 09-Mei-18",9,8,7,6,2,0,1,0,22,17,5,3,44,64,275,418,4-4-1-1,4-3-3,"['Hamer', '5.97', 'Fuchs', '6.81', 'Maguire', '7.08', 'Morgan', '6.61', 'Dragovic', '6.76', 'Gray', '6.45', 'Choudhury', '6.27', 'Silva', '6.4', 'Mahrez', '7.28', 'Iheanacho', '6.48', 'Vardy', '6.98']","['Cech', '6.75', 'Monreal', '7.13', 'Mavropanos', '6.30', 'Mustafi', '7.38', 'Bellerín', '6.79', 'Ramsey', '7.27', 'Xhaka', '7.02', 'Iwobi', '6.88', 'Aubameyang', '7.33', 'Lacazette', '7.09', 'Mkhitaryan', '7.35']"
2,Chelsea,Huddersfield,1,1,19:45,"Jtan, 09-Mei-18",14,2,8,0,0,1,0,0,40,4,1,1,51,79,782,164,3-4-2-1,3-5-2,"['Courtois', '6.63', 'Rüdiger', '6.92', 'Cahill', '6.87', 'Azpilicueta', '7.18', 'Alonso', '7.13', 'Fàbregas', '7.10', 'Kanté', '7.25', 'Moses', '6.90', 'Willian', '7.01', 'Hazard', '7.68', 'Giroud', '6.78']","['Lössl', '6.57', 'Kongolo', '7.02', 'Schindler', '7.11', 'Zanka', '6.70', 'Malone', '6.38', 'Mooy', '6.86', 'Hogg', '6.76', 'Hadergjonaj', '6.50', 'Smith', '6.51', 'Pritchard', '6.70', 'Mounié', '6.78']"
3,Tottenham,Newcastle United,1,0,20:00,"Jtan, 09-Mei-18",7,10,4,4,0,0,0,0,18,16,2,2,80,79,478,242,4-2-3-1,4-4-1-1,"['Lloris', '6.74', 'Davies', '7.08', 'Vertonghen', '7.26', 'Sánchez', '6.94', 'Trippier', '7.04', 'Wanyama', '6.64', 'Sissoko', '6.46', 'Eriksen', '7.40', 'Alli', '7.09', 'Moura', '6.48', 'Kane', '7.60']","['Dúbravka', '6.73', 'Dummett', '6.76', 'Lejeune', '7.05', 'Lascelles', '7.04', 'Yedlin', '6.75', 'Kenedy', '6.95', 'Shelvey', '6.70', 'Diamé', '6.85', 'Ritchie', '6.84', 'Pérez', '6.74', 'Gayle', '6.49']"
4,Manchester City,Brighton,3,1,20:00,"Jtan, 09-Mei-18",15,5,3,1,1,0,0,0,13,9,1,1,32,57,826,245,4-3-3,4-4-1-1,"['Ederson', '6.68', 'Delph', '7.16', 'Laporte', '7.09', 'Stones', '6.89', 'Walker', '7.05', 'Gündogan', '6.73', 'Fernandinho', '7.44', 'Bruyne', '7.80', 'Sané', '7.54', 'Jesus', '7.05', 'Silva', '6.79']","['Ryan', '6.74', 'Bong', '6.59', 'Dunk', '7.02', 'Duffy', '7.18', 'Bruno', '6.70', 'Izquierdo', '6.62', 'Pröpper', '6.75', 'Stephens', '6.79', 'Knockaert', '6.79', 'Groß', '6.81', 'Murray', '6.59']"
5,West Ham,Manchester United,0,0,19:45,"Alh, 10-Mei-18",7,13,2,3,0,0,0,0,11,14,1,1,65,47,415,560,3-4-2-1,4-3-3,"['Hart', '6.27', 'Cresswell', '6.68', 'Ogbonna', '6.75', 'Rice', '6.49', 'Masuaku', '7.02', 'Noble', '6.81', 'Kouyaté', '6.80', 'Zabaleta', '6.74', 'Mário', '6.74', 'Lanzini', '7.04', 'Arnautovic', '7.07']","['Gea', '6.83', 'Young', '7.12', 'Lindelöf', '6.66', 'Smalling', '7.24', 'Valencia', '7.07', 'Pogba', '7.48', 'Matic', '7.20', 'Herrera', '6.60', 'Sánchez', '7.55', 'Rashford', '6.76', 'Lingard', '6.82']"
6,Tottenham,Leicester,5,4,15:00,"Jpl, 13-Mei-18",9,10,4,7,1,0,0,0,13,9,1,2,70,64,413,207,4-2-3-1,4-4-2,"['Lloris', '6.74', 'Rose', '6.74', 'Vertonghen', '7.26', 'Sánchez', '6.94', 'Alderweireld', '6.68', 'Eriksen', '7.40', 'Sissoko', '6.46', 'Heung-Min', '6.99', 'Alli', '7.09', 'Lamela', '6.52', 'Kane', '7.60']","['Jakupovic', '6.82', 'Fuchs', '6.81', 'Maguire', '7.08', 'Morgan', '6.61', 'Simpson', '6.58', 'Diabaté', '6.47', 'Choudhury', '6.27', 'Silva', '6.4', 'Mahrez', '7.28', 'Iheanacho', '6.48', 'Vardy', '6.98']"
7,West Ham,Everton,3,1,15:00,"Jpl, 13-Mei-18",12,10,3,3,0,1,0,0,14,13,5,1,59,57,423,311,3-4-2-1,4-2-3-1,"['Adrián', '6.78', 'Cresswell', '6.68', 'Ogbonna', '6.75', 'Rice', '6.49', 'Masuaku', '7.02', 'Noble', '6.81', 'Kouyaté', '6.80', 'Zabaleta', '6.74', 'Mário', '6.74', 'Lanzini', '7.04', 'Arnautovic', '7.07']","['Pickford', '6.63', 'Baines', '6.73', 'Keane', '6.94', 'Jagielka', '6.82', 'Coleman', '6.87', 'Schneiderlin', '6.57', 'Gueye', '6.95', 'Vlasic', '6.36', 'Davies', '6.41', 'Bolasie', '6.34', 'Tosun', '6.74']"
8,Newcastle United,Chelsea,3,0,15:00,"Jpl, 13-Mei-18",15,5,1,0,0,1,0,0,15,14,2,2,63,43,343,529,4-4-1-1,3-5-1-1,"['Dúbravka', '6.73', 'Dummett', '6.76', 'Lejeune', '7.05', 'Lascelles', '7.04', 'Yedlin', '6.75', 'Murphy', '6.29', 'Shelvey', '6.70', 'Diamé', '6.85', 'Ritchie', '6.84', 'Pérez', '6.74', 'Gayle', '6.49']","['Caballero', '6.65', 'Rüdiger', '6.92', 'Cahill', '6.87', 'Azpilicueta', '7.18', 'Alonso', '7.13', 'Bakayoko', '6.87', 'Kanté', '7.25', 'Fàbregas', '7.10', 'Moses', '6.90', 'Hazard', '7.68', 'Giroud', '6.78']"
9,Southampton,Manchester City,0,1,15:00,"Jpl, 13-Mei-18",5,6,3,7,0,0,0,0,11,27,1,3,63,43,199,549,3-4-2-1,4-3-3,"['McCarthy', '6.53', 'Hoedt', '6.89', 'Yoshida', '6.86', 'Stephens', '6.79', 'Bertrand', '6.66', 'Højbjerg', '6.61', 'Romeu', '6.92', 'Soares', '6.57', 'Redmond', '6.64', 'Tadic', '6.78', 'Austin', '6.53']","['Ederson', '6.68', 'Mendy', '6.87', 'Otamendi', '7.13', 'Stones', '6.89', 'Walker', '7.05', 'Gündogan', '6.73', 'Fernandinho', '7.44', 'Bruyne', '7.80', 'Sané', '7.54', 'Jesus', '7.05', 'Sterling', '7.55']"
