,home_team,away_team,time_day
0,Cardiff,Liverpool,"Jumapili, Feb 26 2012"
1,Cardiff,Crystal Palace1,"Jumanne, Jan 24 2012"
2,Liverpool,Manchester City,"Jumatano, Jan 25 2012"
3,Crystal Palace,Cardiff,"Jumanne, Jan 10 2012"
4,Manchester City,Liverpool,"Jumatano, Jan 11 2012"
5,Chelsea,Liverpool,"Jumanne, Nov 29 2011"
6,Cardiff,Blackburn,"Jumanne, Nov 29 2011"
7,Arsenal,Manchester City,"Jumanne, Nov 29 2011"
8,Manchester United,Crystal Palace,"Jumatano, Nov 30 2011"
9,Cardiff,Burnley,"Jumanne, Okt 25 2011"
10,Arsenal,Bolton,"Jumanne, Okt 25 2011"
11,Aldershot,Manchester United,"Jumanne, Okt 25 2011"
12,Crystal Palace,Southampton,"Jumanne, Okt 25 2011"
13,Wolverhampton Wanderers,Manchester City,"Jumatano, Okt 26 2011"
14,Stoke,Liverpool,"Jumatano, Okt 26 2011"
15,Blackburn,Newcastle United,"Jumatano, Okt 26 2011"
16,1Everton,Chelsea1,"Jumatano, Okt 26 2011"
17,Arsenal,Shrewsbury,"Jumanne, Sep 20 2011"
18,Burnley,Milton Keynes Dons,"Jumanne, Sep 20 2011"
19,Leeds,Manchester United,"Jumanne, Sep 20 2011"
20,Wolverhampton Wanderers,Millwall,"Jumanne, Sep 20 2011"
21,Nottingham Forest,Newcastle United,"Jumanne, Sep 20 2011"
22,Aston Villa,Bolton,"Jumanne, Sep 20 2011"
23,Stoke,Tottenham,"Jumanne, Sep 20 2011"
24,Aldershot,Rochdale,"Jumanne, Sep 20 2011"
25,Blackburn,Leyton Orient,"Jumanne, Sep 20 2011"
26,Crystal Palace,Middlesbrough,"Jumanne, Sep 20 2011"
27,Cardiff,Leicester,"Jumatano, Sep 21 2011"
28,Southampton,Preston,"Jumatano, Sep 21 2011"
29,Manchester City,Birmingham,"Jumatano, Sep 21 2011"
30,1Chelsea,Fulham,"Jumatano, Sep 21 2011"
31,Brighton,Liverpool,"Jumatano, Sep 21 2011"
32,Everton,West Bromwich Albion,"Jumatano, Sep 21 2011"
33,Charlton,Preston,"Jumanne, Sep 13 2011"
34,Crystal Palace,Wigan,"Jumanne, Sep 13 2011"
35,Leyton Orient,Bristol Rovers,"Jumanne, Ago 30 2011"
36,Aldershot,Carlisle,"Jumanne, Ago 30 2011"
37,Swindon,Southampton,"Jumanne, Ago 30 2011"
38,Crystal Palace,Crawley,"Jumanne, Ago 23 2011"
39,Millwall,Morecambe,"Jumanne, Ago 23 2011"
40,Bury,Leicester,"Jumanne, Ago 23 2011"
41,Bournemouth,West Bromwich Albion,"Jumanne, Ago 23 2011"
42,Bristol Rovers,Watford,"Jumanne, Ago 23 2011"
43,Charlton,Reading,"Jumanne, Ago 23 2011"
44,Brighton,Sunderland,"Jumanne, Ago 23 2011"
45,Shrewsbury,Swansea,"Jumanne, Ago 23 2011"
46,Norwich,Milton Keynes Dons,"Jumanne, Ago 23 2011"
47,Northampton,Wolverhampton Wanderers,"Jumanne, Ago 23 2011"
48,Wycombe,Nottingham Forest,"Jumanne, Ago 23 2011"
49,Aston Villa,Hereford,"Jumanne, Ago 23 2011"
50,Burnley,Barnet,"Jumanne, Ago 23 2011"
51,Doncaster,Leeds,"Jumanne, Ago 23 2011"
52,Cardiff,Huddersfield,"Jumanne, Ago 23 2011"
53,Queens Park Rangers,Rochdale,"Jumanne, Ago 23 2011"
54,Exeter,Liverpool,"Jumatano, Ago 24 2011"
55,Bristol City,Swindon,"Jumatano, Ago 24 2011"
56,1West Ham,Aldershot,"Jumatano, Ago 24 2011"
57,Peterborough,Middlesbrough,"Jumatano, Ago 24 2011"
58,Blackburn,Sheffield Wednesday,"Jumatano, Ago 24 2011"
59,Everton,Sheffield United,"Jumatano, Ago 24 2011"
60,Bolton,Macclesfield,"Jumatano, Ago 24 2011"
61,Scunthorpe,Newcastle United,"Alhamisi, Ago 25 2011"
62,Rochdale,Chesterfield,"Jumanne, Ago 9 2011"
63,Port Vale,Huddersfield,"Jumanne, Ago 9 2011"
64,Rotherham,Leicester,"Jumanne, Ago 9 2011"
65,Hull,Macclesfield,"Jumanne, Ago 9 2011"
66,Hartlepool,Sheffield United,"Jumanne, Ago 9 2011"
67,Leeds,Bradford,"Jumanne, Ago 9 2011"
68,Doncaster,Tranmere,"Jumanne, Ago 9 2011"
69,1Walsall,Middlesbrough,"Jumanne, Ago 9 2011"
70,Barnsley,Morecambe,"Jumanne, Ago 9 2011"
71,Accrington,Scunthorpe,"Jumanne, Ago 9 2011"
72,Derby,Shrewsbury,"Jumanne, Ago 9 2011"
73,Oldham,Carlisle,"Jumanne, Ago 9 2011"
74,Bury,Coventry,"Jumanne, Ago 9 2011"
75,Burnley,Burton,"Jumanne, Ago 9 2011"
76,Preston,Crewe,"Jumanne, Ago 9 2011"
77,Nottingham Forest,Notts Co.,"Jumanne, Ago 9 2011"
78,Brighton,Gillingham,"Jumanne, Ago 9 2011"
79,Bournemouth,Dag and Red,"Jumanne, Ago 9 2011"
80,Ipswich,Northampton,"Jumanne, Ago 9 2011"
81,Cheltenham,Milton Keynes Dons,"Jumanne, Ago 9 2011"
82,Plymouth,Millwall,"Jumanne, Ago 9 2011"
83,Southampton,Torquay,"Jumanne, Ago 9 2011"
84,Portsmouth,Barnet,"Jumanne, Ago 9 2011"
85,Stevenage,Peterborough,"Jumanne, Ago 9 2011"
86,Southend,Leyton Orient1,"Jumanne, Ago 9 2011"
87,Wycombe,Colchester,"Jumanne, Ago 9 2011"
88,Hereford,Brentford,"Jumanne, Ago 9 2011"
89,Exeter,Yeovil,"Jumanne, Ago 9 2011"
90,Oxford,Cardiff,"Jumatano, Ago 10 2011"
91,Sheffield Wednesday,Blackpool1,"Alhamisi, Ago 11 2011"
