,home_team,away_team,time_day
0,Galatasaray,FC Porto,"Jnne, 11-Des-18"
1,Schalke 04,Lokomotiv Moscow,"Jnne, 11-Des-18"
2,Club Bruges,Atletico Madrid,"Jnne, 11-Des-18"
3,Monaco,Borussia Dortmund,"Jnne, 11-Des-18"
4,Barcelona,Tottenham,"Jnne, 11-Des-18"
5,Inter,PSV Eindhoven,"Jnne, 11-Des-18"
6,Liverpool,Napoli,"Jnne, 11-Des-18"
7,FK Crvena Zvezda,Paris Saint-Germain,"Jnne, 11-Des-18"
8,Viktoria Plzen,Roma,"Jtan, 12-Des-18"
9,Real Madrid,CSKA Moscow,"Jtan, 12-Des-18"
10,BSC Young Boys,Juventus,"Jtan, 12-Des-18"
11,Valencia,Manchester United,"Jtan, 12-Des-18"
12,Ajax,Bayern Munich,"Jtan, 12-Des-18"
13,Benfica,AEK Athens,"Jtan, 12-Des-18"
14,Manchester City,Hoffenheim,"Jtan, 12-Des-18"
15,Shakhtar Donetsk,Lyon,"Jtan, 12-Des-18"
16,AEK Athens,Ajax,"Jnne, 27-Nov-18"
17,CSKA Moscow,Viktoria Plzen,"Jnne, 27-Nov-18"
18,Roma,Real Madrid,"Jnne, 27-Nov-18"
19,Manchester United,BSC Young Boys,"Jnne, 27-Nov-18"
20,Juventus,Valencia,"Jnne, 27-Nov-18"
21,Bayern Munich,Benfica,"Jnne, 27-Nov-18"
22,Lyon,Manchester City,"Jnne, 27-Nov-18"
23,Hoffenheim,Shakhtar Donetsk,"Jnne, 27-Nov-18"
24,Lokomotiv Moscow,Galatasaray,"Jtan, 28-Nov-18"
25,Atletico Madrid,Monaco,"Jtan, 28-Nov-18"
26,Borussia Dortmund,Club Bruges,"Jtan, 28-Nov-18"
27,PSV Eindhoven,Barcelona,"Jtan, 28-Nov-18"
28,Tottenham,Inter,"Jtan, 28-Nov-18"
29,Paris Saint-Germain,Liverpool,"Jtan, 28-Nov-18"
30,Napoli,FK Crvena Zvezda,"Jtan, 28-Nov-18"
31,FC Porto,Schalke 04,"Jtan, 28-Nov-18"
32,Monaco,Club Bruges,"Jnne, 06-Nov-18"
33,FK Crvena Zvezda,Liverpool,"Jnne, 06-Nov-18"
34,Atletico Madrid,Borussia Dortmund,"Jnne, 06-Nov-18"
35,Inter,Barcelona,"Jnne, 06-Nov-18"
36,Tottenham,PSV Eindhoven,"Jnne, 06-Nov-18"
37,Napoli,Paris Saint-Germain,"Jnne, 06-Nov-18"
38,Schalke 04,Galatasaray,"Jnne, 06-Nov-18"
39,FC Porto,Lokomotiv Moscow,"Jnne, 06-Nov-18"
40,CSKA Moscow,Roma,"Jtan, 07-Nov-18"
41,Valencia,BSC Young Boys,"Jtan, 07-Nov-18"
42,Viktoria Plzen,Real Madrid,"Jtan, 07-Nov-18"
43,Juventus,Manchester United,"Jtan, 07-Nov-18"
44,Bayern Munich,AEK Athens,"Jtan, 07-Nov-18"
45,Benfica,Ajax,"Jtan, 07-Nov-18"
46,Manchester City,Shakhtar Donetsk,"Jtan, 07-Nov-18"
47,Lyon,Hoffenheim,"Jtan, 07-Nov-18"
48,AEK Athens,Bayern Munich,"Jnne, 23-Okt-18"
49,BSC Young Boys,Valencia,"Jnne, 23-Okt-18"
50,Manchester United,Juventus,"Jnne, 23-Okt-18"
51,Roma,CSKA Moscow,"Jnne, 23-Okt-18"
52,Real Madrid,Viktoria Plzen,"Jnne, 23-Okt-18"
53,Ajax,Benfica,"Jnne, 23-Okt-18"
54,Shakhtar Donetsk,Manchester City,"Jnne, 23-Okt-18"
55,Hoffenheim,Lyon,"Jnne, 23-Okt-18"
56,PSV Eindhoven,Tottenham,"Jtan, 24-Okt-18"
57,Club Bruges,Monaco,"Jtan, 24-Okt-18"
58,Borussia Dortmund,Atletico Madrid,"Jtan, 24-Okt-18"
59,Barcelona,Inter,"Jtan, 24-Okt-18"
60,Liverpool,FK Crvena Zvezda,"Jtan, 24-Okt-18"
61,Paris Saint-Germain,Napoli,"Jtan, 24-Okt-18"
62,Lokomotiv Moscow,FC Porto,"Jtan, 24-Okt-18"
63,Galatasaray,Schalke 04,"Jtan, 24-Okt-18"
64,Hoffenheim,Manchester City,"Jnne, 02-Okt-18"
65,Juventus,BSC Young Boys,"Jnne, 02-Okt-18"
66,Manchester United,Valencia,"Jnne, 02-Okt-18"
67,AEK Athens,Benfica,"Jnne, 02-Okt-18"
68,Bayern Munich,Ajax,"Jnne, 02-Okt-18"
69,CSKA Moscow,Real Madrid,"Jnne, 02-Okt-18"
70,Roma,Viktoria Plzen,"Jnne, 02-Okt-18"
71,Lyon,Shakhtar Donetsk,"Jnne, 02-Okt-18"
72,Lokomotiv Moscow,Schalke 04,"Jtan, 03-Okt-18"
73,Paris Saint-Germain,FK Crvena Zvezda,"Jtan, 03-Okt-18"
74,FC Porto,Galatasaray,"Jtan, 03-Okt-18"
75,Atletico Madrid,Club Bruges,"Jtan, 03-Okt-18"
76,Borussia Dortmund,Monaco,"Jtan, 03-Okt-18"
77,Tottenham,Barcelona,"Jtan, 03-Okt-18"
78,PSV Eindhoven,Inter,"Jtan, 03-Okt-18"
79,Napoli,Liverpool,"Jtan, 03-Okt-18"
80,Barcelona,PSV Eindhoven,"Jnne, 18-Sep-18"
81,Inter,Tottenham,"Jnne, 18-Sep-18"
82,Liverpool,Paris Saint-Germain,"Jnne, 18-Sep-18"
83,FK Crvena Zvezda,Napoli,"Jnne, 18-Sep-18"
84,Galatasaray,Lokomotiv Moscow,"Jnne, 18-Sep-18"
85,Schalke 04,FC Porto,"Jnne, 18-Sep-18"
86,Club Bruges,Borussia Dortmund,"Jnne, 18-Sep-18"
87,Monaco,Atletico Madrid,"Jnne, 18-Sep-18"
88,Shakhtar Donetsk,Hoffenheim,"Jtan, 19-Sep-18"
89,Ajax,AEK Athens,"Jtan, 19-Sep-18"
90,Benfica,Bayern Munich,"Jtan, 19-Sep-18"
91,Manchester City,Lyon,"Jtan, 19-Sep-18"
92,Real Madrid,Roma,"Jtan, 19-Sep-18"
93,Viktoria Plzen,CSKA Moscow,"Jtan, 19-Sep-18"
94,Valencia,Juventus,"Jtan, 19-Sep-18"
95,BSC Young Boys,Manchester United,"Jtan, 19-Sep-18"
96,Liverpool,Barcelona,"Jnne, 07-Mei-19"
97,Ajax,Tottenham,"Jtan, 08-Mei-19"
98,Tottenham,Ajax,"Jnne, 30-Apr-19"
99,Barcelona,Liverpool,"Jtan, 01-Mei-19"
100,Juventus,Ajax,"Jnne, 16-Apr-19"
101,Barcelona,Manchester United,"Jnne, 16-Apr-19"
102,FC Porto,Liverpool,"Jtan, 17-Apr-19"
103,Manchester City,Tottenham,"Jtan, 17-Apr-19"
104,Liverpool,FC Porto,"Jnne, 09-Apr-19"
105,Tottenham,Manchester City,"Jnne, 09-Apr-19"
106,Manchester United,Barcelona,"Jtan, 10-Apr-19"
107,Ajax,Juventus,"Jtan, 10-Apr-19"
108,Manchester City,Schalke 04,"Jnne, 12-Mac-19"
109,Juventus,Atletico Madrid,"Jnne, 12-Mac-19"
110,Barcelona,Lyon,"Jtan, 13-Mac-19"
111,Bayern Munich,Liverpool,"Jtan, 13-Mac-19"
112,Borussia Dortmund,Tottenham,"Jnne, 05-Mac-19"
113,Real Madrid,Ajax,"Jnne, 05-Mac-19"
114,Paris Saint-Germain,Manchester United,"Jtan, 06-Mac-19"
115,FC Porto,Roma,"Jtan, 06-Mac-19"
116,Lyon,Barcelona,"Jnne, 19-Feb-19"
117,Liverpool,Bayern Munich,"Jnne, 19-Feb-19"
118,Schalke 04,Manchester City,"Jtan, 20-Feb-19"
119,Atletico Madrid,Juventus,"Jtan, 20-Feb-19"
120,Manchester United,Paris Saint-Germain,"Jnne, 12-Feb-19"
121,Roma,FC Porto,"Jnne, 12-Feb-19"
122,Ajax,Real Madrid,"Jtan, 13-Feb-19"
123,Tottenham,Borussia Dortmund,"Jtan, 13-Feb-19"
