,home_team,away_team,time_day
0,1Bradford,Swansea,"Jumapili, Feb 24 2013"
1,Aston Villa,Bradford,"Jumanne, Jan 22 2013"
2,Swansea,Chelsea1,"Jumatano, Jan 23 2013"
3,Bradford,Aston Villa,"Jumanne, Jan 8 2013"
4,Chelsea,Swansea,"Jumatano, Jan 9 2013"
5,Leeds,Chelsea,"Jumatano, Des 19 2012"
6,Norwich,Aston Villa,"Jumanne, Des 11 2012"
7,Bradford,Arsenal,"Jumanne, Des 11 2012"
8,Swansea,Middlesbrough,"Jumatano, Des 12 2012"
9,Sunderland,Middlesbrough,"Jumanne, Okt 30 2012"
10,Swindon,Aston Villa,"Jumanne, Okt 30 2012"
11,Wigan,Bradford,"Jumanne, Okt 30 2012"
12,Leeds,Southampton,"Jumanne, Okt 30 2012"
13,Reading,Arsenal,"Jumanne, Okt 30 2012"
14,Chelsea,Manchester United,"Jumatano, Okt 31 2012"
15,Norwich,Tottenham,"Jumatano, Okt 31 2012"
16,Liverpool,Swansea,"Jumatano, Okt 31 2012"
17,Manchester City,Aston Villa,"Jumanne, Sep 25 2012"
18,Milton Keynes Dons,Sunderland1,"Jumanne, Sep 25 2012"
19,Crawley,Swansea,"Jumanne, Sep 25 2012"
20,Bradford,Burton,"Jumanne, Sep 25 2012"
21,Preston,Middlesbrough,"Jumanne, Sep 25 2012"
22,Southampton,Sheffield Wednesday,"Jumanne, Sep 25 2012"
23,Chelsea,Wolverhampton Wanderers,"Jumanne, Sep 25 2012"
24,Swindon,Burnley,"Jumanne, Sep 25 2012"
25,West Ham,Wigan,"Jumanne, Sep 25 2012"
26,Leeds,Everton,"Jumanne, Sep 25 2012"
27,Manchester United,Newcastle United,"Jumatano, Sep 26 2012"
28,Carlisle,Tottenham,"Jumatano, Sep 26 2012"
29,Arsenal,Coventry,"Jumatano, Sep 26 2012"
30,Queens Park Rangers,Reading,"Jumatano, Sep 26 2012"
31,Norwich,Doncaster,"Jumatano, Sep 26 2012"
32,West Bromwich Albion,Liverpool,"Jumatano, Sep 26 2012"
33,Preston,Crystal Palace,"Jumanne, Ago 28 2012"
34,Watford,Bradford,"Jumanne, Ago 28 2012"
35,Swansea,Barnsley,"Jumanne, Ago 28 2012"
36,Coventry,Birmingham,"Jumanne, Ago 28 2012"
37,West Ham,Crewe,"Jumanne, Ago 28 2012"
38,Doncaster,Hull1,"Jumanne, Ago 28 2012"
39,Carlisle,Ipswich,"Jumanne, Ago 28 2012"
40,Sheffield Wednesday,Fulham,"Jumanne, Ago 28 2012"
41,Leicester,Burton,"Jumanne, Ago 28 2012"
42,Burnley,Plymouth,"Jumanne, Ago 28 2012"
43,Queens Park Rangers,Walsall,"Jumanne, Ago 28 2012"
44,Stevenage,Southampton,"Jumanne, Ago 28 2012"
45,Nottingham Forest,Wigan1,"Jumanne, Ago 28 2012"
46,Stoke,Swindon,"Jumanne, Ago 28 2012"
47,Aston Villa,Tranmere,"Jumanne, Ago 28 2012"
48,Crawley,Bolton,"Jumanne, Ago 28 2012"
49,Gillingham,Middlesbrough,"Jumanne, Ago 28 2012"
50,Milton Keynes Dons,Blackburn,"Jumanne, Ago 28 2012"
51,Leeds,Oxford,"Jumanne, Ago 28 2012"
52,Sunderland,Morecambe,"Jumanne, Ago 28 2012"
53,Norwich,Scunthorpe,"Jumanne, Ago 28 2012"
54,Reading,Peterborough,"Jumanne, Ago 28 2012"
55,Yeovil,West Bromwich Albion,"Jumanne, Ago 28 2012"
56,Everton,Leyton Orient,"Jumatano, Ago 29 2012"
57,Northampton,Wolverhampton Wanderers,"Alhamisi, Ago 30 2012"
58,Preston,Huddersfield,"Jumatatu, Ago 13 2012"
59,Oldham,Sheffield Wednesday,"Jumatatu, Ago 13 2012"
60,Fleetwood,Nottingham Forest,"Jumatatu, Ago 13 2012"
61,Chesterfield,Tranmere,"Jumanne, Ago 14 2012"
62,Derby,Scunthorpe,"Jumanne, Ago 14 2012"
63,Port Vale,Burnley,"Jumanne, Ago 14 2012"
64,Ipswich,Bristol Rovers,"Jumanne, Ago 14 2012"
65,Stevenage,AFC Wimbledon,"Jumanne, Ago 14 2012"
66,Exeter,Crystal Palace,"Jumanne, Ago 14 2012"
67,Yeovil,Colchester,"Jumanne, Ago 14 2012"
68,Birmingham,Barnet,"Jumanne, Ago 14 2012"
69,Bristol City,Gillingham,"Jumanne, Ago 14 2012"
70,Northampton,Cardiff,"Jumanne, Ago 14 2012"
71,Plymouth,Portsmouth,"Jumanne, Ago 14 2012"
72,Millwall,Crawley,"Jumanne, Ago 14 2012"
73,Torquay,Leicester,"Jumanne, Ago 14 2012"
74,Dag and Red,Coventry,"Jumanne, Ago 14 2012"
75,Peterborough,Southend,"Jumanne, Ago 14 2012"
76,Swindon,Brighton,"Jumanne, Ago 14 2012"
77,Charlton,Leyton Orient,"Jumanne, Ago 14 2012"
78,Oxford,Bournemouth,"Jumanne, Ago 14 2012"
79,Rochdale,Barnsley1,"Jumamosi, Ago 11 2012"
80,Notts Co.,Bradford,"Jumamosi, Ago 11 2012"
81,Hull,Rotherham,"Jumamosi, Ago 11 2012"
82,Carlisle,Accrington,"Jumamosi, Ago 11 2012"
83,Doncaster,York,"Jumamosi, Ago 11 2012"
84,Crewe,Hartlepool,"Jumamosi, Ago 11 2012"
85,1Bury,Middlesbrough,"Jumamosi, Ago 11 2012"
86,Sheffield United,Burton1,"Jumamosi, Ago 11 2012"
87,Leeds,Shrewsbury,"Jumamosi, Ago 11 2012"
88,Cheltenham,Milton Keynes Dons1,"Jumamosi, Ago 11 2012"
89,Wolverhampton Wanderers,Aldershot,"Jumamosi, Ago 11 2012"
90,Walsall,Brentford1,"Jumamosi, Ago 11 2012"
91,Watford,Wycombe,"Jumamosi, Ago 11 2012"
92,Blackpool,Morecambe,"Jumapili, Ago 12 2012"
