,home_team,away_team,home_score,away_score,start_time,time_day,home_open_play,away_open_play,home_setpiece,away_setpiece,home_counterattack,away_counterattack,home_penalty,away_penalty,home_cross,away_cross,home_longball,away_longball,home_throughball,away_throughball,home_stortball,away_stortball,home_form,away_form,home_player,away_player
0,West Bromwich Albion,Chelsea,3,0,20:00,"Jtat, 18-Mei-15",7,9,1,3,0,0,1,0,10,14,3,1,47,38,379,592,4-5-1,4-2-3-1,"['Myhill', '7.36', 'Brunt', '7.19', 'Lescott', '7.11', 'McAuley', '6.97', 'Dawson', '7.22', 'Morrison', '6.93', 'Fletcher', '6.80', 'Yacob', '6.84', 'Mulumbu', '6.57', 'Gardner', '6.99', 'Anichebe', '6.52']","['Courtois', '6.78', 'Luís', '6.89', 'Terry', '7.03', 'Cahill', '6.96', 'Aké', '6.19', 'Matic', '7.50', 'Fàbregas', '7.62', 'Hazard', '7.96', 'Brown', '6.09', 'Willian', '7.02', 'Rémy', '6.58']"
1,Arsenal,Sunderland,0,0,19:45,"Jtan, 20-Mei-15",28,5,0,1,0,1,0,0,35,4,7,3,23,78,772,194,4-2-3-1,4-3-3,"['Ospina', '7.06', 'Monreal', '7.33', 'Mertesacker', '7.07', 'Koscielny', '7.40', 'Bellerín', '7.18', 'Cazorla', '7.60', 'Coquelin', '7.47', 'Sánchez', '7.81', 'Özil', '7.57', 'Ramsey', '7.07', 'Giroud', '7.23']","['Pantilimon', '7.12', 'Aanholt', '7.08', ""O'Shea"", '6.82', 'Coates', '7.22', 'Réveillere', '6.87', 'Larsson', '7.01', 'Cattermole', '6.83', 'Rodwell', '6.63', 'Wickham', '6.81', 'Graham', '6.29', 'Defoe', '6.61']"
2,Aston Villa,Burnley,0,1,15:00,"Jpl, 24-Mei-15",12,5,4,1,0,0,0,0,32,9,0,1,79,98,457,219,4-3-2-1,4-4-2,"['Guzan', '6.64', 'Cissokho', '6.78', 'Baker', '6.95', 'Vlaar', '6.65', 'Bacuna', '6.54', 'Delph', '7.08', 'Sánchez', '6.74', 'Cleverley', '6.64', 'Grealish', '6.64', 'Cole', '6.35', 'Benteke', '7.08']","['Heaton', '6.82', 'Mee', '7.09', 'Shackell', '7.26', 'Duff', '7.02', 'Trippier', '7.15', 'Taylor', '6.48', 'Jones', '6.72', 'Arfield', '6.58', 'Boyd', '6.99', 'Barnes', '6.71', 'Ings', '6.89']"
3,Chelsea,Sunderland,3,1,15:00,"Jpl, 24-Mei-15",17,12,6,4,0,1,1,0,33,10,0,1,34,43,588,305,4-2-3-1,4-3-3,"['Cech', '6.89', 'Azpilicueta', '7.24', 'Terry', '7.03', 'Cahill', '6.96', 'Ivanovic', '7.25', 'Matic', '7.50', 'Loftus-Cheek', '6.33', 'Rémy', '6.58', 'Willian', '7.02', 'Cuadrado', '6.37', 'Costa', '7.43']","['Mannone', '6.51', 'Aanholt', '7.08', ""O'Shea"", '6.82', 'Coates', '7.22', 'Jones', '6.89', 'Larsson', '7.01', 'Cattermole', '6.83', 'Rodwell', '6.63', 'Defoe', '6.61', 'Fletcher', '6.55', 'Johnson', '6.72']"
4,Crystal Palace,Swansea,1,0,15:00,"Jpl, 24-Mei-15",10,4,3,1,0,0,0,0,30,18,0,0,67,75,280,323,4-4-2,4-2-3-1,"['Hennessey', '6.47', 'Souaré', '6.63', 'Delaney', '6.89', 'Dann', '6.96', 'Ward', '7.04', 'Zaha', '6.97', 'McArthur', '7.17', 'Ledley', '6.82', 'Puncheon', '6.99', 'Murray', '6.89', 'Bolasie', '7.05']","['Fabianski', '7.09', 'Taylor', '6.95', 'Williams', '7.23', 'Fernández', '7.11', 'Richards', '6.65', 'Shelvey', '6.83', 'Cork', '7.18', 'Montero', '6.91', 'Sigurdsson', '7.18', 'Dyer', '6.54', 'Gomis', '6.62']"
5,Everton,Tottenham,0,1,15:00,"Jpl, 24-Mei-15",7,14,2,2,0,0,0,0,17,18,3,2,77,82,343,549,4-2-3-1,4-2-3-1,"['Howard', '6.44', 'Galloway', '6.65', 'Jagielka', '7.27', 'Stones', '7.17', 'Coleman', '6.92', 'Barry', '6.85', 'McCarthy', '7.09', 'Osman', '6.71', 'Barkley', '6.80', 'McGeady', '6.53', 'Lukaku', '6.76']","['Lloris', '6.89', 'Rose', '7.23', 'Vertonghen', '7.06', 'Fazio', '7.39', 'Dier', '6.93', 'Bentaleb', '7.02', 'Mason', '6.86', 'Chadli', '6.90', 'Eriksen', '7.09', 'Lamela', '7.07', 'Kane', '7.28']"
6,Hull,Manchester United,0,0,15:00,"Jpl, 24-Mei-15",9,6,7,1,0,0,0,0,34,8,0,0,65,102,279,427,3-5-2,4-1-4-1,"['Harper', '6.93', 'McShane', '6.91', 'Dawson', '7.11', 'Chester', '7.03', 'Brady', '6.95', 'Quinn', '6.51', 'Huddlestone', '6.79', 'Meyler', '6.63', 'Mohamady', '7.17', 'Jelavic', '6.61', ""N'Doye"", '6.76']","['Valdés', '6.85', 'Rojo', '7.26', 'Smalling', '7.34', 'Jones', '7.51', 'Valencia', '7.23', 'Blind', '7.19', 'María', '7.00', 'Herrera', '7.33', 'Fellaini', '7.16', 'Mata', '6.89', 'Falcao', '6.61']"
7,Leicester,Queens Park Rangers,5,1,15:00,"Jpl, 24-Mei-15",15,12,7,6,0,0,0,0,29,23,0,0,70,73,284,356,3-4-1-2,4-4-1-1,"['Schmeichel', '6.63', 'Morgan', '7.20', 'Huth', '7.42', 'Wasilewski', '7.13', 'Schlupp', '7.11', 'King', '6.73', 'Cambiasso', '6.97', 'Albrighton', '7.13', 'Mahrez', '7.16', 'Vardy', '6.80', 'Ulloa', '6.85']","['McCarthy', '6.27', 'Suk-Young', '6.66', 'Hill', '6.84', 'Dunne', '7.07', 'Onuoha', '6.77', 'Grego-Cox', '6', 'Barton', '7.10', 'Henry', '6.43', 'Phillips', '6.79', 'Fer', '7.27', 'Austin', '6.99']"
8,Manchester City,Southampton,2,0,15:00,"Jpl, 24-Mei-15",11,12,4,1,0,0,0,0,20,25,3,0,61,63,415,336,4-4-2,4-2-3-1,"['Hart', '6.75', 'Kolarov', '7.32', 'Mangala', '7.07', 'Kompany', '6.86', 'Zabaleta', '7.23', 'Silva', '7.53', 'Fernandinho', '7.19', 'Touré', '7.40', 'Milner', '7.02', 'Bony', '6.88', 'Agüero', '7.67']","['Gazzaniga', '6.20', 'Bertrand', '7.02', 'Fonte', '7.20', 'Alderweireld', '7.07', 'Clyne', '7.04', 'Davis', '6.81', 'Wanyama', '7.12', 'Mané', '7.07', 'Ward-Prowse', '6.65', 'Long', '6.69', 'Pellè', '7.03']"
9,Newcastle United,West Ham,2,0,15:00,"Jpl, 24-Mei-15",15,4,2,0,0,0,0,0,27,18,0,1,58,81,270,417,4-2-3-1,4-3-2-1,"['Krul', '6.40', 'Gutiérrez', '7.34', 'Dummett', '6.89', 'Coloccini', '6.81', 'Janmaat', '6.90', 'Colback', '6.91', 'Taylor', '6.81', 'Cabella', '6.99', 'Sissoko', '6.92', 'Pérez', '6.74', 'Rivière', '6.21']","['Adrián', '6.80', 'Cresswell', '6.85', 'Burke', '7.08', 'Reid', '7.03', 'Jenkinson', '6.65', 'Kouyaté', '7.19', 'Song', '6.97', 'Noble', '7.04', 'Nolan', '6.56', 'Downing', '7.00', 'Valencia', '6.70']"
